Rank	Score	Penalty	Country	Name
38	100	-4489816800	Indonesia	rama_pang
92	100	-5870016175	Indonesia	prabowo
93	100	-5882506889	Indonesia	rapel
240	100	-7789889943	Indonesia	wifi
419	100	-9985953134	Indonesia	Ace_02
572	72	-4604768474	Indonesia	athin
672	72	-6458852244	Indonesia	onepiecehoki
848	72	-7711738984	Indonesia	rfpermen
976	72	-8396529576	Indonesia	DystoriaX
992	72	-8469402717	Indonesia	faustaadp
1065	72	-8795958209	Indonesia	irwan..ap
1160	72	-9206527596	Indonesia	mosesmayer
1242	72	-10710022833	Indonesia	plains4
1708	54	-9414609028	Indonesia	davi0015
1786	51	-5648962716	Indonesia	corona
1792	51	-5704273167	Indonesia	vistokartika
1805	51	-5808871591	Indonesia	jt3698
1888	51	-6485527333	Indonesia	CosmicWolf
1982	51	-7126767349	Indonesia	Hansen111
2077	51	-7668662934	Indonesia	Hocky
2085	51	-7697873132	Indonesia	Dasper
2119	51	-7883401157	Indonesia	raditya1710
2241	51	-8448550439	Indonesia	tzaph_
2260	51	-8538138805	Indonesia	fushar
2294	51	-8741858746	Indonesia	nandonathaniel
2328	51	-8853933065	Indonesia	farizazmip
2384	51	-9024883749	Indonesia	chakwetiau
2415	51	-9160100619	Indonesia	Wie
2471	51	-9461985678	Indonesia	Ariza
2532	49	-9317891702	Indonesia	Nich
2538	45	-5556897905	Indonesia	bukanyohandi
2557	45	-7965198275	Indonesia	BebekJK
2652	42	-4652250093	Indonesia	nabilervatra
2737	42	-5909929355	Indonesia	fikr
2769	42	-6286079690	Indonesia	metanovitia
2814	42	-6654169005	Indonesia	vioalbert
3120	42	-8623384957	Indonesia	AW_Flister
3198	42	-9137136471	Indonesia	dickynovanto1103
3201	42	-9157697222	Indonesia	alvinpiter94
3245	42	-9404849330	Indonesia	yesnot
3494	35	-5250905368	Indonesia	Micchon
3528	35	-6962825128	Indonesia	JustinXu
3615	33	-6658701525	Indonesia	MinumCoklatPanas
3774	33	-9700704518	Indonesia	JoshuaEvan
4074	28	-2268706846	Indonesia	jfawkes
4108	28	-2581582490	Indonesia	kelvinc1024
4117	28	-2670285818	Indonesia	Owmicron
4131	28	-2748215554	Indonesia	nasgorportugal
4290	28	-3776129632	Indonesia	ya_
4781	28	-7480561935	Indonesia	Rwhendry
5020	28	-9225834304	Indonesia	alvinvaja
5213	24	-6842926607	Indonesia	thariq_nugrohotomo
5579	23	-8891995154	Indonesia	minohcity
5630	19	-3578724263	Indonesia	rheru
5769	19	-6648796698	Indonesia	mcmoor
6115	14	-2418807203	Indonesia	folcotandiono
6141	14	-3532943212	Indonesia	KFile
6172	14	-4241145251	Indonesia	clusthermal
6216	14	-4907938779	Indonesia	alwyntandiono
6361	14	-6650041298	Indonesia	msyamsula
6503	14	-8340808684	Indonesia	derricklim
6570	14	-8834217113	Indonesia	jonbonto
6683	14	-9408012343	Indonesia	Bryannoel
6777	13	-7672386758	Indonesia	evanarlian
7135	10	-5149942775	Indonesia	keziaaurelia1
7461	10	-10064062957	Indonesia	erwin9huang
7574	9	-7189592852	Indonesia	naffins
8060	5	-2195198166	Indonesia	andreanlay
8345	5	-3594059770	Indonesia	kecap
8653	5	-5181979630	Indonesia	fauh45
8854	5	-6685686482	Indonesia	wizkim
9413	0	0	Indonesia	AlfiSumadi
9413	0	0	Indonesia	ArvinCiu
9413	0	0	Indonesia	Taufiqhus
9413	0	0	Indonesia	darksta5
9413	0	0	Indonesia	samlushadi
