Rank	Score	Penalty	Country	Name
59	65	-4950136857	Canada	goffrie
88	65	-5470083427	Canada	duality
97	65	-5566436360	Canada	thebes2
110	65	-5784295240	Canada	SnapDragon
148	65	-6186209595	Canada	y0105w49
199	65	-6408043713	Canada	wwdd
207	65	-6482492036	Canada	ibur
255	65	-6760386533	Canada	henryx
354	65	-7265607893	Canada	davidberard
411	65	-7582959158	Canada	--d
472	46	-6712995362	Canada	FatalEagle
474	45	-3238893575	Canada	ksun48
475	45	-3473455645	Canada	rrddrr
510	45	-5712251158	Canada	pat42smith
534	45	-6327756285	Canada	JCirrus
574	45	-6934299291	Canada	Miseri
589	45	-7194656350	Canada	anzoteh
631	45	-8173240730	Canada	DarinTay
747	39	-3549328619	Canada	Jonathan_Uy
828	39	-3958695815	Canada	fishlicker
894	39	-4263466637	Canada	crackersamdjam
906	39	-4303520069	Canada	zxyl
919	39	-4332714614	Canada	kytabyte
925	39	-4349683405	Canada	zxqfl
1025	39	-4680469714	Canada	etotheipi
1137	39	-4984702521	Canada	kuroba
1153	39	-5034246571	Canada	Saeed.Odak
1464	39	-5757815202	Canada	alexwice
1474	39	-5783935329	Canada	joeydoesntsharefood
1501	39	-5843486581	Canada	Cueball1234
1568	39	-6032789514	Canada	NeilV
1617	39	-6143313265	Canada	RalphFurmaniak
1762	39	-6503316067	Canada	Ruberik
1763	39	-6508702652	Canada	MehdiKa
1817	39	-6620304116	Canada	Dormi
1834	39	-6665711699	Canada	bas0
1846	39	-6709308736	Canada	Ninjaclasher
1937	39	-6937029529	Canada	vguo
1984	39	-7041664648	Canada	DanteB
1994	39	-7057360428	Canada	arock
1995	39	-7059664742	Canada	WyattWismer
2048	39	-7189596887	Canada	Iliad
2087	39	-7261678417	Canada	dden4ik
2105	39	-7318397268	Canada	aeternalis
2137	39	-7428762122	Canada	Araluen
2179	39	-7616913995	Canada	Plasmatic
2188	39	-7656937820	Canada	alextxu
2208	39	-7746605249	Canada	jeffreyxiao
2213	39	-7783360882	Canada	Aaeria
2239	39	-8088897508	Canada	dawolff
2269	20	-2919489307	Canada	JasonBaby
2279	20	-5078845962	Canada	EbTech
2316	19	-279149398	Canada	durad
2413	19	-563840664	Canada	XYZT
2445	19	-713187145	Canada	saba_salehi
2450	19	-729573684	Canada	MrSiliconGuy
2469	19	-838659959	Canada	Joon7891
2515	19	-1196127524	Canada	BlazingMuddy
2527	19	-1321454297	Canada	Drevnij
2816	19	-2930810507	Canada	ManyPinkHats
2890	19	-3189553567	Canada	AaronDme
2900	19	-3215690937	Canada	tikul
2941	19	-3391377909	Canada	berasogut
3012	19	-3631680019	Canada	Bg1
3032	19	-3716352995	Canada	AYBCO
3048	19	-3763945178	Canada	MeaninglessQuips
3073	19	-3842815647	Canada	wleung_bvg
3077	19	-3847952397	Canada	brandonzhang
3158	19	-4150431503	Canada	bonjwa
3169	19	-4195945712	Canada	YinuoWang
3197	19	-4276888321	Canada	JPricey
3211	19	-4331972363	Canada	rpfl
3242	19	-4438405176	Canada	edy3
3489	19	-5542748685	Canada	farnasirim
3544	19	-5800068929	Canada	jacklee1792
3584	19	-6014181180	Canada	Cowbrain
3593	19	-6033349374	Canada	ChrisT
3595	19	-6038100687	Canada	alan.ma
3708	19	-6944111058	Canada	NotLeon
3710	19	-6974629423	Canada	chocimir
3725	19	-7107082063	Canada	elavi
3775	19	-7650816088	Canada	arezou
3787	19	-7839341469	Canada	FruitCakeS-
3804	0	0	Canada	Chuckminster
3804	0	0	Canada	FinnLidbetter
3804	0	0	Canada	ThreeInches
3804	0	0	Canada	alueft
3804	0	0	Canada	keyvankhademi
