Rank	Score	Penalty	Country	Name
240	83	-8205546877	Canada	keyvankhademi
241	83	-8248036062	Canada	saba_salehi
381	68	-5051309334	Canada	DanteB
430	68	-5528858670	Canada	rrddrr
463	68	-5739226888	Canada	dden4ik
507	68	-6124149714	Canada	durad
558	68	-6473902724	Canada	alberta.green
624	68	-6784769740	Canada	vvneagleone
696	68	-7053462099	Canada	fishlicker
702	68	-7095728555	Canada	Drevnij
717	68	-7166263812	Canada	rpfl
866	68	-7836648935	Canada	tomprice719
928	68	-8142768700	Canada	Chuckminster
981	68	-8378918849	Canada	MehdiKa
1034	68	-8555918398	Canada	Jonathan_Uy
1044	68	-8585599204	Canada	MrSiliconGuy
1082	68	-8741826010	Canada	farnasirim
1327	68	-10370613717	Canada	biscuitnn
1403	58	-2600973633	Canada	AYBCO
1440	58	-3739309111	Canada	asdera1234
1523	58	-4943611952	Canada	FreedomKira
1535	58	-5105783499	Canada	Conman
1539	58	-5160248254	Canada	kytabyte
1580	58	-5802929950	Canada	VJAM
1660	58	-7031319022	Canada	LinkToTheCrash
1681	58	-7344213618	Canada	jackdaw
1726	58	-7878190593	Canada	sharat.ibrahimpur
1837	58	-9620965073	Canada	omega12
2110	51	-7544678171	Canada	astrocat879
2132	51	-7673026861	Canada	MildlySpicy
2175	51	-7959889127	Canada	milapsheth
2179	51	-8001429249	Canada	profchi
2195	51	-8098427879	Canada	ktran
2207	51	-8161494899	Canada	amahto
2255	51	-8505456366	Canada	se7kazi
2316	51	-8875758615	Canada	czhu1217
2393	51	-9878581481	Canada	bradley19brown
2490	41	-4105568696	Canada	Emily2019
2541	41	-4529737720	Canada	raw_toast
2694	41	-5297967682	Canada	RezaSi
2697	41	-5307624963	Canada	Tezvaz
2727	41	-5437316583	Canada	TinyTitans
2826	41	-5887885718	Canada	SebasTheFish
2833	41	-5908694269	Canada	george24601
3233	41	-7415765822	Canada	hytest
3309	41	-7736709549	Canada	crosu
3357	41	-7884996251	Canada	kamiyan
3601	41	-8761987646	Canada	CharlesYang
3652	41	-9053090570	Canada	Eizhen
3659	41	-9089939799	Canada	ANDREYDEN
3712	41	-9644762427	Canada	Powerslave
3732	41	-10894574042	Canada	adamjimenez
4021	32	-5738587169	Canada	mahanmath
4160	32	-6717313408	Canada	MOOONI
4191	32	-6947039923	Canada	eishan
4271	32	-7628183963	Canada	yeahbennou
4306	32	-7944213924	Canada	noahlewis.ca
4367	32	-8513143543	Canada	WheresMyTowel
4407	32	-9051539020	Canada	skyflaren
4433	32	-9567439805	Canada	injust
4521	31	-3083329931	Canada	turtle144
4539	31	-3325339495	Canada	GuanzhaoWang
4586	31	-3777943547	Canada	BENYAM1N
4698	31	-4495040404	Canada	jaggerg
4736	31	-4761699165	Canada	BoGang
4778	31	-4983108102	Canada	Metty
5102	31	-6750392009	Canada	zty3075
5103	31	-6750649097	Canada	hociss
5110	31	-6815959926	Canada	Lucidare
5346	31	-8382969312	Canada	zAlbee
5407	31	-8796037725	Canada	ian0314
5449	23	-8510232395	Canada	basarama
5489	22	-595000394	Canada	RunGood
5508	22	-623208997	Canada	_pattrik
5569	22	-723142470	Canada	Zeus726
5702	22	-902114780	Canada	HYA
5726	22	-927973283	Canada	Irmentis
5732	22	-935829830	Canada	Winbigwok
5813	22	-1008866283	Canada	Darko
6026	22	-1170073690	Canada	hewmatt10
6060	22	-1197709441	Canada	liao02x
6096	22	-1234175832	Canada	apkin
6432	22	-1490582683	Canada	Wenwenwen
6595	22	-1628658547	Canada	Arian.alm2003
6632	22	-1658844363	Canada	posixthread
6669	22	-1697230883	Canada	tianweiliu
6685	22	-1709770633	Canada	zaphod
6976	22	-1998993824	Canada	dorkette
7071	22	-2099841485	Canada	AlecBp
7074	22	-2102688207	Canada	ZhengXu
7134	22	-2161163550	Canada	TubbDoose
7215	22	-2250746822	Canada	laveseth
7601	22	-2759929969	Canada	hyperactive
7602	22	-2765490580	Canada	gk11
7624	22	-2797417737	Canada	Sadi
7679	22	-2873868750	Canada	gbaril
7861	22	-3140139147	Canada	andjinn
7941	22	-3260118082	Canada	usk83
7980	22	-3334567257	Canada	firzen434
8097	22	-3551594152	Canada	mbingo
8153	22	-3675117172	Canada	sam2020
8423	22	-4310630469	Canada	kinson
8586	22	-4809090755	Canada	Vasilli
8615	22	-4911384302	Canada	AlanL
8738	22	-5421137637	Canada	LlL
9034	22	-7183400521	Canada	PONG
9077	22	-7678156943	Canada	jryu
9117	22	-8009287958	Canada	jskit
9225	19	-8796091402	Canada	dantudes
9242	10	-695660901	Canada	Apoapsis
9258	10	-1611460711	Canada	kriophoros
9332	10	-3345159342	Canada	arsh1207
9346	10	-3694680832	Canada	Abbykdd
9431	10	-7036878677	Canada	michelleN
9506	4	-1286029477	Canada	suguru03
9669	0	0	Canada	DhruvP
