Rank	Score	Penalty	Country	Name
5	100	-2834811423	Brazil	kobus
81	100	-4592418455	Brazil	tfgg
108	100	-4843028426	Brazil	brunomont
185	100	-5469769604	Brazil	Kallaseldor
222	100	-5697782723	Brazil	rafaelgo2
235	100	-5737223858	Brazil	Lawliet2908
383	100	-6304958613	Brazil	KunikidaHanamaru
442	100	-6458504654	Brazil	JMarcos
490	100	-6647895041	Brazil	rodz
539	100	-6796351872	Brazil	guimafelipe
612	100	-6963391353	Brazil	LeoRiether
628	100	-6998934768	Brazil	SchF_
668	100	-7100864635	Brazil	Gapinho
711	100	-7226916145	Brazil	жти
762	100	-7342602516	Brazil	viniciusth
794	100	-7426450828	Brazil	wilwxk
811	100	-7464544596	Brazil	ffao
818	100	-7470304324	Brazil	lincolnx
833	100	-7496597788	Brazil	lpierezan
859	100	-7566477672	Brazil	lucsturci
861	100	-7570353349	Brazil	FMota
895	100	-7639200513	Brazil	dikson
946	100	-7730966801	Brazil	dilsonguim
949	100	-7736909811	Brazil	paulomiranda98
1025	100	-7894018512	Brazil	CaroLinda
1049	100	-7950960860	Brazil	binaryLifter
1142	100	-8109715159	Brazil	cfms3
1159	100	-8154453448	Brazil	Lius
1252	100	-8337670550	Brazil	rodrigozhou
1255	100	-8343641662	Brazil	BittencourtMH
1371	100	-8540982444	Brazil	luccasiau
1415	100	-8631187167	Brazil	BrunoTissei
1464	100	-8741625822	Brazil	Vawer
1522	100	-8898969721	Brazil	Nson
1549	100	-8955350097	Brazil	filipeabelha
1581	100	-9058505144	Brazil	eduardocesb
1679	100	-9604953604	Brazil	tomaz1502
1745	82	-5763013292	Brazil	yurisantamarina
1751	82	-5969565153	Brazil	ViniciusCabessa
1784	82	-6972947153	Brazil	bira37
1810	82	-7591747492	Brazil	AlbertoTDNeto
1813	82	-7662095499	Brazil	lamartine.cb
1837	82	-7921409734	Brazil	ManelNesquik
1869	82	-8283291996	Brazil	dorime
1913	82	-8777323501	Brazil	fbfdestro
1976	77	-6018868613	Brazil	gcgm
2097	77	-9382884963	Brazil	NatanSG
2155	72	-8039528975	Brazil	Dicksiano
2236	65	-5583507330	Brazil	luiz.py
2272	65	-7098212467	Brazil	damnerd
2312	65	-8266785694	Brazil	BernardoSulzbach
2323	65	-8483960012	Brazil	IvanCarvalho
2344	63	-3058700612	Brazil	pedrohlf
2366	63	-3656657824	Brazil	123499
2377	63	-3915004970	Brazil	wjoao
2383	63	-4078696793	Brazil	HenriqueBrito
2524	63	-5308289158	Brazil	felipefcw
2538	63	-5422688404	Brazil	mattioli
2547	63	-5455152677	Brazil	gustavolima00
2562	63	-5504924475	Brazil	lucas3h
2565	63	-5536698690	Brazil	ivanilos
2715	63	-6401602270	Brazil	NelsonGomesNeto
2854	63	-6999433443	Brazil	leonardoblanger
2926	63	-7282174046	Brazil	gustavo_m32
2938	63	-7318597058	Brazil	mtosatti
2939	63	-7318865079	Brazil	rods
2955	63	-7371071835	Brazil	leviwc
2984	63	-7488422742	Brazil	diogoaos
3073	63	-7750111897	Brazil	gabrielfo
3108	63	-7861068080	Brazil	docardoso
3141	63	-7960027669	Brazil	kinhosz
3173	63	-8088607971	Brazil	thilio
3211	63	-8183433123	Brazil	tiagoshibata
3260	63	-8388907559	Brazil	Gabivh
3282	63	-8454305077	Brazil	ErikMorbach
3304	63	-8525518335	Brazil	Bigg_
3335	63	-8652234201	Brazil	fakhoury
3422	63	-9340956246	Brazil	GiulianoPrado
3487	47	-7263134588	Brazil	Maiara
3516	47	-8507269726	Brazil	rodolfoams
3534	45	-3570569889	Brazil	Arkham_Knight
3553	45	-4408840373	Brazil	pauloamed
3703	45	-6791317320	Brazil	sofhiasouza
3773	45	-7345392135	Brazil	Resende
3847	45	-7948216570	Brazil	lucask
3879	45	-8150061457	Brazil	guiniehues
