Rank	Score	Penalty	Country	Name
71	100	-38088664545	Singapore	oneplusone
244	100	-80259089548	Singapore	MilkTeaCoffee
433	75	-19455968544	Singapore	anonymoussquid
455	75	-24560407013	Singapore	BetterThanNobita
498	75	-33244294497	Singapore	maomao90
548	75	-40825333593	Singapore	andyk
611	75	-49227900837	Singapore	yichenchong
1938	75	-87594793418	Singapore	wingsYouAretheHero
1953	75	-88402196097	Singapore	milowala
1973	75	-89306601793	Singapore	lemiao
2063	75	-94604576194	Singapore	Chronolegend
2081	75	-95280723257	Singapore	Lexis
2143	75	-97312151825	Singapore	williamryank
2168	75	-98635407930	Singapore	douasin
2200	74	-97243985510	Singapore	banana_orange
2315	68	-13513759429	Singapore	pwypeanut
2390	68	-18844118210	Singapore	estelle0500
2396	68	-19273937549	Singapore	cyberhuman
2401	68	-19526781934	Singapore	liewyousheng
2497	68	-26069879189	Singapore	shenxy
2507	68	-26649202679	Singapore	btzy
2535	68	-28835724534	Singapore	9mat
2572	68	-30524645436	Singapore	chorn
2575	68	-30694508210	Singapore	jyx
2592	68	-31900075353	Singapore	mzy
2627	68	-33278640833	Singapore	SmileyFace
2632	68	-33564474906	Singapore	xTheBHox
2682	68	-36740902138	Singapore	dmred
2684	68	-36885819737	Singapore	AlexPrk
2749	68	-39539746705	Singapore	dantoh000
2767	68	-40375653176	Singapore	funy
3018	68	-50169047455	Singapore	errorgorn
3117	68	-53379161592	Singapore	jiayushe
3231	68	-56797832716	Singapore	MichaelJing
3342	68	-60462740029	Singapore	Acceleraizer
3659	68	-68345920128	Singapore	TPL
3661	68	-68367249817	Singapore	Shouyu_senbei
4084	68	-79372184848	Singapore	czxcjx
4622	68	-96947304143	Singapore	rocketninja7
5047	52	-30954769927	Singapore	socho
5055	52	-32233916634	Singapore	bensonlzl
5085	52	-40198467531	Singapore	mesaliason
5153	52	-53300969981	Singapore	stephng3
5223	52	-61344255612	Singapore	AndrewZYX
5318	52	-70695820134	Singapore	Varun2101
5334	52	-71990358545	Singapore	Mickey1356
5380	52	-76392738885	Singapore	newaij
5520	52	-92272135022	Singapore	deborahlow97
5595	50	-14675290019	Singapore	Zheyuan
5604	50	-26679803035	Singapore	pavement
5777	50	-66502199038	Singapore	tanmaydatta
5809	50	-69558454624	Singapore	Ridham0001
6095	49	-19245678637	Singapore	4yn
6120	49	-25965145235	Singapore	ttj
6527	49	-60992632008	Singapore	42brookdu
6596	49	-63049484031	Singapore	schwa
6909	49	-71523801425	Singapore	loading_please_wait
6924	49	-71966431419	Singapore	bikram22
7254	49	-84510070890	Singapore	lwz
7451	49	-96470384514	Singapore	pohzipohzi
7616	43	-28103787933	Singapore	spritebyte
7620	43	-28375220487	Singapore	jianzhi
7672	43	-34525314376	Singapore	n3tr
