Rank	Score	Penalty	Country	Name
62	100	-5384442085	India	EnEm
66	100	-5412256851	India	YashChandnani
119	100	-6268228711	India	Taran_1407
175	100	-6916108052	India	TheOneYouWant
203	100	-7315589320	India	gravito12345
243	100	-7811363996	India	aishwary2112
269	100	-8105920486	India	404_brain_not_found
276	100	-8212661248	India	tushar_ghige
284	100	-8279335066	India	panchaldhruv
298	100	-8448538277	India	Arnav_Bansal
301	100	-8462072282	India	Aaryankapur
302	100	-8480279740	India	dhhruv23
316	100	-8603278507	India	urvesh_254
318	100	-8625400422	India	REGATTE
323	100	-8676136522	India	abhinavrobinson
336	100	-8787100265	India	ravichoudhary
338	100	-8798941596	India	jaichhabra
339	100	-8812251225	India	mbcse
340	100	-8821942228	India	WildShark
344	100	-8832343995	India	Janesh
345	100	-8848080918	India	Manohar502
357	100	-8933257590	India	rohillautsav
360	100	-8962813459	India	thisismohit
366	100	-9012680686	India	aditya_0405
369	100	-9031425734	India	vinscoder1627
370	100	-9050287020	India	Himanshu_Shekhar
377	100	-9140025855	India	ravik1
384	100	-9213762806	India	rishabhjain7699
390	100	-9293161581	India	mayiknowyou
394	100	-9352786239	India	vsriram1012
425	100	-10199922127	India	rohit.goyal069@gmail.com
460	79	-6088833581	India	jtnydv25
468	79	-6662156733	India	coder_pulkit_c
481	79	-7509723911	India	acraider
486	79	-7693498966	India	fsociety00
495	79	-7996696233	India	jiraya___
497	79	-8103692228	India	AryaKnight
530	79	-9464284416	India	tirtha-24
531	79	-9471138260	India	cakewalk
541	79	-9770378849	India	kal013
550	77	-9089413524	India	ankurdua15
579	72	-4726060739	India	aryanc403
582	72	-4785853630	India	sarthakmanna
612	72	-5544004818	India	BaZ
631	72	-5895787712	India	nishant403
655	72	-6293344915	India	abhayps
661	72	-6361602834	India	beast3124
670	72	-6444103021	India	rathi22
675	72	-6552686851	India	mbrc
676	72	-6557806455	India	AvinashKartik
677	72	-6571856512	India	ashish11
705	72	-6860488152	India	yatinarora
708	72	-6867760098	India	NERO
711	72	-6895530951	India	siddharthsingh14
719	72	-6930815814	India	knandy99
722	72	-6940930533	India	ExplodingFreeze
723	72	-6948957948	India	19Weapons
759	72	-7190784994	India	shashank.gupta77
785	72	-7347512971	India	Jatayu
801	72	-7445360355	India	devvats
803	72	-7467578782	India	swapnil07
842	72	-7682190497	India	m0nk3ydluffy
847	72	-7710748666	India	ag73
859	72	-7757941002	India	c_rahul
879	72	-7875709393	India	darshan786
887	72	-7938895581	India	summerpark
895	72	-7987685651	India	Arooshi
897	72	-7989458286	India	abhisheksaini
902	72	-8016271264	India	Vivek_Rathi_53
914	72	-8087273734	India	bhj2001
915	72	-8088771694	India	Fireboltonfire
918	72	-8105011533	India	NOOBxCODER
923	72	-8141428733	India	hrish
929	72	-8188311508	India	pulkitkapoor15
931	72	-8192669614	India	kabeer27
934	72	-8204048358	India	thundercracker
935	72	-8205379976	India	sardhara_preet
943	72	-8255357175	India	flywithtime
955	72	-8302838824	India	kshitij_789
967	72	-8359617303	India	chillax23241
979	72	-8410791372	India	Pragyanc2
981	72	-8420139213	India	SARTHAKG657@GMAIL.COM
991	72	-8465999746	India	aliencoder
994	72	-8491367501	India	dhruvil_sutariya
1000	72	-8513978173	India	nic6200
1001	72	-8520792546	India	cyber_rajat
1007	72	-8550923123	India	jiraiya.an
1009	72	-8563747582	India	ChinmayKarnik
1050	72	-8734160832	India	KaranAgarwalla
1052	72	-8743766302	India	qwertyu1234
1053	72	-8752312240	India	revpro
1058	72	-8772891064	India	shreyanshgeek
1060	72	-8781445968	India	iamabjain
1087	72	-8903101248	India	TechboyPrateek
1088	72	-8904065163	India	robin.sharma
1100	72	-8941372206	India	Rutvik_28
1108	72	-8975376674	India	Nightmare05
1121	72	-9016549904	India	akashpatel20
1140	72	-9131424772	India	vok8
1146	72	-9168067847	India	mihil2701
1149	72	-9180536675	India	S_Aditya
1150	72	-9185856977	India	inductor
1158	72	-9218667353	India	frost_
1160	72	-9231932567	India	kp26
1161	72	-9238413817	India	aviroop123
1173	72	-9314465211	India	decode1729
1176	72	-9355181956	India	Bimal2902
1180	72	-9388148818	India	rahulb
1181	72	-9394291277	India	Omansh
1184	72	-9413367000	India	aniket9465
1185	72	-9455366209	India	sayanmedya
1207	72	-9710537167	India	shikhar7s
1213	72	-9819283248	India	CoderAnshu
1216	72	-9915842660	India	SangeetaMishra
1218	72	-9975694761	India	rahul_iit
1221	72	-10084022132	India	lovethyneighbor
1232	72	-10430757258	India	ayush.jaggi
1236	72	-10798724331	India	bin_0808
1239	72	-12285805413	India	ankitpriyarup
1249	65	-8339101931	India	pritishn
1270	63	-3615175671	India	ayk16
1274	63	-3912086796	India	codeict
