Rank	Score	Penalty	Country	Name
143	77	-7609495398	Germany	fagu
188	77	-9062217492	Germany	pwild
218	69	-9457414303	Germany	Zwergesel
225	66	-6317230561	Germany	marmer
301	63	-5033745661	Germany	eriksuenderhauf
305	63	-5110525528	Germany	mariand
306	63	-5125846427	Germany	tob123
322	63	-5342602433	Germany	TwoFx
370	63	-6096738977	Germany	Degalat57
413	63	-6612991911	Germany	rkleberhoff
455	63	-7212125725	Germany	eth42
465	63	-7280806076	Germany	lumibons
478	63	-7396313627	Germany	fjuengermann
500	63	-7704383044	Germany	nawidsayed
517	63	-7953013571	Germany	colonelkernel
596	63	-8941486709	Germany	KarlSt
607	63	-9095837273	Germany	achm
644	63	-9807810696	Germany	Norbi42
680	58	-6930287497	Germany	eulerscheZahl
693	58	-7923755644	Germany	0x544C
726	58	-9573369748	Germany	lambdapioneer
732	58	-10173788620	Germany	JdPL
803	47	-8357673215	Germany	julianbrost
882	44	-3072885750	Germany	Alexander86
886	44	-3464016602	Germany	NotMyName
917	44	-5220068781	Germany	PFischbeck
930	44	-5475951211	Germany	CJK
949	44	-6078910466	Germany	ben.natura@gmail.com
1010	44	-7188288439	Germany	davidKonka
1114	44	-8218935000	Germany	Felerius
1119	44	-8243608844	Germany	Unlikus
1176	44	-8834288946	Germany	vdeksel
1194	44	-9020043242	Germany	4ameleon
1247	44	-9664433990	Germany	Geser
1285	44	-10299854315	Germany	codingWhale
1379	39	-11451307414	Germany	Jibbow
1409	34	-5154157553	Germany	Qujja
1410	34	-5209689937	Germany	Harry3141
1430	34	-6480105967	Germany	Vitek
1440	34	-7179756248	Germany	Bugmaker
1445	34	-7314367816	Germany	MetaColon
1627	32	-6310784994	Germany	Wildwatz
1667	32	-6766455978	Germany	brinky
1745	32	-7450416730	Germany	22slin22
1760	32	-7576768176	Germany	risteon
1794	32	-7817591655	Germany	gabriel2029
1910	32	-8747526697	Germany	unreal_like_x
1924	32	-8836094893	Germany	jano31415
1983	32	-9471363197	Germany	xjcl
2044	29	-879628555	Germany	eiv
2053	29	-1559004710	Germany	baconit
2140	29	-2812715537	Germany	magula
2168	29	-3027647250	Germany	horscchtey
2169	29	-3040946117	Germany	humi
2257	29	-3685513639	Germany	albrjo
2263	29	-3725869598	Germany	Eogwyn
2267	29	-3777910916	Germany	Saph
2297	29	-3967579199	Germany	Callidior
2385	29	-4431825021	Germany	jb53
2387	29	-4439363554	Germany	alexpopalex
2409	29	-4524233412	Germany	Kathi
2432	29	-4629652534	Germany	mb242
2528	29	-5159982922	Germany	arminosaurus
2592	29	-5556642124	Germany	easy2200ph
2663	29	-6064523082	Germany	HammerOfThor
2691	29	-6274786447	Germany	Zeldacrafter
2789	29	-6933613245	Germany	mofeien
2793	29	-6952265896	Germany	bendeutz
2800	29	-6991429663	Germany	lazyguyy
2961	29	-7900988417	Germany	winterwolf994
2974	29	-7962707034	Germany	schustmi
3025	29	-8196629341	Germany	Nickname2
3027	29	-8212854599	Germany	The_K
3040	29	-8306431470	Germany	blitzliner
3118	29	-8814101237	Germany	Wurzeltroll
3168	29	-9268282952	Germany	petertoth
3175	29	-9360189878	Germany	I3J03RN
3206	29	-12789934209	Germany	amr962
3210	28	-4237529558	Germany	nellex
3216	28	-5455753880	Germany	hatze
3325	28	-9961241294	Germany	jlohse
3341	20	-6952487311	Germany	qr4
3410	16	-4641237744	Germany	nanoalpaca
3501	16	-6393526916	Germany	DFrese
3536	16	-7243379425	Germany	SeeSoftware
3623	16	-8637000628	Germany	Spacetoaster
3686	16	-10701176023	Germany	jgosmann
3708	15	-4553703085	Germany	julii
3716	15	-5302619972	Germany	leobalduf
3739	15	-7119053488	Germany	appinho
3779	15	-8944166137	Germany	Garrus
3829	13	-1650937820	Germany	daniel.werner
3859	13	-1967566691	Germany	AlexZorn
3912	13	-2367081311	Germany	slava_stepanov
4021	13	-3034188998	Germany	Kurisu858
4048	13	-3205541314	Germany	kechtel
4104	13	-3459982335	Germany	twuebi
4140	13	-3622586201	Germany	oeken
4169	13	-3774331516	Germany	muk_26
4247	13	-4061986312	Germany	.Adrian
4285	13	-4246073574	Germany	DNKpp
4354	13	-4578797803	Germany	lasse
4388	13	-4809617219	Germany	Fettpet
4422	13	-4962051291	Germany	AdamStreck
4445	13	-5060324385	Germany	iloraC28
4503	13	-5364079782	Germany	miss_robot
4505	13	-5367338235	Germany	KonradHoeffner
4526	13	-5479240081	Germany	Scholli
4533	13	-5505866028	Germany	shaanrockz
4578	13	-5737489142	Germany	sbarlabanov
4593	13	-5795229029	Germany	Cero
4603	13	-5862605619	Germany	Noffi19
4642	13	-6086257310	Germany	0xCAFB
4654	13	-6146972433	Germany	Pavel85
4656	13	-6149092867	Germany	ha11owed
4671	13	-6196857955	Germany	lkecker
4796	13	-6937460435	Germany	sebp
4816	13	-7058503005	Germany	MCoder
4825	13	-7131544404	Germany	Luz_K
4853	13	-7296813490	Germany	devng
4887	13	-7477177416	Germany	niktech
4894	13	-7530286235	Germany	nupas
4943	13	-7922659351	Germany	annoraaq
4944	13	-7932399546	Germany	h1k3r
4993	13	-8422540601	Germany	flute42
5030	13	-8771903123	Germany	stf
5073	13	-9381546994	Germany	vanHavel
5088	13	-9567052658	Germany	QuantumPeak
5103	13	-10037769290	Germany	DShade
5181	8	-8210135361	Germany	MartinThoma
5185	8	-8405956585	Germany	nilswe
5274	5	-2574755044	Germany	1b15
5294	5	-2931228389	Germany	wintermute2048
5340	5	-3283807567	Germany	Henni
5438	5	-3880984102	Germany	yannic
5467	5	-4054607103	Germany	filone
5567	5	-4642888766	Germany	Michip96
5621	5	-4948020762	Germany	omilus
5648	5	-5090017784	Germany	0x4x3lt3
5775	5	-5820606250	Germany	InfectedBytes
5831	5	-6110115598	Germany	ikrets
5864	5	-6235804163	Germany	Suboptimist
5953	5	-6723348593	Germany	mykhaylo.r@gmail.com
5980	5	-6837657230	Germany	Kakuro
6016	5	-7119790586	Germany	saeissl
6045	5	-7307222844	Germany	Yonav
6088	5	-7568907010	Germany	Spherelix
6192	5	-8116575645	Germany	Loak
6267	5	-8482818977	Germany	Daniello2000
6295	5	-8598857009	Germany	mpt2
6355	5	-8902836819	Germany	Urinstinkt
6379	5	-8997644478	Germany	berndboh
6389	5	-9102782781	Germany	Astrocyte
6482	3	-4068127585	Germany	Safadurimo
6496	3	-4637827885	Germany	bromanz
6533	3	-5928035840	Germany	Tomsi
6610	3	-8096225050	Germany	Noobie_99
6641	3	-9132516460	Germany	debriscloud
6654	0	0	Germany	Alnice
6654	0	0	Germany	Andgem
6654	0	0	Germany	Apfeloxid
6654	0	0	Germany	Aran
6654	0	0	Germany	BananaNosh
6654	0	0	Germany	Benjamin2002@gmx.de
6654	0	0	Germany	C0R3
6654	0	0	Germany	Crysaac
6654	0	0	Germany	DK56_T
6654	0	0	Germany	DonutsShouldNotHaveFillings
6654	0	0	Germany	EP26
6654	0	0	Germany	Eike
6654	0	0	Germany	Erebos3D
6654	0	0	Germany	Gorkem
6654	0	0	Germany	Gullydeckel
6654	0	0	Germany	Gurkinator
6654	0	0	Germany	JSNO
6654	0	0	Germany	Josaffe
6654	0	0	Germany	Jukamala
6654	0	0	Germany	Leartes
6654	0	0	Germany	Love2Deliver
6654	0	0	Germany	Lukas2009
6654	0	0	Germany	LuzianHahn
6654	0	0	Germany	MHamed90
6654	0	0	Germany	Mobo
6654	0	0	Germany	NaN
6654	0	0	Germany	Neonag
6654	0	0	Germany	PKonline
6654	0	0	Germany	ReactiveMan
6654	0	0	Germany	RolfRico
6654	0	0	Germany	Sinclair
6654	0	0	Germany	SomeSheep
6654	0	0	Germany	Stefan_
6654	0	0	Germany	Tech4Projects
6654	0	0	Germany	Thundertron
6654	0	0	Germany	TimTimolia
6654	0	0	Germany	TombRaider
6654	0	0	Germany	U1
6654	0	0	Germany	alex.ander
6654	0	0	Germany	algomaus
6654	0	0	Germany	blafoobar
6654	0	0	Germany	casioton
6654	0	0	Germany	clr
6654	0	0	Germany	daniel.sch
6654	0	0	Germany	ende76
6654	0	0	Germany	felldom
6654	0	0	Germany	gasserus
6654	0	0	Germany	geez437
6654	0	0	Germany	hello_code_jam
6654	0	0	Germany	ilya_maier
6654	0	0	Germany	jonasd
6654	0	0	Germany	kaenganxt
6654	0	0	Germany	korsosa
6654	0	0	Germany	maddin
6654	0	0	Germany	marschallsteffen@gmail.com
6654	0	0	Germany	mdm
6654	0	0	Germany	mrbch
6654	0	0	Germany	n16h7hunt3r
6654	0	0	Germany	nicolask
6654	0	0	Germany	raphinesse
6654	0	0	Germany	rmeertens
6654	0	0	Germany	rr13
6654	0	0	Germany	simorius
6654	0	0	Germany	sjvie
6654	0	0	Germany	tgasdf
6654	0	0	Germany	tobikongzi
6654	0	0	Germany	wwjj
6654	0	0	Germany	yejung
