Score	Penalty	Country	Name
100	-2919037418	Japan	semiexp.
100	-3324034343	Japan	tabr
100	-3718384054	Japan	camypaper
100	-3829361245	Japan	kort0n
100	-3861067047	Japan	yuji9511
100	-4052238129	Japan	tute7627
100	-4081879257	Japan	iehn
100	-4093737119	Japan	Sayaka
100	-4177029415	Japan	tatyam
100	-4205389940	Japan	firiexp
100	-4248979410	Japan	ttttan2
100	-4283192718	Japan	smiken61
100	-4397086166	Japan	Shun_PI
100	-4408264657	Japan	sugarrr
100	-4424459661	Japan	kmjp
100	-4477962232	Japan	TAISA_
100	-4585392317	Japan	kcvlex
100	-4633766355	Japan	SSRS
100	-4636581738	Japan	ast210
100	-4691775086	Japan	tsutaj
100	-4699205454	Japan	shinike
100	-4731415165	Japan	beet.aizu
100	-4738989785	Japan	iwashi31
100	-4759362043	Japan	Fumiya
100	-4790599746	Japan	moririn2528
100	-4794299410	Japan	yokozuna57
100	-4820176661	Japan	physics0523
100	-4826367162	Japan	betrue12
100	-4826931411	Japan	sortreew
100	-4828551639	Japan	Shibuyap
100	-4829959436	Japan	Shuto
100	-4831286690	Japan	satanic0258
100	-4838916071	Japan	okura
100	-4858267996	Japan	snow39
100	-4940881968	Japan	EmK
100	-4955869473	Japan	DEGwer
100	-4985462037	Japan	sotanishy
100	-4987371349	Japan	ogingin
100	-5008790597	Japan	Mojumbo
100	-5011930348	Japan	hugeh0ge
100	-5033661739	Japan	yoshnarly
100	-5034386682	Japan	ora.dll
100	-5039215763	Japan	b2563125
100	-5081860070	Japan	aajisaka
100	-5085204650	Japan	ninja7
100	-5167571052	Japan	titia
100	-5183348211	Japan	Altair626
100	-5234625240	Japan	heno239
100	-5271022104	Japan	kotamanegi
100	-5296428502	Japan	LayCurse
100	-5311737665	Japan	stoq
100	-5400884368	Japan	uwi
100	-5422741121	Japan	sansen
100	-5527767218	Japan	veqcc
100	-5540861952	Japan	wisteria0410ss
100	-5611021790	Japan	climpet
100	-5658408069	Japan	kmcode
100	-5776728104	Japan	hitonanode
100	-5843130158	Japan	wata
100	-6339416759	Japan	tko919
82	-3511710065	Japan	Tomii9273
82	-4116199323	Japan	kkty
82	-4131337119	Japan	jupiro
82	-4346759540	Japan	ningenMe
82	-4474946542	Japan	nolasuz
82	-4864768993	Japan	tran0826
82	-4968396977	Japan	mol
82	-5017200001	Japan	Tallfall
82	-5021113626	Japan	ar-c
82	-5040726940	Japan	yaegashi
82	-5188401328	Japan	tjake
82	-5634321288	Japan	rapurasu
82	-5691473194	Japan	m_tsubasa
82	-5755980821	Japan	south37
82	-5853587500	Japan	claw88
82	-6776700298	Japan	kibuna
77	-3928202801	Japan	yahoobb
77	-4882842375	Japan	tyawanmusi
77	-4892578803	Japan	Person20
77	-5103486195	Japan	nuts1216
77	-5144953839	Japan	lowking
77	-5323672643	Japan	toame207341
77	-5376112347	Japan	domefasoltedo
77	-5670189767	Japan	ganariya
77	-5790923603	Japan	1E60
72	-3695908202	Japan	ia7ck
72	-4712146524	Japan	chudan
72	-4782676109	Japan	Silphire
72	-4901112505	Japan	maspy
65	-3462133407	Japan	k.kojima
65	-3663529886	Japan	miau
65	-4377017566	Japan	Ryosuke839
65	-4394194833	Japan	satashun
65	-4443472948	Japan	nu4nu
65	-4557736430	Japan	dokin
65	-4678184686	Japan	yutaka1999
65	-4751102842	Japan	M.Saito
65	-4763602191	Japan	t_motooka
65	-4964175709	Japan	rutas
65	-5026597284	Japan	Hoget157
65	-5350117759	Japan	sessoh
65	-5661217776	Japan	fumiphys
63	-2135515017	Japan	platypus999
63	-2145590069	Japan	kappahouse
63	-2581202806	Japan	kei2000
63	-2607437982	Japan	Tiramister
63	-2673116679	Japan	kawatea
63	-2781717762	Japan	phocom
63	-2885500979	Japan	okaduki
63	-2988397148	Japan	takumi152
63	-3075770977	Japan	yh1224
63	-3132699371	Japan	yamunaku
63	-3154617286	Japan	kotatsugame
63	-3201465581	Japan	Enjapma
63	-3225999445	Japan	nagitaosu
63	-3255706577	Japan	Chiaki
63	-3266102776	Japan	emthrm
63	-3296178544	Japan	cherrycherry
63	-3313810936	Japan	Aquarius_256
63	-3335788590	Japan	enuemu
63	-3335896261	Japan	kusano
63	-3431120140	Japan	toshihoge
63	-3543554842	Japan	EctoPlasma
63	-3609638111	Japan	sapphire15
63	-3641102858	Japan	tokoharu_
63	-3645156177	Japan	sansaqua
63	-3674647809	Japan	akouryy
63	-3743647587	Japan	ha15
63	-3752042776	Japan	gotoloop
63	-3778189083	Japan	morio__
63	-3798820093	Japan	autumn_eel
63	-3804300460	Japan	spd_18
63	-3804416317	Japan	sumoru
63	-3810045370	Japan	matsuoka
63	-3865606429	Japan	Mencotton
63	-3879338734	Japan	ibuki2003
63	-3882725417	Japan	nxteru
63	-3883743715	Japan	ksaw
63	-3899678191	Japan	yudedako
63	-3904479136	Japan	koikotya
63	-3945095347	Japan	chokudai
63	-4080962939	Japan	Yazaten
63	-4130407809	Japan	leaf1415
63	-4137849579	Japan	rickytheta
63	-4158498159	Japan	nadeshino
63	-4167027683	Japan	goryudyuma
63	-4177443311	Japan	rinzu17
63	-4178748468	Japan	petite_prog
63	-4205705237	Japan	ransewhale
63	-4214989760	Japan	Hoi.koro
63	-4227559917	Japan	gobi_tk
63	-4265363653	Japan	sylphy
63	-4266512819	Japan	ikasashi
63	-4280166229	Japan	takakin
63	-4282090987	Japan	sumitacchan
63	-4289991303	Japan	mtsd
63	-4313010988	Japan	coco18000
63	-4419187661	Japan	RTnF
63	-4463213812	Japan	kiritan
63	-4465408514	Japan	hec
63	-4485008225	Japan	ichyo
63	-4528708080	Japan	zelnyok
63	-4532876023	Japan	x20
