Rank	Score	Penalty	Country	Name
10	100	-3107052462	Canada	IanDe
18	100	-3462975186	Canada	aeternalis
19	100	-3508903813	Canada	ksun48
26	100	-3709848039	Canada	Auferetur
35	100	-3954311592	Canada	Zandew
37	100	-3987703851	Canada	goffrie
51	100	-4189521562	Canada	y0105w49
93	100	-4756628687	Canada	nots0fast
106	100	-4867238673	Canada	thebes2
158	100	-5352945069	Canada	--d
190	100	-5592420275	Canada	etotheipi
224	100	-5749427873	Canada	Ruberik
239	100	-5807414036	Canada	KevinWan
258	100	-5870034482	Canada	Bg1
284	100	-6005382713	Canada	ZQFMGB12
291	100	-6039416387	Canada	MrSiliconGuy
307	100	-6117683641	Canada	friggstad
308	100	-6119193060	Canada	JasonBaby
312	100	-6142949727	Canada	JPricey
346	100	-6262091083	Canada	Rhyme621
375	100	-6363403410	Canada	Eliden
383	100	-6390727828	Canada	joeydoesntsharefood
442	100	-6604394297	Canada	davidberard
443	100	-6605491890	Canada	henryx
476	100	-6704555051	Canada	SnapDragon
481	100	-6719841197	Canada	WyattWismer
513	100	-6833223871	Canada	wwdd
561	100	-6946493434	Canada	zxyl
615	100	-7088396009	Canada	FatalEagle
647	100	-7180095687	Canada	ibur
667	100	-7238584749	Canada	NotLeon
678	100	-7276190266	Canada	Dormi
709	100	-7336587604	Canada	FinnLidbetter
737	100	-7397144434	Canada	arock
748	100	-7438858372	Canada	itangdav
751	100	-7443578553	Canada	alextxu
821	100	-7593533436	Canada	brandonzhang
828	100	-7610557971	Canada	EbTech
900	100	-7768240335	Canada	asdera1234
920	100	-7801382121	Canada	RalphFurmaniak
985	100	-7955375249	Canada	wleung_bvg
991	100	-7966765489	Canada	Cueball1234
1000	100	-7984055548	Canada	kuroba
1021	100	-8008293377	Canada	FruitCakeS-
1026	100	-8020129229	Canada	tikul
1059	100	-8096645291	Canada	Ninjaclasher
1074	100	-8110877604	Canada	anzoteh
1082	100	-8139045236	Canada	kriophoros
1083	100	-8140377968	Canada	adamjimenez
1142	100	-8280069079	Canada	JCirrus
1146	100	-8284730228	Canada	ChrisT
1167	100	-8315096124	Canada	NeilV
1218	100	-8404917821	Canada	apiv
1312	100	-8555543579	Canada	Iliad
1317	100	-8564682561	Canada	eric574
1327	100	-8576619117	Canada	Miseri
1365	100	-8654115859	Canada	AaronDme
