Score	Penalty	Country	Name
100	-4191831040	Colombia	praxis
82	-5177666231	Colombia	egaeus
63	-4823238762	Colombia	sandoval
63	-4949517589	Colombia	joacarrilloco
63	-5050853929	Colombia	osdajigu
63	-5541456728	Colombia	JamerRq
50	-5493132693	Colombia	ivancastel
45	-5387820169	Colombia	Mackenziefox
35	-3620585403	Colombia	Gabriel98
35	-4771027086	Colombia	manuel30
35	-5257804346	Colombia	yefrigg
31	-4110458743	Colombia	l...l
28	-1335627932	Colombia	Rocktru2000
28	-2128172605	Colombia	jcbages
28	-2234832794	Colombia	mavd091
28	-5027611248	Colombia	madxmad
28	-5054886441	Colombia	feder240516
28	-5094291422	Colombia	serargz
28	-5583955052	Colombia	Scano
13	-3947918113	Colombia	AndresRPerez12
10	-1978465111	Colombia	cridaflo
10	-2412562878	Colombia	andreslel
10	-3860598112	Colombia	lilyduque
10	-3922919010	Colombia	Jherson
10	-4795854379	Colombia	GDAndres98
8	-3985821439	Colombia	chavesjuan2013
8	-5142975319	Colombia	Freym4n
8	-5307218816	Colombia	T_Crow
5	-2097785387	Colombia	carlos4rias
5	-2896440780	Colombia	Dars14
5	-3087744962	Colombia	Fazd
5	-3279745370	Colombia	kolmant
5	-3496661031	Colombia	acabra85
5	-4131425926	Colombia	GSebastianUNAL
5	-4211954710	Colombia	facuellarg
5	-4297712344	Colombia	calcala
5	-4344535853	Colombia	cerodriguezl
3	-1555971220	Colombia	Nicklaus
3	-2476615744	Colombia	JhonRayo
3	-4779939827	Colombia	darcila
0	0	Colombia	MiguelSG
0	0	Colombia	SamuelSSalazar
0	0	Colombia	YouNIXnBits
0	0	Colombia	jhonb3r
0	0	Colombia	segoto
0	0	Colombia	seyerman
