Rank	Score	Penalty	Country	Name
2	65	-3269845232	Japan	semiexp.
15	65	-4159676578	Japan	olphe
19	65	-4348257267	Japan	maroon
31	65	-4468704931	Japan	uwi
37	65	-4567955336	Japan	wata
44	65	-4740943654	Japan	ha15
51	65	-4801926476	Japan	yutaka1999
58	65	-4917975449	Japan	kmjp
73	65	-5128596160	Japan	catupper
77	65	-5193352165	Japan	Tiramister
80	65	-5261953374	Japan	tatyam
82	65	-5301853789	Japan	kawatea
85	65	-5331813070	Japan	Sayaka
86	65	-5334349605	Japan	Fumiya
102	65	-5482670069	Japan	yosupot
108	65	-5551773816	Japan	HIR180
109	65	-5563682735	Japan	ogingin
120	65	-5673375353	Japan	kotatsugame
128	65	-5819092122	Japan	smiken61
129	65	-5823212686	Japan	Snuke
131	65	-5835153046	Japan	maspy
146	65	-5961159017	Japan	heno239
148	65	-5973294270	Japan	MikeCAT
151	65	-5991606898	Japan	neterukun
152	65	-6002290639	Japan	yokozuna57
153	65	-6003813364	Japan	tran0826
156	65	-6040921756	Japan	minus3theta
161	65	-6118805596	Japan	betrue12
163	65	-6168664654	Japan	DEGwer
167	65	-6237916927	Japan	kkty
171	65	-6256049838	Japan	hasipon
174	65	-6310081824	Japan	sky58
177	65	-6364447727	Japan	fuppy0716
190	65	-6613565970	Japan	kotamanegi
208	45	-4035481696	Japan	tsukuno
218	45	-4447588154	Japan	cympfh
224	45	-4587750978	Japan	keymoon
254	45	-5230842860	Japan	haiu
267	45	-5424919525	Japan	Nyaan
269	45	-5492177134	Japan	Tallfall
280	45	-5703740698	Japan	betit0919
287	45	-5755256000	Japan	nwin
290	45	-5832061104	Japan	wafrelka
292	45	-5848078134	Japan	tokoharu_
313	39	-1488762422	Japan	ngtkana
314	39	-1509150074	Japan	nu50218
319	39	-1917187558	Japan	kort0n
320	39	-1929560120	Japan	juppy
325	39	-2078398238	Japan	SSRS
329	39	-2284978268	Japan	kei2000
330	39	-2288897787	Japan	glucose
360	39	-2734361482	Japan	okaduki
362	39	-2741807987	Japan	stdll
363	39	-2749376954	Japan	fumiphys
366	39	-2779343314	Japan	RTnF
369	39	-2792490535	Japan	toshihoge
390	39	-2946588682	Japan	tyawanmusi
395	39	-2996684465	Japan	Rubikun
405	39	-3052535334	Japan	sh_mug
409	39	-3078473454	Japan	kzyKT
410	39	-3097550245	Japan	kmcode
419	39	-3159759660	Japan	fiord
433	39	-3234518453	Japan	goodbaton
440	39	-3262366403	Japan	petite_prog
441	39	-3268587238	Japan	tjake
450	39	-3304970706	Japan	ransewhale
461	39	-3378290815	Japan	camypaper
474	39	-3450397379	Japan	amylase
476	39	-3460784354	Japan	HayatoY
479	39	-3465859758	Japan	hitonanode
488	39	-3533722886	Japan	tanakh
491	39	-3540101575	Japan	Mencotton
499	39	-3551916350	Japan	_primenumber
509	39	-3584879194	Japan	rsk0315
511	39	-3587135558	Japan	simamumu
523	39	-3625055004	Japan	satashun
533	39	-3685707842	Japan	Tonegawa
553	39	-3738795251	Japan	btk
554	39	-3740830411	Japan	mtsd
576	39	-3818001487	Japan	ei1333333
585	39	-3847652635	Japan	JAPLJ
594	39	-3874703487	Japan	wagtail
596	39	-3877763577	Japan	knshnb
615	39	-3942076964	Japan	shion_
621	39	-3955980051	Japan	hamayanhamayan
628	39	-3974277154	Japan	leaf1415
648	39	-4034414200	Japan	LayCurse
651	39	-4042090532	Japan	Tsubosaka
664	39	-4082785433	Japan	Enjapma
667	39	-4085944005	Japan	yehara
676	39	-4112116695	Japan	Shibuyap
681	39	-4122176921	Japan	TAB0905
683	39	-4126952290	Japan	cos
685	39	-4138750141	Japan	risujiroh
687	39	-4140873191	Japan	kappahouse
694	39	-4175190987	Japan	iwashi31
704	39	-4202062640	Japan	OwlCreator7302
708	39	-4213007463	Japan	shibh308
712	39	-4223847873	Japan	sotanishy
714	39	-4239174472	Japan	mechanicalpenciI
715	39	-4242734491	Japan	nebukuro09
720	39	-4262277338	Japan	toyama
723	39	-4264104631	Japan	nemupm
740	39	-4305526556	Japan	31536000
744	39	-4319078747	Japan	TAISA_
746	39	-4321777999	Japan	furuya1223
749	39	-4331123340	Japan	climpet
753	39	-4334335606	Japan	starwand
755	39	-4335242118	Japan	sugarrr
760	39	-4347858654	Japan	endered
761	39	-4348105831	Japan	satanic0258
762	39	-4348273173	Japan	dayama
805	39	-4438265751	Japan	ast210
806	39	-4440495166	Japan	pazzle1230
824	39	-4489850708	Japan	Startcpp
837	39	-4516496727	Japan	WA_TLE
840	39	-4522848749	Japan	nuip
841	39	-4528057450	Japan	xuzijian629
846	39	-4537880976	Japan	sylphy
851	39	-4553360588	Japan	Rho17
853	39	-4562020500	Japan	gyouzasushi
855	39	-4569724348	Japan	ikasashi
865	39	-4580817357	Japan	chokudai
869	39	-4593271653	Japan	morio__
870	39	-4594389010	Japan	wotsushi
872	39	-4595799202	Japan	rian
875	39	-4601641803	Japan	ninja7
882	39	-4609721792	Japan	hec
885	39	-4617502062	Japan	sbite
888	39	-4629135756	Japan	machy
899	39	-4649587843	Japan	niuez
911	39	-4687168423	Japan	kcvlex
913	39	-4691662051	Japan	emthrm
914	39	-4693270306	Japan	Aquarius_256
918	39	-4697690478	Japan	math314
921	39	-4708648845	Japan	eiya
922	39	-4708903046	Japan	shogier
926	39	-4716760202	Japan	goryudyuma
928	39	-4723914346	Japan	EmK
935	39	-4730204739	Japan	nomeaning
944	39	-4768450199	Japan	nrvft
949	39	-4777381679	Japan	ats5515
958	39	-4789911373	Japan	EtoNagisa
963	39	-4800485705	Japan	sumitacchan
965	39	-4808951866	Japan	LowR
967	39	-4812226378	Japan	akouryy
978	39	-4830105674	Japan	yuma220284
980	39	-4834542520	Japan	nu4nu
981	39	-4838263688	Japan	nakano
988	39	-4848012458	Japan	a2stnk
991	39	-4854756969	Japan	koyumeishi
1005	39	-4896957291	Japan	gotoloop
1017	39	-4918464524	Japan	kiritan
1019	39	-4923350212	Japan	ttttan2
1020	39	-4924015749	Japan	kyuridenamida
1025	39	-4942360629	Japan	tomerun
1047	39	-4983516757	Japan	anagohirame
1056	39	-4997329362	Japan	TakaakiUmezu
1059	39	-5007894873	Japan	kobae964
1067	39	-5023023835	Japan	mdj982
1072	39	-5035793263	Japan	shun0923
1088	39	-5074152789	Japan	wisteria0410ss
1094	39	-5079049138	Japan	kibi62
1097	39	-5088680094	Japan	homesentinel
1098	39	-5090083525	Japan	Hoget157
1102	39	-5095244785	Japan	yamunaku
1109	39	-5111969080	Japan	yuji9511
1124	39	-5140670233	Japan	Pro_ktmr
1139	39	-5167843975	Japan	chaemon
1166	39	-5244331457	Japan	x20
1174	39	-5257075416	Japan	hiro116s
1179	39	-5267736747	Japan	NMLibrary
1186	39	-5302035388	Japan	tute7627
1189	39	-5305062703	Japan	Kiri8128
1196	39	-5320200858	Japan	Hyado
1200	39	-5325601821	Japan	mikito
1213	39	-5343452477	Japan	noimi
1216	39	-5346207233	Japan	tarattata
1222	39	-5372552562	Japan	imulan
1227	39	-5383568921	Japan	Ryosuke839
1234	39	-5396864601	Japan	QCFium
1238	39	-5409318482	Japan	satos
1239	39	-5410176899	Japan	Doo1t
1242	39	-5417565536	Japan	kjnh10
1250	39	-5425442401	Japan	stoq
1278	39	-5470609772	Japan	sansen
1284	39	-5475467714	Japan	ichyo
1292	39	-5485605502	Japan	platypus999
1298	39	-5493143621	Japan	dn6049949
1315	39	-5535488605	Japan	kusano
1316	39	-5535573872	Japan	seica
1320	39	-5541831332	Japan	sapphire15
1326	39	-5548830975	Japan	bomac1
1327	39	-5553541412	Japan	renoyu
1331	39	-5563771939	Japan	Shun_PI
1334	39	-5564740973	Japan	yochan
1337	39	-5573869211	Japan	takumi152
1345	39	-5584121493	Japan	tabr
1346	39	-5585465844	Japan	phocom
1351	39	-5593668904	Japan	yukidaruma6
1357	39	-5608118507	Japan	Tomii9273
1391	39	-5672106440	Japan	nxteru
1398	39	-5692403107	Japan	rabot
1409	39	-5716120253	Japan	horiso0921
1412	39	-5723412336	Japan	Hoi.koro
1413	39	-5727115349	Japan	spd_18
1432	39	-5772255526	Japan	koge
1451	39	-5814753622	Japan	m_tsubasa
1460	39	-5830130723	Japan	otazami
1462	39	-5832496513	Japan	ksaw
1463	39	-5835007677	Japan	cherrycherry
1485	39	-5892183482	Japan	takakin
1501	39	-5937253967	Japan	rickytheta
1505	39	-5943706801	Japan	shugo256
1514	39	-5960694662	Japan	coco18000
1522	39	-5981715553	Japan	domefasoltedo
1525	39	-5987915318	Japan	Takoshi
1530	39	-5998589479	Japan	rtia1227
1531	39	-6012031200	Japan	patahene
1538	39	-6023661587	Japan	kalpturer
1540	39	-6032410433	Japan	habara_k
1547	39	-6048852563	Japan	beet.aizu
1553	39	-6061860820	Japan	moririn2528
1556	39	-6066694289	Japan	n4o847
1562	39	-6103307870	Japan	TangentDay
1572	39	-6141987858	Japan	yoshnarly
1597	39	-6211531818	Japan	tamato
1600	39	-6218640390	Japan	potoooooooo
1603	39	-6227419732	Japan	rinzu17
1605	39	-6228610204	Japan	plcherrim
1626	39	-6295015072	Japan	kcz
1627	39	-6296171701	Japan	ush
1642	39	-6372375872	Japan	Thistle
1647	39	-6386078729	Japan	NOSS
1652	39	-6407385873	Japan	cleantted
1654	39	-6422928396	Japan	toma25
1659	39	-6452305104	Japan	ytkn
1662	39	-6467179344	Japan	Mojumbo
1681	39	-6696769169	Japan	tatsumack
1708	26	-6222291003	Japan	choo.s
1717	20	-3080897178	Japan	titia
1722	20	-3413164317	Japan	hs484
1738	20	-4726246458	Japan	TumoiYorozu
1754	20	-5523478258	Japan	hasegawa1
1780	19	-286720955	Japan	ibuki2003
1805	19	-352047364	Japan	ningenMe
1813	19	-363619022	Japan	Kawazoe
1827	19	-389941432	Japan	ihahi
1854	19	-436411804	Japan	kyon2326
1876	19	-505309440	Japan	Moketi
1879	19	-510798684	Japan	umineko
1881	19	-516165205	Japan	veqcc
1896	19	-557639888	Japan	yosh1
1904	19	-593216971	Japan	morutole
1906	19	-597630327	Japan	qxa
1921	19	-645160424	Japan	the_zeng
