Rank	Score	Penalty	Country	Name
12	66	-4096776777	Japan	cos
15	63	-1545277619	Japan	Snuke
21	63	-2171346327	Japan	yosupot
30	63	-2518846301	Japan	Nyaan
34	63	-2573452800	Japan	kobae964
52	63	-2840194573	Japan	hasipon
63	63	-3056984679	Japan	ats5515
66	63	-3102007688	Japan	WA_TLE
72	63	-3158600397	Japan	potoooooooo
74	63	-3204695316	Japan	ush
84	63	-3307259245	Japan	Rho17
90	63	-3420564390	Japan	JAPLJ
95	63	-3472211326	Japan	MikeCAT
105	63	-3589858661	Japan	nuip
119	63	-3724820328	Japan	rsk0315
148	63	-4068260621	Japan	Imperi
159	63	-4269032283	Japan	emthrm
170	63	-4875186162	Japan	olphe
180	47	-3841323308	Japan	imulan
186	47	-4070640270	Japan	ryo_n
187	47	-4180890810	Japan	kei1107
207	34	-2425405353	Japan	goodbaton
215	34	-2718485289	Japan	Tonegawa
221	34	-2933311446	Japan	yoshnarly
227	34	-3103631071	Japan	miau
281	34	-4129227292	Japan	simkaren
295	32	-2676949026	Japan	daisyo
297	32	-2715687680	Japan	harady
315	32	-3414276113	Japan	N_hara
321	32	-3571000201	Japan	ShanOvery
341	32	-4005477406	Japan	n4o847
350	32	-4179398549	Japan	homesentinel
353	32	-4275271922	Japan	sekiye
357	32	-4333040887	Japan	SSRS
363	32	-4796967594	Japan	noimi
370	29	-826658198	Japan	lowking
371	29	-876472740	Japan	hs484
379	29	-1033999992	Japan	shun0923
395	29	-1196408237	Japan	mkawa2
415	29	-1358282973	Japan	Rubikun
423	29	-1386684682	Japan	xuzijian629
429	29	-1403361974	Japan	gogutan
434	29	-1416580517	Japan	satos
439	29	-1439235771	Japan	ctyl
450	29	-1504701839	Japan	dpforest
451	29	-1507517441	Japan	starline
452	29	-1508271367	Japan	ei1333333
458	29	-1551820565	Japan	enuemu
464	29	-1575400706	Japan	div_0x00
469	29	-1592908341	Japan	HIR180
470	29	-1595624177	Japan	anomuno
483	29	-1651978743	Japan	yaoshimax
488	29	-1660996002	Japan	knzm
497	29	-1712386473	Japan	Ogtsn99
507	29	-1734229681	Japan	Kawazoe
519	29	-1773276114	Japan	yehara
526	29	-1789306056	Japan	Startcpp
529	29	-1797264141	Japan	idaten459
539	29	-1838022488	Japan	Altair626
545	29	-1864791622	Japan	ksconvex@gmail.com
546	29	-1869967542	Japan	starwand
549	29	-1875275188	Japan	tyawanmusi
558	29	-1907690666	Japan	sensaur
566	29	-1928601638	Japan	Moyashi
570	29	-1942275394	Japan	lyoz
575	29	-1956541840	Japan	hotpepsi
582	29	-1976499229	Japan	GoldIngot
600	29	-2030291928	Japan	nebukuro09
615	29	-2059334759	Japan	nakari1124
616	29	-2063191354	Japan	nrvft
629	29	-2107768949	Japan	nagitaosu
632	29	-2112799918	Japan	_uenoku
640	29	-2129843990	Japan	phyllo
642	29	-2133632797	Japan	autumn_eel
643	29	-2134691889	Japan	otazami
647	29	-2142332962	Japan	kanpurin
659	29	-2170781972	Japan	niwatori
687	29	-2241577785	Japan	yukidaruma6
690	29	-2247909370	Japan	jun__
726	29	-2368296715	Japan	theory_and_me
743	29	-2412937449	Japan	veqcc
773	29	-2474972699	Japan	morutole
792	29	-2511791936	Japan	shop_one
794	29	-2516563359	Japan	Woo-C
815	29	-2563608731	Japan	nagiss
831	29	-2600417746	Japan	furuya1223
840	29	-2634287992	Japan	Moketi
850	29	-2646203567	Japan	season1618
888	29	-2737082095	Japan	wa1t_sush1
895	29	-2754918188	Japan	ok
901	29	-2774837763	Japan	raoZ
903	29	-2775644092	Japan	kawasaki
908	29	-2784005223	Japan	m-book
954	29	-2877038522	Japan	Tallfall
958	29	-2893497829	Japan	sugarrr
964	29	-2909437155	Japan	Hyado
976	29	-2945696735	Japan	yosswi414
981	29	-2953765354	Japan	tech_kegani
996	29	-2985164865	Japan	stdll
1004	29	-3000209477	Japan	sawamaru
1021	29	-3023101033	Japan	eiya
1035	29	-3060070101	Japan	mickie895
1050	29	-3113496404	Japan	kusano
1056	29	-3127913107	Japan	legosuke
1057	29	-3130894881	Japan	fiore
1079	29	-3191542510	Japan	kjnh10
1080	29	-3195070398	Japan	Keno
1096	29	-3217279591	Japan	Nekomimimi
1099	29	-3218941034	Japan	set0gut1
1115	29	-3253187973	Japan	tgm0417
1120	29	-3258776323	Japan	firiexp
1122	29	-3260897942	Japan	sapphire15
1127	29	-3269528559	Japan	gazelle
1144	29	-3297136184	Japan	hamath
1156	29	-3329524213	Japan	nu4nu
1171	29	-3363148589	Japan	sugyan
1180	29	-3379314531	Japan	Alt3
1203	29	-3417040998	Japan	macaroni
1209	29	-3437339170	Japan	yuji9511
1225	29	-3469478692	Japan	kcz
1229	29	-3477764021	Japan	dusty0
1240	29	-3492741886	Japan	nadeshino
1262	29	-3551074963	Japan	hjmkt3126
1285	29	-3626286046	Japan	izumo
1297	29	-3647944197	Japan	K2_
1310	29	-3672213274	Japan	TumoiYorozu
1311	29	-3673250647	Japan	hiro116s
1368	29	-3843651526	Japan	arounderstand
1380	29	-3881821421	Japan	noribentooooooh
1395	29	-3933162539	Japan	kinodjnz
1396	29	-3933783154	Japan	habara_k
1400	29	-3943625716	Japan	wafrelka
1401	29	-3944299442	Japan	edward2031
1469	29	-4111270929	Japan	takuk
1475	29	-4123709806	Japan	btk
1501	29	-4184430656	Japan	ningenMe
1507	29	-4201730077	Japan	patahene
1514	29	-4249653312	Japan	auauauaua
1538	29	-4410315689	Japan	YTA
1545	29	-4459627960	Japan	tarattata
1566	29	-4789424308	Japan	tetsuro1919
1580	16	-1993801427	Japan	nuts1216
1581	16	-2347452990	Japan	koyopro
1583	16	-2691087575	Japan	minus9d
1588	16	-3021309524	Japan	soshun
1603	16	-3807593424	Japan	kebus
1609	16	-3940529551	Japan	nonsava
1618	16	-4223705523	Japan	naoya_t
1620	16	-4371399507	Japan	kichi2004
1623	16	-4476278316	Japan	monyone
1657	13	-1253496996	Japan	simamumu
1660	13	-1284617711	Japan	shirakia
1661	13	-1290643724	Japan	kzyKT
1665	13	-1304147506	Japan	rinzu17
1676	13	-1433918218	Japan	obancha
1711	13	-1677766211	Japan	Yut176
1713	13	-1684353366	Japan	johnnyhibiki
1722	13	-1766533881	Japan	SCL
1735	13	-1835624570	Japan	s.sh
1787	13	-2062365203	Japan	harmokey
1793	13	-2088839590	Japan	developmaso
1800	13	-2115922301	Japan	kawap23
1828	13	-2236203861	Japan	Novemura
1831	13	-2250452612	Japan	tatsy
1841	13	-2301161206	Japan	TrpFrog
1842	13	-2312239102	Japan	rokahikou
1862	13	-2382964190	Japan	t_motooka
1881	13	-2463606913	Japan	goryudyuma
1897	13	-2539345650	Japan	kumalimak
2004	13	-2895060892	Japan	aya_se
2032	13	-2998497818	Japan	a_ab_abc
2064	13	-3103300535	Japan	noriok
2079	13	-3156189479	Japan	crom
2084	13	-3173427060	Japan	AC961009
2148	13	-3368296734	Japan	y61mpnl
2174	13	-3427658759	Japan	neterukun
2185	13	-3462043764	Japan	PnumaSON
2189	13	-3478670144	Japan	Keroru
2191	13	-3488591917	Japan	cake.senbei
2192	13	-3492478028	Japan	mukku
2197	13	-3508670298	Japan	0214sh7
2218	13	-3566835174	Japan	OwlCreator7302
2226	13	-3592723110	Japan	hibati
2258	13	-3674714860	Japan	sotanishy
2266	13	-3691752342	Japan	hasegawa1
2319	13	-3837186048	Japan	yasutomo57jp
2380	13	-3974843464	Japan	oonishi
2419	13	-4089743558	Japan	yamake
2452	13	-4196969041	Japan	eityans
2453	13	-4214299456	Japan	Tomarky
2486	13	-4431613792	Japan	cedretaber
2488	13	-4439556984	Japan	chakku_000
2490	13	-4485244477	Japan	matchapy
2493	13	-4546594446	Japan	kdplus
2513	8	-1983525611	Japan	torajiro
2520	8	-3693970326	Japan	Silphire
2528	5	-1252034882	Japan	tomboftime
2537	5	-1493265090	Japan	rapurasu
2562	5	-1929371007	Japan	sansaqua
2563	5	-1953182938	Japan	wakuwinmail
2565	5	-2016062785	Japan	math314
2577	5	-2103348144	Japan	twaka
2590	5	-2223143143	Japan	shibh308
2601	5	-2304895323	Japan	daigakupotato
2619	5	-2420349546	Japan	emakryo
2629	5	-2469331752	Japan	tran0826
2646	5	-2587695226	Japan	yuya.u
2718	5	-3044769929	Japan	zaki_joho_
2758	5	-3200585380	Japan	phocom
2770	5	-3247850423	Japan	gmm_tea
2784	5	-3300948995	Japan	bbge
2816	5	-3419432143	Japan	pedish
2874	5	-3624969904	Japan	Arutu
2911	5	-3794885260	Japan	side_TT
2918	5	-3822150719	Japan	answeranswer
2944	5	-3888048702	Japan	yak_ex
2954	5	-3924903409	Japan	jjjjjjjtgpptmjj
2962	5	-3950713928	Japan	tko919
2980	5	-4016234450	Japan	yosh1
2988	5	-4038436009	Japan	champon
2999	5	-4053642987	Japan	As_sqr
3073	5	-4360052517	Japan	EtoNagisa
3083	5	-4417884519	Japan	kerozou
3149	3	-2759641219	Japan	otera
3182	3	-3797627478	Japan	hamuhei4869
3210	0	0	Japan	4eta
3210	0	0	Japan	ChiyosBigDragon
3210	0	0	Japan	Hachimori
3210	0	0	Japan	MasaTam81
3210	0	0	Japan	Rssll_Krkgrd
3210	0	0	Japan	TechiHikki
3210	0	0	Japan	ar-c
3210	0	0	Japan	at0x0ft
3210	0	0	Japan	ccppjsrb
3210	0	0	Japan	cojna
3210	0	0	Japan	dbftdiyoeywga
3210	0	0	Japan	fiord
3210	0	0	Japan	hknk
3210	0	0	Japan	juppy
3210	0	0	Japan	kakeyamay
3210	0	0	Japan	kei2000
3210	0	0	Japan	lynmisakura
3210	0	0	Japan	machy
3210	0	0	Japan	matsu7874
3210	0	0	Japan	mokazaki923
3210	0	0	Japan	monkukui
3210	0	0	Japan	morimario
3210	0	0	Japan	nimon
3210	0	0	Japan	ororog
3210	0	0	Japan	pontsuyo
3210	0	0	Japan	pytran
3210	0	0	Japan	rokulo
3210	0	0	Japan	shugo256
3210	0	0	Japan	sojisan
3210	0	0	Japan	south37
3210	0	0	Japan	st2
3210	0	0	Japan	wattaihei
3210	0	0	Japan	wu555
3210	0	0	Japan	yahoobb
3210	0	0	Japan	yosen
3219	0	0	Japan	Aslan168
3219	0	0	Japan	Fukino
3219	0	0	Japan	comeme
3219	0	0	Japan	dtaka
3219	0	0	Japan	hamham111
3219	0	0	Japan	konjo
3219	0	0	Japan	null0124
3219	0	0	Japan	peroxyacyl
3219	0	0	Japan	sessoh
