Rank	Score	Penalty	Country	Name
391	75	-11818932329	Egypt	TheSawan
507	75	-34428429559	Egypt	sawah
828	75	-57445388443	Egypt	Okhair
1570	75	-74383058310	Egypt	Aymanm419
1756	75	-80062011609	Egypt	Ahmed_Alansary
1930	75	-87319320358	Egypt	KhaledRezk
2031	75	-93029530696	Egypt	Bluefish
2078	75	-95142797207	Egypt	Ahmadsm2005
3185	68	-55610308802	Egypt	ahmeddardery
3231	68	-56790747793	Egypt	crazyhamada10
3330	68	-59786373736	Egypt	Mohammad_Yasser
3626	68	-67568586502	Egypt	Quarz
3882	68	-73991466491	Egypt	osamahatem
4038	68	-77903105088	Egypt	Dandosh
4052	68	-78379496959	Egypt	ahmedhamed
4195	68	-82361831449	Egypt	Minakram96
4209	68	-82635352044	Egypt	zoooma13
4265	68	-84335968828	Egypt	Hemose
4308	68	-85756646569	Egypt	ibyousre
4319	68	-86014970690	Egypt	ahmibr68
4345	68	-86858400343	Egypt	Omar_Tarek
4446	68	-90531171656	Egypt	Mone'm
4696	59	-12836462506	Egypt	MohamedAhmed04
4699	59	-16214623034	Egypt	TheSurvivor
4702	59	-17893211934	Egypt	AhmedEzzatG
4743	59	-52733665079	Egypt	AhmadMamdouh
4781	59	-63511748833	Egypt	3lim
4802	59	-68633768487	Egypt	o_radwan
4851	59	-76284566708	Egypt	MagdyHasan
4994	52	-4680240301	Egypt	mahmoudbadawy
5203	52	-58562034373	Egypt	ahmedamr
5376	52	-75951425412	Egypt	mostafa_9a7c2
5581	52	-97760689399	Egypt	kaelhawaty
5668	50	-50988027521	Egypt	Ahmed.Morsy
5872	50	-76281315385	Egypt	MohamedSameh
5967	50	-89083834318	Egypt	logicbreaker
5976	50	-91430582795	Egypt	_Hamza
6044	49	-4280362581	Egypt	Bohoty
6068	49	-13245438622	Egypt	HussienIbrahiem
6069	49	-13297266854	Egypt	AhmedKhalifa
6073	49	-13730982543	Egypt	karemo
6079	49	-14904818730	Egypt	noser
6087	49	-16566067447	Egypt	HossamAhmed
6115	49	-25298098371	Egypt	Mari000
6215	49	-39479612609	Egypt	abdelmagied20
6504	49	-60067164310	Egypt	HassanOsama10
6882	49	-70495194161	Egypt	Ahmed_Diab
7214	49	-81613245783	Egypt	zayady
7216	49	-81716942696	Egypt	Null__
7219	49	-81784909304	Egypt	saraA
7224	49	-82125164531	Egypt	Zahran
7249	49	-84008314616	Egypt	mahmoud_acm
7274	49	-86017675389	Egypt	EzzatMohamed
7478	49	-98355887383	Egypt	Zular
7505	43	-8431511786	Egypt	Blobo2_Blobo2
7510	43	-9195875425	Egypt	ShrookWafa
7688	43	-35636286341	Egypt	Abd00Elmeniawy
7944	43	-54406993338	Egypt	Sleemation
8091	43	-60989834399	Egypt	mshetta
8187	43	-64825562487	Egypt	ZeyadKhattab
8342	43	-70658301885	Egypt	Bakkar-
8398	43	-72876658333	Egypt	ahmed_salaaaah
8554	43	-79982710593	Egypt	SilverPeter
8692	43	-85469653195	Egypt	El-Nebo
8699	43	-85666931852	Egypt	mahrr
8723	43	-86645427750	Egypt	JoeSherif
8726	43	-86699854254	Egypt	VeRgZ
8871	43	-93423647761	Egypt	Hadi_Elnemr
8937	43	-96418812251	Egypt	BlackHack
9028	42	-1463771035	Egypt	Uzumaki_Narutoo
9029	42	-1466240093	Egypt	Kharouba
9077	42	-2452836974	Egypt	Bekh
9114	42	-2905004245	Egypt	Woofy_man
9131	42	-3114845882	Egypt	ismaiiil
9132	42	-3138708421	Egypt	MaTb3aa
9156	42	-3421372865	Egypt	Mohammed_Atef_Hassan
9171	42	-3590349843	Egypt	Triplem5ds
9178	42	-3639801414	Egypt	Astaa
9208	42	-3917579071	Egypt	Mahmoud.Mehisen
9261	42	-4474051800	Egypt	AhmedGamalWazeiry
9306	42	-4836562891	Egypt	ahmed.elmotaz
9315	42	-4896247304	Egypt	johnsr
9349	42	-5313626040	Egypt	walaa.khafagy
9393	42	-5817133701	Egypt	Alimagde
9419	42	-5991658754	Egypt	Mo'menMohHamdy
9423	42	-6012206851	Egypt	AMosa3d
9428	42	-6055793250	Egypt	Amr.Aboshama
9445	42	-6171761397	Egypt	MyLifeIsMisery
9463	42	-6421923919	Egypt	ZoomPie
9468	42	-6462262105	Egypt	Hamoudi
9513	42	-6925570396	Egypt	karimelghamry
9532	42	-7073148511	Egypt	MOrGaN
9606	42	-7981542507	Egypt	It_Wasnt_Me
9618	42	-8081003625	Egypt	Moagza
9622	42	-8107775997	Egypt	Mobad
9665	42	-8584989906	Egypt	seif42
9698	42	-9024407062	Egypt	Arrow97
9747	42	-9581596723	Egypt	Khaled.Emad
9775	42	-9899312613	Egypt	seifgamal
9823	42	-10388540468	Egypt	mmagdi
9863	42	-10968286309	Egypt	Mohamed-Hashem
9951	42	-11955249056	Egypt	KhadijaAssem
9998	42	-12504857740	Egypt	hamzaeldemery
10138	42	-13794434097	Egypt	Mostafa.Albana
10149	42	-13897147772	Egypt	flash906
10193	42	-14332248866	Egypt	Hayal
10361	42	-16030049894	Egypt	amrhassanAHG
10363	42	-16032914440	Egypt	Pheonix20
10377	42	-16140138870	Egypt	sivx
10530	42	-17561672730	Egypt	YousefSalama
10546	42	-17720566636	Egypt	ABE_Mark45
10778	42	-19925178961	Egypt	ashraftaha
10780	42	-19928059081	Egypt	Eltoney
