Rank	Score	Penalty	Country	Name
1	100	-6933625921	South Korea	imeimi
29	65	-4462490540	South Korea	ainta
32	65	-4469219577	South Korea	HYEA
39	65	-4648246939	South Korea	cki86201
45	65	-4750390270	South Korea	pichulia
54	65	-4842060837	South Korea	rickmccoy
70	65	-5188282386	South Korea	tlwpdus
71	65	-5189485214	South Korea	kdh9949
89	65	-5481517894	South Korea	alex9801
92	65	-5515870400	South Korea	minQZ
98	65	-5574769895	South Korea	myungwoo
100	65	-5577600062	South Korea	cheetose
122	65	-5959451733	South Korea	rkm0959
156	65	-6246088469	South Korea	kriii
160	65	-6253286646	South Korea	MarshMalloW
172	65	-6300926413	South Korea	evenharder
192	65	-6366444622	South Korea	gs12117
194	65	-6396286035	South Korea	dlalswp25
204	65	-6475682521	South Korea	gs18115
231	65	-6638946308	South Korea	jh05013
252	65	-6758923568	South Korea	Retro3014
262	65	-6815928517	South Korea	GyojunYoun
319	65	-7077861994	South Korea	Astein
392	65	-7467915982	South Korea	koosaga
408	65	-7542130678	South Korea	khsoo01
422	65	-7622105392	South Korea	SongC
427	65	-7659466923	South Korea	jwvg0425
436	65	-7764099550	South Korea	ae04071
443	65	-7811417854	South Korea	semteo04
451	65	-7849472911	South Korea	SoulTch
460	65	-7908487660	South Korea	firefly
473	65	-8095911785	South Korea	IHHI
478	65	-8419976200	South Korea	moonrabbit2
514	45	-5284245738	South Korea	Namnamseo
520	45	-5527309972	South Korea	wellshs
539	45	-6143845575	South Korea	minwo3o
550	45	-6461552355	South Korea	willi19
613	45	-7461468015	South Korea	wwiiiii
708	39	-3056551262	South Korea	OnionPringles
766	39	-3566123425	South Korea	Nyan101
783	39	-3676814701	South Korea	SiruPorong
787	39	-3693088911	South Korea	arnold518
788	39	-3703660993	South Korea	JongMan
790	39	-3708266388	South Korea	_dsstar
803	39	-3795455688	South Korea	singleheart
836	39	-3954831777	South Korea	hyeonguk
882	39	-4157440155	South Korea	shiftpsh
889	39	-4181374335	South Korea	platter
896	39	-4215501025	South Korea	Green_Jung
897	39	-4217404161	South Korea	blmarket
