Rank	Score	Penalty	Country	Name
32	100	-4360386386	Romania	alexluchianov
221	100	-7567279821	Romania	MiricaMatei
379	100	-9154274548	Romania	teomrn
510	79	-8580775734	Romania	Tiberiu02
539	79	-9670184681	Romania	CatalinT
600	72	-5223144788	Romania	flaviu2001
930	72	-8191454931	Romania	tudor.ivan
997	72	-8502950947	Romania	timics23
1117	72	-8985876071	Romania	arifozturk
1157	72	-9198466531	Romania	MKLOL
1546	63	-8517391813	Romania	aditsu
1658	56	-8812317110	Romania	caesar2001
1724	51	-3717713445	Romania	cypryoprisa
2149	51	-7998599876	Romania	idLe95
2326	51	-8842651310	Romania	Tenis0206
2335	51	-8869512692	Romania	filip7
2481	51	-9674706749	Romania	nicu
2564	45	-8489331920	Romania	Stefan_Radu
2788	42	-6424016668	Romania	radu_msk
3095	42	-8500900529	Romania	artcorpse
3129	42	-8678079479	Romania	doru.nitu
3223	42	-9233635052	Romania	Ratza
3577	35	-9399829802	Romania	BogdanPa
3769	33	-9520636499	Romania	Mihai_Preda
3946	31	-8947654042	Romania	CosminMorar
4255	28	-3500707375	Romania	AlexTheDagon
4311	28	-3927456019	Romania	RpdStrike
4580	28	-5832781236	Romania	stefdasca
4948	28	-8730032183	Romania	Tudy
5067	28	-10485820834	Romania	TeoD08
5182	24	-6378965167	Romania	dragosv
5315	24	-7938767802	Romania	Olivian00
5534	23	-6741782001	Romania	status_coding
5596	23	-9798884529	Romania	alessela14
5614	22	-9152544919	Romania	AndreiCioara
5732	19	-6231874176	Romania	montozaurul
5736	19	-6270592074	Romania	Dinu23
5812	19	-7195069333	Romania	Bori
5946	19	-8588553920	Romania	drealecs
6211	14	-4834453684	Romania	Berindei
6511	14	-8401291174	Romania	BlackCaiman
6661	14	-9137730119	Romania	dovlecel
6676	14	-9280449958	Romania	titusboga
6909	10	-1998066354	Romania	IonutF
7706	8	-4773743734	Romania	adimiclaus15
8223	5	-2971375066	Romania	dayanamdr
8810	5	-6373414004	Romania	As932
9091	5	-8581598575	Romania	RememberU
9218	3	-3495448315	Romania	Vic357
9233	3	-4030027180	Romania	RaresCroicia
9286	3	-5604687350	Romania	alx_sima
9413	0	0	Romania	AdrianP
9413	0	0	Romania	AlexejheroYTB
9413	0	0	Romania	AndreiE
9413	0	0	Romania	Flabi
9413	0	0	Romania	H1gH
9413	0	0	Romania	Leo20kk
9413	0	0	Romania	LucaC
9413	0	0	Romania	MarianD
9413	0	0	Romania	MărcuAndrei
9413	0	0	Romania	NicuAlex
9413	0	0	Romania	Raddu212
9413	0	0	Romania	Scoci
9413	0	0	Romania	SilviuNss
9413	0	0	Romania	Testing123
9413	0	0	Romania	hunordbcz
9413	0	0	Romania	lese
9413	0	0	Romania	mircea_007
9413	0	0	Romania	mirceatlx
9413	0	0	Romania	nitu.catalin1998
9413	0	0	Romania	rmihai
9413	0	0	Romania	scrapper
9413	0	0	Romania	sugaaar03
9413	0	0	Romania	tetrapilotocmie
9413	0	0	Romania	vsambor
