Rank	Score	Penalty	Country	Name
15	63	-1622195034	South Korea	HYEA
22	63	-2301939039	South Korea	ainta
102	63	-3563406298	South Korea	Doju
116	63	-3701549283	South Korea	SebinKim
128	63	-3898351172	South Korea	Namnamseo
146	63	-4062440322	South Korea	rkm0959
194	34	-2117197764	South Korea	ugo
299	32	-3407434997	South Korea	TAMREF
331	32	-4040815086	South Korea	grace0068
336	32	-4175251554	South Korea	BByong
348	29	-739007695	South Korea	ae04071
373	29	-1175981523	South Korea	minwo3o
384	29	-1235433366	South Korea	dh7401
407	29	-1390910411	South Korea	16silver
410	29	-1398745988	South Korea	IHHI
436	29	-1515902292	South Korea	shiftpsh
455	29	-1615706247	South Korea	gs12117
464	29	-1645501226	South Korea	GodTe
465	29	-1650964213	South Korea	SuminKim
467	29	-1656076000	South Korea	zhuny
484	29	-1722844278	South Korea	red1108
485	29	-1723325523	South Korea	hyeonseop
489	29	-1733717837	South Korea	ijleesw
498	29	-1757864300	South Korea	taekop
514	29	-1805625281	South Korea	youx
534	29	-1881385106	South Korea	Rebel_lion
570	29	-1987448400	South Korea	ertyu
573	29	-1992632619	South Korea	yooyou7
579	29	-2015961164	South Korea	LunarHY
598	29	-2056921389	South Korea	coffeetea
637	29	-2147939284	South Korea	gratus907
639	29	-2161188473	South Korea	dtc03012
642	29	-2165647164	South Korea	Biigbang
668	29	-2236787400	South Korea	ahgus89
680	29	-2260832833	South Korea	starwh03
693	29	-2301685281	South Korea	skdudn321
732	29	-2426789087	South Korea	juney
758	29	-2470485840	South Korea	GGOSinon
764	29	-2480687686	South Korea	str0ct
807	29	-2575773331	South Korea	shw2495
814	29	-2595484960	South Korea	jaehaaheaj
845	29	-2664324920	South Korea	OnionPringles
860	29	-2696058140	South Korea	hunni10
940	29	-2875313505	South Korea	checkcheck
982	29	-2979798919	South Korea	Desertship02
991	29	-2994983385	South Korea	Orb_H
1031	29	-3075300806	South Korea	hopflink
1039	29	-3108729914	South Korea	hyeonguk
1061	29	-3169108976	South Korea	king7282
1080	29	-3206975267	South Korea	wider93
1084	29	-3209297678	South Korea	philip1998
1116	29	-3266214423	South Korea	Green_Jung
1117	29	-3266779054	South Korea	izazu1725
1118	29	-3267390667	South Korea	edenooo
1174	29	-3380139599	South Korea	rickmccoy
1235	29	-3500467401	South Korea	yuiop8747
1237	29	-3503403614	South Korea	SiruPorong
1255	29	-3556394210	South Korea	Lazy_Ren
1258	29	-3566127987	South Korea	spectaclehong
1273	29	-3608198178	South Korea	wooks
1310	29	-3686041043	South Korea	jrguyyoo
