Rank	Score	Penalty	Country	Name
2	100	-4589776277	South Korea	cki86201
14	100	-13744477715	South Korea	kipa00
28	100	-21715220362	South Korea	SoulTch
30	100	-22226713621	South Korea	ainta
33	100	-23363847442	South Korea	16silver
36	100	-25340556325	South Korea	ANZ1217
44	100	-29311767229	South Korea	rdd6584
58	100	-34359040149	South Korea	jrguyyoo
97	100	-47190020957	South Korea	kimjungwow
125	100	-56426989798	South Korea	dlalswp25
126	100	-56908422741	South Korea	ertyu
155	100	-64916067715	South Korea	jo_on
165	100	-66460132969	South Korea	Doju
246	100	-80351149672	South Korea	minwo3o
281	100	-85962715328	South Korea	FlowerOfSorrow
372	75	-7113122462	South Korea	pichulia
392	75	-11834122138	South Korea	jh05013
397	75	-12666726854	South Korea	Ryute
426	75	-18652773724	South Korea	jwvg0425
437	75	-20559586865	South Korea	Biigbang
475	75	-29175773481	South Korea	c0510gy
503	75	-34127455198	South Korea	clarion
525	75	-37042107719	South Korea	pser
588	75	-46454222007	South Korea	myeongjoon
592	75	-46723246132	South Korea	OnePunch
604	75	-48248073447	South Korea	domeng
681	75	-53582352659	South Korea	nostalin
712	75	-55134064166	South Korea	ktjooho
728	75	-55451711979	South Korea	dtc03012
799	75	-56877710612	South Korea	wider93
1099	75	-62591129455	South Korea	HeoHeo
1152	75	-63712245202	South Korea	Jhuni
1159	75	-63847832290	South Korea	revoluter
1233	75	-65658598674	South Korea	noelbird
1283	75	-66676545960	South Korea	ik_e
1347	75	-68165817684	South Korea	moonrabbit2
1538	75	-73459274469	South Korea	breeze02
1657	75	-76820376471	South Korea	wooyaggo
1875	75	-85131625303	South Korea	nero96in
2034	75	-93160797806	South Korea	SpringsVGC
2073	75	-95009295020	South Korea	tonykim
2104	75	-96104900133	South Korea	Eunsol
2137	75	-97101835445	South Korea	HyoSeong
2148	75	-97416460598	South Korea	Anjupiter
2196	74	-91703746623	South Korea	lucent
2198	74	-93455708384	South Korea	ialy
2203	68	-3635451086	South Korea	youx
2243	68	-7049254697	South Korea	hunni10
2285	68	-10013157174	South Korea	tkeom
2290	68	-10385215210	South Korea	firefly
2292	68	-11206539644	South Korea	ptncks0121
2302	68	-11982861879	South Korea	tlwpdus
2310	68	-13185562407	South Korea	UngDoo
2348	68	-16156674064	South Korea	Nyan101
2378	68	-18276621589	South Korea	JongMan
2379	68	-18305726449	South Korea	Alinfty
2382	68	-18456228697	South Korea	subeom
2392	68	-19104929765	South Korea	jangjunha
2450	68	-23140183955	South Korea	struss
2465	68	-24075432582	South Korea	CodePlatina
2467	68	-24132153998	South Korea	minty99
2472	68	-24623261659	South Korea	phg0804
2483	68	-25273303362	South Korea	Lawali
2484	68	-25498811992	South Korea	MarshMalloW
2495	68	-25965919254	South Korea	syphon
2520	68	-27943993033	South Korea	evenharder
