Rank	Score	Penalty	Country	Name
7	100	-8517918341	Brazil	FMota
70	100	-38035991677	Brazil	KunikidaHanamaru
131	100	-57716226884	Brazil	felipefcw
330	100	-96267967645	Brazil	MauricioC
354	84	-86171844300	Brazil	cintia
409	75	-14362701674	Brazil	leonardoblanger
412	75	-15659401117	Brazil	gffarias
418	75	-16567708536	Brazil	fer22f
424	75	-17994257328	Brazil	BrunoTissei
428	75	-19245184653	Brazil	AlbertoTDNeto
468	75	-26936364422	Brazil	lam5
783	75	-56618809590	Brazil	iamavalon
802	75	-56954069380	Brazil	IvanCarvalho
803	75	-56961460188	Brazil	BreverViewer
1320	75	-67399415875	Brazil	rodz
1331	75	-67708184210	Brazil	123499
1415	75	-70097265264	Brazil	vitorricoy
1458	75	-71133890645	Brazil	hal
1597	75	-75265257384	Brazil	felipebma
1770	75	-80637536311	Brazil	simasgs
1788	75	-81328107815	Brazil	rafaelgo2
1801	75	-82131344803	Brazil	Sinistro
1897	75	-85935374222	Brazil	marciogadelha
1941	75	-87776718792	Brazil	IManifold
1958	75	-88564908387	Brazil	tgoulart
1969	75	-89154529091	Brazil	Policarpo
2004	75	-91510185777	Brazil	fredbr
2010	75	-91725320436	Brazil	ErikMorbach
2018	75	-92131500725	Brazil	BittencourtMH
2096	75	-95765652496	Brazil	Megamiun
2107	75	-96281746135	Brazil	Ovelha66
2167	75	-98544818736	Brazil	EduPeres
2231	68	-6293928287	Brazil	kobus
2238	68	-6464715379	Brazil	dukilee
2270	68	-8525982940	Brazil	kerven
2312	68	-13272220687	Brazil	paulomiranda98
2318	68	-13871751346	Brazil	mattioli
2328	68	-14493947688	Brazil	lincolnx
2334	68	-14885379793	Brazil	Vawer
2351	68	-16622355218	Brazil	ThiagoSDQ
2361	68	-17295886872	Brazil	gabrielfo
2418	68	-20529787555	Brazil	juarez.paulino
2429	68	-21307955474	Brazil	kinhosz
2476	68	-24967754257	Brazil	pedruzzi
2504	68	-26511878783	Brazil	viniciusth
2523	68	-28074227217	Brazil	ivanilos
2640	68	-33976092756	Brazil	brenorosas
2708	68	-38168469069	Brazil	TNicoletti
3080	68	-52356778024	Brazil	naumazeredo
3190	68	-55853491642	Brazil	Rebeca
3233	68	-56883398432	Brazil	binaryLifter
3344	68	-60495593424	Brazil	Lius
3389	68	-61786388610	Brazil	CaroLinda
3423	68	-62933153504	Brazil	giovaneaf
3447	68	-63726131242	Brazil	Bossle
3537	68	-65545173820	Brazil	peuch
3593	68	-66698389558	Brazil	ViniciusCabessa
3603	68	-66960535316	Brazil	dilsonguim
3653	68	-68088794377	Brazil	damnerd
3743	68	-70455673761	Brazil	morete
4074	68	-79168708090	Brazil	joao_marcos
4105	68	-80127408404	Brazil	tsasaki
4178	68	-82029732953	Brazil	paulocezar
4185	68	-82074665247	Brazil	lmcarreiro
4216	68	-82785892658	Brazil	duda_andrade
4477	68	-91568244346	Brazil	Guttsman
4497	68	-92407880813	Brazil	NatanSG
4508	68	-92856703260	Brazil	wjoao
4537	68	-93946439632	Brazil	tiagomontalvao
4542	68	-94161530913	Brazil	kowalks
4640	68	-98270512183	Brazil	iduleba
4642	68	-98895251865	Brazil	thilio
4662	61	-27622975369	Brazil	ffao
4689	59	-7349074496	Brazil	brunomont
4876	59	-83649668448	Brazil	pinhata
4933	59	-97177047497	Brazil	MatBrasil
5012	52	-16135482755	Brazil	Th_Filipe
5060	52	-34431723777	Brazil	leviwc
5178	52	-56078516363	Brazil	bira37
5339	52	-72579921264	Brazil	GabrielFrizzo
5394	52	-78583178274	Brazil	suarigata
5416	52	-81395620500	Brazil	deneribeiro
5423	52	-82142803066	Brazil	lucas.exe
5476	52	-88166080514	Brazil	lpierezan
5494	52	-90112128043	Brazil	diogoaos
5546	52	-95009608539	Brazil	rodrigo.rossetti
5567	52	-96727335742	Brazil	ViniciusLP
5599	50	-17275002679	Brazil	PedroNC
5603	50	-26288888235	Brazil	hsnavarro
5918	50	-81866887323	Brazil	Andrevas
5958	50	-87566486500	Brazil	wladimirufc
6044	49	-4624739303	Brazil	gbrls
6052	49	-8419311926	Brazil	fakhoury
6056	49	-10046387773	Brazil	Weiszin
6069	49	-13396035805	Brazil	ManelNesquik
6106	49	-23022566556	Brazil	devman
6376	49	-54601257311	Brazil	Gabivh
6485	49	-59502561291	Brazil	nubro
6621	49	-63728259785	Brazil	joaoayalla19
6664	49	-64870214640	Brazil	Carlos_Cabral
6667	49	-64902627590	Brazil	Guilherme_Cabral
6689	49	-65364473271	Brazil	Gabriel123Duarte
6749	49	-66682484015	Brazil	diegorpc
7022	49	-75258855517	Brazil	zuma
7127	49	-78374606877	Brazil	urban2
7151	49	-79050784927	Brazil	MatheusLeon
7182	49	-80241345248	Brazil	jgsp2
7186	49	-80430284107	Brazil	brunopapa
7234	49	-83058048651	Brazil	ivan94
7240	49	-83520753555	Brazil	wellvolks
7282	49	-86147684393	Brazil	Poppolino
7315	49	-88009518346	Brazil	breno
7391	49	-93572565146	Brazil	MatheusDiógenesAndrade
7418	49	-95006845965	Brazil	vhmp
7426	49	-95386211681	Brazil	edsomjr
7427	49	-95458723276	Brazil	alexistoigo
7472	49	-97764434881	Brazil	alanfortlink
7473	49	-97799726866	Brazil	czar_lx
7487	43	-2780095690	Brazil	LeoRiether
