Rank	Score	Penalty	Country	Name
82	100	-5738626075	Mexico	Marckess
418	100	-9975470320	Mexico	jcsiglerp
605	72	-5368504113	Mexico	frcepeda
639	72	-6110036613	Mexico	Josetapia
961	72	-8334644463	Mexico	GustavoMG
1071	72	-8826889762	Mexico	jefe
1148	72	-9155535744	Mexico	Diegogrc
1180	72	-9333269443	Mexico	darkmx0z
1181	72	-9352702465	Mexico	Tiojuan
1195	72	-9475006218	Mexico	heathcliffAC
1274	63	-3367354851	Mexico	juckter
1344	63	-5433065759	Mexico	joseacaz
1505	63	-8100115356	Mexico	kishtarn555
1596	63	-8995589726	Mexico	khmakoto
2095	51	-7759016635	Mexico	JoseSoto
2545	45	-6796464434	Mexico	aadl
2552	45	-7681827638	Mexico	Guendabiaani
2912	42	-7409357633	Mexico	paquechee
3079	42	-8407130817	Mexico	begv
3560	35	-8625586180	Mexico	Dango.Papylord
3569	35	-8893964008	Mexico	misaelpelayo
3673	33	-7949509144	Mexico	victordelafuente
3734	33	-8949815502	Mexico	JuanCarlosGI
3986	31	-9673951223	Mexico	BernardHdz
4166	28	-3022660236	Mexico	Akotadi
4263	28	-3570683164	Mexico	barrons.guillermo.sal
4366	28	-4296892947	Mexico	Kmina
4692	28	-6802263824	Mexico	sergio10barca
4714	28	-6943320811	Mexico	bacarbland
4912	28	-8518883557	Mexico	arctensor
4917	28	-8561996276	Mexico	CaDe
4958	28	-8790994132	Mexico	gpjr
4998	28	-9017275826	Mexico	idlo09
5290	24	-7639419640	Mexico	Dcastillo41
5328	24	-8038084463	Mexico	ricardoge
5466	24	-9216652410	Mexico	Franco1010
5515	24	-10336719706	Mexico	oliveros94daryl
5636	19	-3715080419	Mexico	SoyOscarRH
5733	19	-6234406138	Mexico	HeyUalabi
5904	19	-8273854606	Mexico	Diegocrdn
6080	17	-7965585350	Mexico	Jenkins
6138	14	-3417858689	Mexico	David.Zhou
6177	14	-4314681252	Mexico	MonsieurGalois
6298	14	-5991055746	Mexico	ricardo_hs
6348	14	-6527176380	Mexico	diegofonseca95_
6934	10	-2496878332	Mexico	DavidMS
7207	10	-5942589491	Mexico	edvidarez
7270	10	-6820971067	Mexico	CarlosAranda
7345	10	-7762434391	Mexico	MikeMV
7387	10	-8303645774	Mexico	Atycus
7815	8	-8004866277	Mexico	abraham14
7917	5	-1380127308	Mexico	Garz4
8147	5	-2609478813	Mexico	Pino01
8173	5	-2704803872	Mexico	PedroPeralezzz
8356	5	-3670060137	Mexico	hdfranco
8679	5	-5366139275	Mexico	urielguz33
9031	5	-8108034115	Mexico	causaincausada
9388	3	-8677989390	Mexico	kingarza
9413	0	0	Mexico	#Hermes
9413	0	0	Mexico	0scarmorales
9413	0	0	Mexico	Adriantega
9413	0	0	Mexico	CarlosGarza
9413	0	0	Mexico	JuanPablo
9413	0	0	Mexico	Laborico
9413	0	0	Mexico	Mart97
9413	0	0	Mexico	Moy6dav
9413	0	0	Mexico	RodrigoEA
9413	0	0	Mexico	alanTuringLeft
9413	0	0	Mexico	andiikxz
9413	0	0	Mexico	betor
9413	0	0	Mexico	bot12
9413	0	0	Mexico	dabetm
9413	0	0	Mexico	daydreamer111
9413	0	0	Mexico	fergonzgut21
9413	0	0	Mexico	fgrl1408@gmail.com
9413	0	0	Mexico	humbertoatondo
9413	0	0	Mexico	itzelb
9413	0	0	Mexico	luisfer.th
9413	0	0	Mexico	msalto
9413	0	0	Mexico	tonyrb
