Rank	Score	Penalty	Country	Name
1	100	-3578056721	United States	xiaowuc1
2	100	-4589776277	South Korea	cki86201
3	100	-5783323569	United States	Benq
4	100	-6631819845	Russia	Golovanov399
5	100	-6751086644	Japan	Snuke
6	100	-8144396221	United States	summitwei
7	100	-8517918341	Brazil	FMota
8	100	-9907144950	Germany	Egor
9	100	-11150371783	Indonesia	athin
10	100	-11671361554	Poland	Radewoosh
11	100	-12441388894	Taiwan	zzxzxzzxz
12	100	-13170733381	Canada	wwdd
13	100	-13256094511	Finland	JiK
14	100	-13744477715	South Korea	kipa00
15	100	-14365498872	Canada	davidberard
16	100	-14989244356	Germany	pwild
17	100	-15413876342	United States	sam.reinehr
18	100	-16309295109	United States	HoangVu
19	100	-16876591992	Jordan	Mohammad_Kilani
20	100	-17654936728	United States	kmod
21	100	-19795986717	Canada	ksun48
22	100	-19850712505	China	xyz111
23	100	-20160258980	China	egoist
24	100	-20404355887	Malaysia	zscoder
25	100	-20586680067	Australia	jerrymao
26	100	-20846395116	Taiwan	yhchang3
27	100	-20954216628	United States	frodakcin
28	100	-21715220362	South Korea	SoulTch
29	100	-21883681528	United States	pzf
30	100	-22226713621	South Korea	ainta
31	100	-22450281222	Australia	dave.balmain
32	100	-23148318346	Australia	boboquack
33	100	-23363847442	South Korea	16silver
34	100	-23956963070	Canada	y0105w49
35	100	-24594341041	Taiwan	hank55663
36	100	-25340556325	South Korea	ANZ1217
37	100	-26242569721	Sweden	RCG
38	100	-27417168835	China	peehs_moorhsum
39	100	-27586165651	China	fizzydavid
40	100	-27755909807	Japan	Fumiya
41	100	-28130068396	Greece	gepa
42	100	-29178392017	China	gispzjz
43	100	-29251653554	China	Roundgod
44	100	-29311767229	South Korea	rdd6584
45	100	-29511210287	Japan	mdj982
46	100	-30285911170	New Zealand	malcolmjg
47	100	-30738237269	China	xuanyiming
48	100	-30959488272	Poland	Arnyev
49	100	-31657087026	Ukraine	antontrygubO_o
50	100	-32343592074	Hong Kong	scidylanpno
51	100	-32402005637	United States	LamoreauxAJ
52	100	-32596835441	United States	__ea
53	100	-33570289369	Poland	kturowski
54	100	-33689265315	Cuba	mfornet
55	100	-33712011394	Japan	rabot
56	100	-33858576227	United States	ilackthatsuperpower
57	100	-34289107838	Argentina	lucasr
58	100	-34359040149	South Korea	jrguyyoo
59	100	-34407051379	China	TankEngineer
60	100	-34700434465	China	lizi
61	100	-34956530800	Taiwan	tmwilliamlin168
62	100	-35100752315	Japan	Naoki_M
63	100	-35278321898	Philippines	dsjong
64	100	-35714558087	United States	Etienne
65	100	-35716328943	China	MAOoo
66	100	-37259874141	Thailand	……(。-＿-。)
67	100	-37619842552	China	indestinee
68	100	-37718919393	Czech Republic	majk
69	100	-37767574802	Poland	mnbvmar
70	100	-38035991677	Brazil	KunikidaHanamaru
71	100	-38088664545	Singapore	oneplusone
72	100	-38742886791	Vietnam	atoiz2003
73	100	-39257287557	Japan	kawatea
74	100	-40716609852	Taiwan	jerryyu33
75	100	-41140466127	Netherlands	davidv
76	100	-41160582525	Japan	yudedako
77	100	-41688270229	Japan	kmcode
78	100	-42059143461	Australia	ch41rmn
79	100	-42385214573	United States	anari
80	100	-42705054626	Taiwan	progheal
81	100	-42909710879	China	kieryDAYTOY
82	100	-43157570099	Australia	mgcsls
83	100	-43272515470	India	fsociety00
84	100	-43339401000	Czech Republic	stolis
85	100	-43471897871	China	hjx1212
86	100	-43751616627	China	computer_luo
87	100	-43925253432	Japan	smiken61
88	100	-44056472860	Japan	Shibuyap
89	100	-44104497498	Thailand	noneTP
90	100	-44290238966	Poland	w_
91	100	-44481278967	Netherlands	krijgertje
92	100	-44649083883	China	thebesttv
93	100	-44656710334	New Zealand	ronalchn
94	100	-45066600707	France	arthy
95	100	-46096464635	Vietnam	chemthan
96	100	-47106626131	Hungary	Zoli9
97	100	-47190020957	South Korea	kimjungwow
98	100	-47631176252	China	tennkei
99	100	-47704301163	Netherlands	ludopulles
100	100	-47725786784	China	wilyin
101	100	-48641643749	China	lcy156250
102	100	-49574536378	China	Liyh
103	100	-50568109678	Russia	Maksim1744
104	100	-50612379886	China	__doge__
105	100	-50835756031	Taiwan	Splend1dChan
106	100	-50981259372	Poland	DamianS
107	100	-51175118303	Canada	BlazingMuddy
108	100	-51216100792	India	_shanky
109	100	-51599022251	Slovakia	misof
110	100	-51788204552	Hong Kong	percywtc
111	100	-51993301998	China	shyoshyo
112	100	-52794044789	Vietnam	@vhnvn
113	100	-52870999654	Poland	Marcin.Smulewicz
114	100	-53325630718	Germany	lumibons
115	100	-53327017325	Cuba	gilcu3
116	100	-54037627936	Macau	Agu1729
117	100	-54132075242	Canada	FinnLidbetter
118	100	-54199476717	Canada	wleung_bvg
119	100	-54255158842	Japan	Aquarius_256
120	100	-54678419187	India	mbrc
121	100	-54966258880	United States	YYulian
