Rank	Score	Penalty	Country	Name
77	68	-3872626607	Taiwan	iPeter
78	68	-3949482444	Taiwan	0w1
82	68	-3988494820	Taiwan	it3
102	68	-4466677238	Taiwan	garyshih
124	68	-4740378757	Taiwan	HandsomeLiu37
160	68	-5046287977	Taiwan	guaguakai
171	68	-5174976938	Taiwan	gloompisces
178	68	-5300527302	Taiwan	weitang114
180	68	-5320843675	Taiwan	joylintp
195	68	-5551097812	Taiwan	zolution1218
204	68	-5722034805	Taiwan	Ccucumber12
205	68	-5938997245	Taiwan	boook64
210	64	-3343888034	Taiwan	iaNTU
223	64	-4905477308	Taiwan	WJT
224	64	-4918956006	Taiwan	HunTer
229	58	-1555557261	Taiwan	Splend1dChan
279	58	-2520012121	Taiwan	waitingkuo
332	58	-2948223018	Taiwan	Kumazan
357	58	-3129321075	Taiwan	lawfung60
369	58	-3214689346	Taiwan	Ocean_Surf
377	58	-3262575679	Taiwan	za8244
421	58	-3481019567	Taiwan	kamyu
509	58	-3908720205	Taiwan	jd3
609	58	-4269033157	Taiwan	JiaYeLi
611	58	-4271013629	Taiwan	nella17
711	58	-4652435702	Taiwan	AnnieFromTaiwan
724	58	-4706473938	Taiwan	MROS
746	58	-4803063233	Taiwan	teacup123123
753	58	-4821656445	Taiwan	alon21034
772	58	-4884225826	Taiwan	ElitE_MING
817	58	-5077851709	Taiwan	Maxwill
849	58	-5274877902	Taiwan	Sean64
853	58	-5307441275	Taiwan	vehemency
877	58	-5599233632	Taiwan	oToToT
962	51	-5014682005	Taiwan	QAOOOOO
974	51	-5422148123	Taiwan	10eipeip
978	51	-5549983578	Taiwan	hortune
1015	41	-2777729247	Taiwan	TCC
1029	41	-2990199236	Taiwan	amgtier
1031	41	-3018201844	Taiwan	YH89
1061	41	-3247840405	Taiwan	_Ice_Tea_
1080	41	-3379418452	Taiwan	Bogay410273
1094	41	-3468459112	Taiwan	kojiji
1096	41	-3488298141	Taiwan	JY
1099	41	-3498679919	Taiwan	Blue
1122	41	-3589770068	Taiwan	sevenlol
1226	41	-4045305510	Taiwan	liao119
1232	41	-4056817724	Taiwan	yrclamb
1245	41	-4104112227	Taiwan	amoshyc
1275	41	-4177104300	Taiwan	s123unny
1301	41	-4241187958	Taiwan	mike51
1392	41	-4512866761	Taiwan	w80707
1490	41	-4735846282	Taiwan	uuuuuno
