Rank	Score	Penalty	Country	Name
196	100	-5201708988	Mexico	Diegogrc
221	100	-5368504113	Mexico	frcepeda
302	100	-5738626075	Mexico	Marckess
418	100	-6110036613	Mexico	Josetapia
713	100	-7099124192	Mexico	jcsiglerp
966	72	-6126555641	Mexico	sergio10barca
992	72	-7053058338	Mexico	gpjr
1209	63	-3367354851	Mexico	juckter
1680	63	-5433065759	Mexico	joseacaz
2252	63	-6888598683	Mexico	jefe
2542	45	-5451442071	Mexico	victordelafuente
2584	45	-5811346570	Mexico	heathcliffAC
2822	42	-6527176380	Mexico	diegofonseca95_
2824	42	-6727954628	Mexico	JuanCarlosGI
2857	40	-3715080419	Mexico	SoyOscarRH
2971	40	-5577520404	Mexico	Dcastillo41
3020	40	-6052466013	Mexico	Franco1010
3040	40	-6234406138	Mexico	HeyUalabi
3439	35	-3417858689	Mexico	David.Zhou
3531	35	-4314681252	Mexico	MonsieurGalois
3577	35	-4663508959	Mexico	darkmx0z
3647	35	-5028590551	Mexico	aadl
3689	35	-5300581469	Mexico	Diegocrdn
3718	35	-5466239016	Mexico	Guendabiaani
3797	35	-5991055746	Mexico	ricardo_hs
3992	31	-5451247499	Mexico	Tiojuan
4109	28	-1264764118	Mexico	kishtarn555
4222	28	-2043261504	Mexico	JoseSoto
4375	28	-2669143894	Mexico	GustavoMG
4475	28	-3022660236	Mexico	Akotadi
4563	28	-3274731577	Mexico	begv
4653	28	-3570683164	Mexico	barrons.guillermo.sal
4700	28	-3771107122	Mexico	khmakoto
4849	28	-4296892947	Mexico	Kmina
4860	28	-4365741566	Mexico	paquechee
5214	28	-5613877460	Mexico	BernardHdz
5510	13	-5182230494	Mexico	oliveros94daryl
5704	10	-2496878332	Mexico	DavidMS
6070	10	-5041795049	Mexico	CaDe
6231	10	-5942589491	Mexico	edvidarez
6344	10	-6820971067	Mexico	CarlosAranda
6453	8	-4826463523	Mexico	Jenkins
6639	5	-1380127308	Mexico	Garz4
6654	5	-1456123322	Mexico	abraham14
6941	5	-2609478813	Mexico	Pino01
6971	5	-2704803872	Mexico	PedroPeralezzz
7206	5	-3670060137	Mexico	hdfranco
7645	5	-5366139275	Mexico	urielguz33
7657	5	-5442600360	Mexico	ricardoge
7762	5	-5948573587	Mexico	MikeMV
8164	0	0	Mexico	#Hermes
8164	0	0	Mexico	0scarmorales
8164	0	0	Mexico	CarlosGarza
8164	0	0	Mexico	JuanPablo
8164	0	0	Mexico	Laborico
8164	0	0	Mexico	RodrigoEA
8164	0	0	Mexico	humbertoatondo
8164	0	0	Mexico	luisfer.th
8164	0	0	Mexico	msalto
8165	0	0	Mexico	Mart97
8165	0	0	Mexico	alanTuringLeft
8165	0	0	Mexico	bot12
8165	0	0	Mexico	dabetm
8165	0	0	Mexico	fergonzgut21
8168	0	0	Mexico	andiikxz
8168	0	0	Mexico	fgrl1408@gmail.com
