Rank	Score	Penalty	Country	Name
283	100	-8250842954	Thailand	Thien
330	100	-8728308646	Thailand	noneTP
634	72	-5989762165	Thailand	disneyp
679	72	-6601035714	Thailand	Polpolpol
751	72	-7114194703	Thailand	PalmPTSJ
779	72	-7298573890	Thailand	potpath
835	72	-7642600516	Thailand	Lucina
839	72	-7662365453	Thailand	QMeRNo
1144	72	-9121326880	Thailand	SigmaZ
1197	72	-9519826048	Thailand	MysteryName
1210	72	-9666621900	Thailand	PKhing
1250	65	-4584093316	Thailand	……(。-＿-。)
1397	63	-6551609537	Thailand	bT.53
1564	63	-8705805855	Thailand	NonJ
1649	61	-7835367183	Thailand	PLUM
1780	51	-5596997463	Thailand	mIXs
1937	51	-6862798895	Thailand	pkk.tino
2268	51	-8557122710	Thailand	tana
2367	51	-8962312402	Thailand	imtk
2382	51	-9016091794	Thailand	MAGCARI
2435	51	-9274326834	Thailand	Chomtana
2585	45	-9145115897	Thailand	top34051
2604	44	-8880510791	Thailand	r5insight
2635	42	-4222124946	Thailand	Autoratch
3098	42	-8522293916	Thailand	boatinw99
3225	42	-9236864259	Thailand	RayaBurong25.1
3420	37	-6741062748	Thailand	kzaki
3444	37	-8076691448	Thailand	Chaiwat
3499	35	-5581206966	Thailand	hangtenz
3524	35	-6833320427	Thailand	Ryu_io
3641	33	-7271324359	Thailand	Teehandsome
3767	33	-9401672396	Thailand	tofusan
4087	28	-2367070173	Thailand	piyawut.pattamanon
4142	28	-2832673091	Thailand	Cint
4147	28	-2879947009	Thailand	gotzillaz
4407	28	-4619924281	Thailand	Narut
4445	28	-4836209454	Thailand	thanabhat
4475	28	-5060639555	Thailand	AquaBlaze
4609	28	-6118485764	Thailand	smallhand
4850	28	-8019654705	Thailand	weerapat15
5254	24	-7240948142	Thailand	pongtaewin
5400	24	-8714483467	Thailand	vickvick
5438	24	-8982177985	Thailand	Wattanai.S
6135	14	-3237502123	Thailand	apkmew
6162	14	-4005166808	Thailand	appsoluszero
6187	14	-4519637782	Thailand	Kasai
6237	14	-5188350165	Thailand	Fmindex
6492	14	-8233033414	Thailand	sppwt
6615	14	-8941537996	Thailand	Waratpp123
6819	13	-8556594020	Thailand	KersWC
6837	13	-9033420617	Thailand	KSoul
6907	10	-1895990701	Thailand	ThanadeeW
7057	10	-4260609196	Thailand	kjarujit
7219	10	-6108481955	Thailand	suppio
7542	9	-6111403261	Thailand	nawanolt
7551	9	-6610507700	Thailand	Mickypinata
8169	5	-2691317157	Thailand	Nickyyyy
8346	5	-3600676767	Thailand	alongkorn
8393	5	-3878019431	Thailand	nutpakorn
8755	5	-5922154608	Thailand	My99N
9067	5	-8382038643	Thailand	chunza2542
9114	5	-8794235639	Thailand	KangCyn04
9413	0	0	Thailand	CHUNG
9413	0	0	Thailand	DarkST
9413	0	0	Thailand	Kritsatorn
9413	0	0	Thailand	Nepumi
9413	0	0	Thailand	NestZ
9413	0	0	Thailand	Snowfall2
9413	0	0	Thailand	Whaly
9413	0	0	Thailand	banyaphon.r
9413	0	0	Thailand	chat9780
9413	0	0	Thailand	lzsolar
