Rank	Score	Penalty	Country	Name
54	100	-5027680803	Vietnam	Maripium
114	100	-6208637715	Vietnam	kuroni
129	100	-6388847300	Vietnam	atoiz2003
167	100	-6832375861	Vietnam	I_love_tigersugar
344	100	-9019764938	Vietnam	ngfam
356	100	-9165826550	Vietnam	xuanquang1999
405	82	-8271959238	Vietnam	darkkcyan
447	79	-7000424669	Vietnam	LeMinhQuang
481	79	-8577158495	Vietnam	@vhnvn
496	79	-9104487990	Vietnam	KonaeAkira
664	72	-6789963659	Vietnam	neko_nyaa
748	72	-7305311701	Vietnam	ld_minh4354
786	72	-7541430954	Vietnam	Lien
790	72	-7574377421	Vietnam	DatVu06
933	72	-8363429970	Vietnam	Thanh15Ti
938	72	-8396012469	Vietnam	farmerboy
973	72	-8570049539	Vietnam	Kanon.Nakagawa
999	72	-8695440121	Vietnam	infrmtcs
1011	72	-8741794830	Vietnam	aome
1036	72	-8871713963	Vietnam	thenymphsofdelphi
1037	72	-8873512151	Vietnam	baohiep
1100	72	-9134760773	Vietnam	manh9203
1131	72	-9301381712	Vietnam	hieule22
1136	72	-9365318570	Vietnam	SamNguyen
1140	72	-9397256569	Vietnam	duyboy1357
1163	72	-9666927694	Vietnam	tuananh238
1183	72	-10206121587	Vietnam	vingg
1260	63	-4766042175	Vietnam	ARinA
1291	63	-5426102257	Vietnam	EntityIT
1354	63	-6732783835	Vietnam	h_elloworl_d
1363	63	-6895563221	Vietnam	ToMoClone
1533	63	-9025121280	Vietnam	roberto119
1564	63	-9907576254	Vietnam	mpn94
1570	63	-10113763159	Vietnam	vangtrangtan
1573	63	-10327191944	Vietnam	thanglegons
1587	56	-8425079724	Vietnam	dpd0703
1624	54	-8632543077	Vietnam	dinhvietcuong
1669	51	-4680818693	Vietnam	mbfibat
1705	51	-5576510856	Vietnam	TungMPhung
1898	51	-7064610358	Vietnam	tungnp92
1946	51	-7349433446	Vietnam	lamnhh
1966	51	-7467464379	Vietnam	UncleGrandpa
2008	51	-7694947816	Vietnam	makacha
2016	51	-7728792881	Vietnam	HoangViet
2113	51	-8185052377	Vietnam	nhphuongltv
2121	51	-8234114941	Vietnam	Lightmoon
2124	51	-8255488022	Vietnam	minhquanym
2125	51	-8265734118	Vietnam	minhcool
2209	51	-8739662832	Vietnam	Turboblaze
2214	51	-8762145521	Vietnam	jamienguyen
2420	49	-8688554874	Vietnam	wangvn2508
2537	42	-4332825291	Vietnam	6aren
2605	42	-5621911282	Vietnam	havtt020195
2666	42	-6306252185	Vietnam	VHPro
