Rank	Score	Penalty	Country	Name
28	29	-509268858	Taiwan	utaha
106	29	-1128962072	Taiwan	gloompisces
150	29	-1316990431	Taiwan	afq873
191	29	-1432042796	Taiwan	nonamefour0210
200	29	-1478774930	Taiwan	RogerW
210	29	-1505819724	Taiwan	tsyr
238	29	-1576596429	Taiwan	johnathan79717
279	29	-1683022278	Taiwan	cheissmart
289	29	-1713760463	Taiwan	GGJHONG
396	29	-1973825830	Taiwan	Glair
408	29	-1994438978	Taiwan	dreamoon_love_AA
449	29	-2076850886	Taiwan	yp155136
450	29	-2085602532	Taiwan	SheepRanger
472	29	-2130163302	Taiwan	sayuan
508	29	-2203150670	Taiwan	weitang114
530	29	-2449161897	Taiwan	qazwsxedcrfvtg14
567	13	-1020942638	Taiwan	lolicon_tw
738	13	-2052560535	Taiwan	ltf0501
773	13	-2136228410	Taiwan	thumbd12856
776	13	-2144747174	Taiwan	dancooper0705
798	13	-2361498216	Taiwan	hortune
804	13	-2435930004	Taiwan	tkain
824	5	-1005166972	Taiwan	adzen
902	5	-2010404717	Taiwan	joelthchao
990	0	0	Taiwan	Hannnnk
990	0	0	Taiwan	JerryChengDeLin
990	0	0	Taiwan	Sean64
990	0	0	Taiwan	Yinghao
990	0	0	Taiwan	alan8585
990	0	0	Taiwan	alon21034
990	0	0	Taiwan	billy4195su
990	0	0	Taiwan	daniel920712
990	0	0	Taiwan	edisonhello
990	0	0	Taiwan	garyshih
990	0	0	Taiwan	hsnusonic
990	0	0	Taiwan	jim800121.chen
990	0	0	Taiwan	sevenlol
990	0	0	Taiwan	tmwilliamlin168
990	0	0	Taiwan	x_____0
