Rank	Score	Penalty	Country	Name
322	100	-93862107774	Mexico	juckter
384	75	-10487998938	Mexico	Diegogrc
460	75	-25362642424	Mexico	mraggi
492	75	-32182945503	Mexico	sergio10barca
1402	75	-69790796732	Mexico	MonsieurGalois
2417	68	-20503478777	Mexico	joseacaz
2431	68	-21503824786	Mexico	jcsiglerp
2527	68	-28332291095	Mexico	Tiojuan
2730	68	-39029480488	Mexico	CarlosGarza
3207	68	-56328078186	Mexico	paquechee
3917	68	-74669635710	Mexico	David.Zhou
4130	68	-80624033513	Mexico	idlo09
4265	68	-84373058762	Mexico	Josetapia
4304	68	-85706442536	Mexico	bacarbland
4310	68	-85857109991	Mexico	XGEu2X
4478	68	-91610957951	Mexico	victordelafuente
4484	68	-91844599603	Mexico	frcepeda
4531	68	-93813878659	Mexico	arctensor
4538	68	-93995709809	Mexico	ansaca
4618	68	-96854161014	Mexico	BernardHdz
4631	68	-97430101288	Mexico	tonyrb
5307	52	-70009825193	Mexico	JuanCarlosGI
5345	52	-73346091512	Mexico	ricardoge
5553	52	-95841259806	Mexico	Andresrodart
6150	49	-30945860722	Mexico	DavidMS
7050	49	-76110423176	Mexico	Akotadi
7246	49	-83914092323	Mexico	pelayuss
7310	49	-87696616013	Mexico	edvidarez
7359	49	-91243754428	Mexico	JoseSoto
7423	49	-95133114694	Mexico	mikebsg01
7498	43	-6494628287	Mexico	Franco1010
7578	43	-21846685893	Mexico	bot12
7654	43	-31990741373	Mexico	snowpuppy
8348	43	-71017675711	Mexico	HeyUalabi
8377	43	-72182294100	Mexico	jxmm
8673	43	-84744556999	Mexico	macs
8695	43	-85647287293	Mexico	Vikfret
8785	43	-89293159204	Mexico	msalto
8881	43	-94003039848	Mexico	Laborico
8926	43	-96162958325	Mexico	Alex_Faru
9168	42	-3555394350	Mexico	SoyOscarRH
9427	42	-6056253599	Mexico	Atile
9603	42	-7974648769	Mexico	laraconda
9622	42	-8140153107	Mexico	Marckess
9681	42	-8833346316	Mexico	MarioGzSl
9685	42	-8888868083	Mexico	heathcliffAC
9705	42	-9123581721	Mexico	Gamapro
9762	42	-9815053485	Mexico	khmakoto
9772	42	-9893145991	Mexico	Diegocrdn
9786	42	-10038776008	Mexico	Guendabiaani
10022	42	-12741471491	Mexico	AlejandroGY
10258	42	-14947230267	Mexico	fergonzgut21
10274	42	-15094070451	Mexico	Mart97
10310	42	-15580489976	Mexico	oliveros94daryl
10318	42	-15642219181	Mexico	Sam28_
10381	42	-16191385804	Mexico	cruzjorgesalazar
10415	42	-16528688093	Mexico	MikeMV
10569	42	-17944366311	Mexico	RasecBadguy
10581	42	-18096965544	Mexico	Kmina
10730	42	-19468297142	Mexico	JosueL
10739	42	-19611118168	Mexico	MAGP116
11033	42	-22196321930	Mexico	barrons.guillermo.sal
11130	42	-23003468959	Mexico	gpjr
11228	42	-23742902702	Mexico	CaDe
11309	42	-24416328420	Mexico	hdfranco
11522	42	-26119365914	Mexico	diegofonseca95_
11554	42	-26374382631	Mexico	Chuchox.Jaraday
11603	42	-26630391697	Mexico	TheChouzanOne
11642	42	-26915582758	Mexico	Pino01
11735	42	-27447063573	Mexico	alanTuringLeft
11966	42	-28905571522	Mexico	Ismael.Olvera
12087	42	-29616963929	Mexico	eduardococh
12164	42	-29986935416	Mexico	andiikxz
12600	42	-32274588905	Mexico	pacoswitch
14010	42	-39302312546	Mexico	jantonio07
15332	42	-45340272973	Mexico	itzelb
15458	42	-45867749254	Mexico	Mariomo
18340	42	-57530518587	Mexico	fgrl1408@gmail.com
18559	42	-58277050823	Mexico	Dcastillo41
19748	42	-62755341165	Mexico	Leon14
19980	42	-63612854263	Mexico	Daniel19Frenzy
20506	42	-65520860339	Mexico	kishtarn555
20563	42	-65725725895	Mexico	karol22
20685	42	-66117655690	Mexico	Moy6dav
21101	42	-67390296975	Mexico	robsolisrob
21753	42	-69588690965	Mexico	NibboNSX
22697	42	-72730483542	Mexico	JuanPablo
22833	42	-73152818605	Mexico	juan1496
23214	42	-74492925528	Mexico	galloska
23612	42	-75923997763	Mexico	FernandoCaro
23647	42	-76070508277	Mexico	GerardoGarzon11
23660	42	-76140279763	Mexico	Astrar
23733	42	-76417818788	Mexico	crispu
23958	42	-77331835875	Mexico	GustavoMG
24453	42	-79324424818	Mexico	Darkensses
24993	42	-81700720518	Mexico	YOSSHUA
25051	42	-82062696274	Mexico	Oxim
25151	42	-82572271641	Mexico	CarlosAranda
25213	42	-82864871753	Mexico	Cleanupcoast6
25429	42	-83899502283	Mexico	Elmanuel
25462	42	-84101255078	Mexico	FernieCortez
25569	42	-84623401750	Mexico	RubenRETM
25571	42	-84644949300	Mexico	fershady19
25629	42	-84946259622	Mexico	alex_rangi
25633	42	-84970520011	Mexico	misaelpelayo
25739	42	-85627063068	Mexico	m0cg
25746	42	-85661392496	Mexico	eloyhz
25965	42	-86926848807	Mexico	LuisPedroza07
