Rank	Score	Penalty	Country	Name
127	19	-317275368	Brazil	NatanSG
145	19	-338560538	Brazil	Lawliet2908
206	19	-391052364	Brazil	guimafelipe
265	19	-430848291	Brazil	leonardoblanger
289	19	-448704467	Brazil	reiracofage
329	19	-492164362	Brazil	wjoao
340	19	-502624036	Brazil	lucasagra
355	19	-519128174	Brazil	lam5
400	19	-566451577	Brazil	BernardoSulzbach
438	19	-616800953	Brazil	pedroteosousa
457	19	-644399349	Brazil	VictorBreder
488	19	-689081544	Brazil	Gabivh
495	19	-704965100	Brazil	Thiagohnc
500	19	-709984879	Brazil	rafaelgo2
530	19	-755329906	Brazil	paulocezar
586	19	-862832055	Brazil	Th_Filipe
758	19	-1179407834	Brazil	rodrigozhou
778	19	-1201278230	Brazil	NelsonGomesNeto
846	19	-1305045458	Brazil	FMota
893	19	-1364315387	Brazil	ffao
961	19	-1442584008	Brazil	tubone
1151	19	-1653895417	Brazil	lucas3h
1273	19	-1781960696	Brazil	kinhosz
1275	19	-1787335019	Brazil	IvanCarvalho
1510	0	0	Brazil	bira37
1510	0	0	Brazil	tfgg
1519	0	0	Brazil	kobus
1522	0	0	Brazil	Lius
1522	0	0	Brazil	Nuu
