Rank	Score	Penalty	Country	Name
123	100	-6304958613	Brazil	KunikidaHanamaru
214	100	-7464544596	Brazil	ffao
268	100	-8154453448	Brazil	Lius
378	100	-9588403239	Brazil	ivanilos
383	100	-9689933997	Brazil	Nson
415	79	-4592418455	Brazil	tfgg
423	79	-5469769604	Brazil	Kallaseldor
454	79	-7570353349	Brazil	FMota
500	79	-9282687057	Brazil	BernardoSulzbach
520	79	-10384498969	Brazil	Lawliet2908
528	72	-2834811423	Brazil	kobus
558	72	-4843028426	Brazil	brunomont
590	72	-5697782723	Brazil	rafaelgo2
654	72	-6647895041	Brazil	rodz
702	72	-6998934768	Brazil	SchF_
716	72	-7100864635	Brazil	Gapinho
823	72	-7736909811	Brazil	paulomiranda98
886	72	-8109715159	Brazil	cfms3
927	72	-8337670550	Brazil	rodrigozhou
928	72	-8343641662	Brazil	BittencourtMH
968	72	-8540982444	Brazil	luccasiau
1169	72	-9748354528	Brazil	kinhosz
1206	65	-8483960012	Brazil	IvanCarvalho
1286	63	-5308289158	Brazil	felipefcw
1297	63	-5504924475	Brazil	lucas3h
1335	63	-6401602270	Brazil	NelsonGomesNeto
1373	63	-6999433443	Brazil	leonardoblanger
1386	63	-7282174046	Brazil	gustavo_m32
1397	63	-7488422742	Brazil	diogoaos
1415	63	-7750111897	Brazil	gabrielfo
1470	63	-8388907559	Brazil	Gabivh
1510	63	-8805135678	Brazil	Rebeca
1524	63	-8949725049	Brazil	rafaeldaigo
1565	63	-9924087342	Brazil	pedroh
1568	63	-10069301165	Brazil	Vlamarca
1807	51	-6458504654	Brazil	JMarcos
1820	51	-6556351872	Brazil	guimafelipe
1881	51	-6963391353	Brazil	LeoRiether
1920	51	-7226916145	Brazil	жти
1944	51	-7342602516	Brazil	viniciusth
1954	51	-7392439112	Brazil	dikson
1959	51	-7426450828	Brazil	wilwxk
1968	51	-7470304324	Brazil	lincolnx
1971	51	-7490966801	Brazil	dilsonguim
1974	51	-7496597788	Brazil	lpierezan
1985	51	-7566477672	Brazil	lucsturci
2047	51	-7894018512	Brazil	CaroLinda
2061	51	-7950960860	Brazil	binaryLifter
2196	51	-8631187167	Brazil	BrunoTissei
2200	51	-8656680402	Brazil	wjoao
2211	51	-8741625822	Brazil	Vawer
2273	51	-8955350097	Brazil	filipeabelha
2283	51	-8982670380	Brazil	AlbertoTDNeto
2302	51	-9058505144	Brazil	eduardocesb
2378	51	-9604953604	Brazil	tomaz1502
2380	51	-9619200493	Brazil	123499
2398	51	-9947518661	Brazil	fakhoury
2410	51	-11068896548	Brazil	ManelNesquik
2466	45	-8737481327	Brazil	Rasinhas
2481	45	-9212043739	Brazil	joao_marcos
2503	44	-9279733184	Brazil	Leonardo_Paes
2508	42	-3058700612	Brazil	pedrohlf
2523	42	-4078696793	Brazil	HenriqueBrito
2564	42	-5020976746	Brazil	rods
2586	42	-5422688404	Brazil	mattioli
2590	42	-5455152677	Brazil	gustavolima00
2782	42	-7318597058	Brazil	mtosatti
2796	42	-7371071835	Brazil	leviwc
2876	42	-7861068080	Brazil	docardoso
2911	42	-8088607971	Brazil	thilio
2931	42	-8183433123	Brazil	tiagoshibata
2971	42	-8454305077	Brazil	ErikMorbach
2982	42	-8525518335	Brazil	Bigg_
2997	42	-8604368879	Brazil	pedruzzi
3029	42	-8803985923	Brazil	Ovelha66
3032	42	-8831911611	Brazil	tiagomontalvao
3113	42	-9340956246	Brazil	GiulianoPrado
3159	42	-10140055458	Brazil	pauloamed
3191	40	-6914917970	Brazil	juniorandrade
3233	40	-8787277040	Brazil	DiegoBZ
3273	37	-5583507330	Brazil	luiz.py
3292	37	-7098212467	Brazil	damnerd
3396	35	-7158699495	Brazil	cintia
3423	35	-8582297989	Brazil	parenti
3452	33	-4939785168	Brazil	bira37
3460	33	-5763013292	Brazil	yurisantamarina
3467	33	-5969565153	Brazil	ViniciusCabessa
3480	33	-6681204775	Brazil	dorime
3495	33	-7124336834	Brazil	giovaneaf
3518	33	-7662095499	Brazil	lamartine.cb
3582	33	-8777323501	Brazil	fbfdestro
3640	33	-10066150428	Brazil	jovitre
3769	31	-8616042760	Brazil	breno
3817	31	-9200866069	Brazil	juarez.paulino
3836	31	-9708368066	Brazil	bbranta
3839	31	-10046861656	Brazil	czar_lx
3848	28	-1058083790	Brazil	MauricioC
3857	28	-1304676488	Brazil	hfiuza
3885	28	-1784093093	Brazil	tgoulart
3890	28	-1918535382	Brazil	tubone
3934	28	-2359516919	Brazil	reiracofage
3949	28	-2510801599	Brazil	srgioreinier
3955	28	-2576591810	Brazil	iamavalon
4088	28	-3382769961	Brazil	GabrielCamargo
4265	28	-4718326367	Brazil	MatheusLealV
4277	28	-4800644942	Brazil	Nuu
4278	28	-4800964202	Brazil	Giatro
4360	28	-5356067904	Brazil	lam5
4378	28	-5508481604	Brazil	EduardoFernandes
4437	28	-6018868613	Brazil	gcgm
4556	28	-6994435790	Brazil	rolimans
4564	28	-7063833772	Brazil	ReneArgento
4669	28	-7933078167	Brazil	leaomatheus
4677	28	-8005354188	Brazil	G3WS_Sir_Renan
4687	28	-8089414853	Brazil	railtont
4746	28	-8599188622	Brazil	LeaoL
4828	28	-9056896135	Brazil	fer22f
4859	28	-9382884963	Brazil	NatanSG
4902	24	-3570569889	Brazil	Arkham_Knight
5024	24	-6791317320	Brazil	sofhiasouza
5081	24	-7345392135	Brazil	Resende
5155	24	-8150061457	Brazil	guiniehues
5195	24	-8573820196	Brazil	MvKaio
5239	24	-8894532919	Brazil	Sinistro
5285	24	-9319457681	Brazil	iduleba
5300	24	-9630673546	Brazil	wagnermachadofilho
5317	24	-10075934752	Brazil	rennanrocha
5353	23	-8039528975	Brazil	Dicksiano
5401	23	-10261887900	Brazil	DouglasNobrega
5460	19	-4848372107	Brazil	LeticiaFCS
5571	19	-6640248239	Brazil	wdsrocha
5590	19	-6886663552	Brazil	souvenir_vayne
5621	19	-7263134588	Brazil	Maiara
5729	19	-8483999368	Brazil	silviasfon
5731	19	-8507269726	Brazil	rodolfoams
5738	19	-8553144464	Brazil	tsukasa
5781	19	-8941675443	Brazil	lucasagra
5796	19	-9133472908	Brazil	jgsp2
5800	19	-9156096936	Brazil	mduarte
5860	17	-7948216570	Brazil	lucask
5906	14	-3001599050	Brazil	raphaelrbr
5917	14	-3391974258	Brazil	jps12
6028	14	-5388913084	Brazil	brunopapa
6095	14	-6286351998	Brazil	EduPeres
6169	14	-7103356849	Brazil	MaxWillf
6183	14	-7258450922	Brazil	joaoayalla19
6284	14	-8478269210	Brazil	christeta
6368	14	-9229534351	Brazil	rop
6419	13	-5893099254	Brazil	bfs.07
6477	13	-7717603316	Brazil	Gabriel123Duarte
6503	13	-8373858852	Brazil	Jedian
6537	13	-9164604396	Brazil	Guttsman
6610	10	-2243283695	Brazil	hal
6613	10	-2288944583	Brazil	naumazeredo
6725	10	-4074783967	Brazil	EduardoC
6978	10	-7231194178	Brazil	marciogadelha
7201	9	-6018907956	Brazil	yjaschek
7216	9	-6668942899	Brazil	Poppolino
7309	9	-9854231064	Brazil	pablo_aa
7333	8	-3496242973	Brazil	edusporto
7360	8	-4784736134	Brazil	Teshugo
7368	8	-5151195247	Brazil	gustavo_chermout
7436	8	-7188336791	Brazil	rogerp4ssos
7441	8	-7318909911	Brazil	PabloGustavo
7452	8	-7663008796	Brazil	goudiman
7456	8	-7694616039	Brazil	Xixila
7579	5	-1565329562	Brazil	pedro.913
7607	5	-1733751465	Brazil	FelipeF
7649	5	-1944283296	Brazil	weber09
7714	5	-2267647952	Brazil	steigert
7742	5	-2411740286	Brazil	danielpereira
7753	5	-2462600085	Brazil	lorenzomoulin
7815	5	-2727873687	Brazil	vitorricoy
7843	5	-2885883327	Brazil	bernardoamorim
7974	5	-3557043345	Brazil	MatheusMonteiro
8034	5	-3911853714	Brazil	matheusfabian
8062	5	-4052829776	Brazil	wladimirufc
8074	5	-4135057388	Brazil	andeb
8106	5	-4261379742	Brazil	Franew
8123	5	-4372618669	Brazil	BrPP
8242	5	-4905567709	Brazil	mikaelmello
8251	5	-4937636790	Brazil	snipa
8300	5	-5329257395	Brazil	dytron
8351	5	-5694052798	Brazil	tiagomariinhoo
8356	5	-5750077558	Brazil	gvilardefarias
8407	5	-6159608530	Brazil	mhsantos
8695	5	-8713290355	Brazil	Megamiun
8775	3	-2558226993	Brazil	deneribeiro
8800	3	-3486626440	Brazil	Staticdev
8922	3	-7495905403	Brazil	bathroomtiles
8927	3	-7743317243	Brazil	GuilhermeS
