Rank	Score	Penalty	Country	Name
4	100	-8189312990	Vietnam	kuroni
165	65	-6354476200	Vietnam	chemthan
176	65	-6498757330	Vietnam	I_love_tigersugar
187	65	-6553924673	Vietnam	MofK
199	65	-6690225033	Vietnam	farmerboy
260	65	-7055455178	Vietnam	atoiz2003
292	65	-7270098193	Vietnam	LeMinhQuang
293	65	-7271085839	Vietnam	KonaeAkira
354	65	-7599107534	Vietnam	Dragon_Fly_02
395	65	-7795410467	Vietnam	net12k44
425	65	-7892404274	Vietnam	neko_nyaa
432	65	-7937732886	Vietnam	iwantfreetshirts
482	65	-8162347032	Vietnam	Combi2k2
527	65	-8307482465	Vietnam	EntityIT
538	65	-8349510692	Vietnam	leduythuc
590	65	-8494067453	Vietnam	lephamkhanguyen
594	65	-8505084737	Vietnam	HellAngel070
611	65	-8573230549	Vietnam	huyvvo
656	65	-8696743821	Vietnam	IceWiz
695	65	-8828662112	Vietnam	ARinA
704	65	-8877322371	Vietnam	6aren
751	65	-9061828022	Vietnam	Kanon.Nakagawa
785	65	-9188269341	Vietnam	ladpro98
817	65	-9363765745	Vietnam	darkkcyan
852	65	-9605634629	Vietnam	Triracle
950	45	-6847272327	Vietnam	s34vv1nd
984	45	-7685210494	Vietnam	redlcamille
1097	39	-1864225452	Vietnam	wangvn2508
1116	39	-2833549209	Vietnam	Johnny_2002
1162	39	-3624631449	Vietnam	thanglegons
1239	39	-4202823156	Vietnam	thenymphsofdelphi
1322	39	-4698964217	Vietnam	Maripium
1353	39	-4843923431	Vietnam	ngfam
1433	39	-5177504765	Vietnam	bvdung
1476	39	-5372915035	Vietnam	DatVu06
1503	39	-5465756214	Vietnam	trungpham90
1514	39	-5491785587	Vietnam	@vhnvn
1619	39	-5844962232	Vietnam	hieule22
1664	39	-6023009091	Vietnam	baohiep
1698	39	-6132210082	Vietnam	SmileyKat
1707	39	-6156078631	Vietnam	UncleGrandpa
1716	39	-6187887787	Vietnam	minhsn22
1745	39	-6294418677	Vietnam	Murica
1749	39	-6305044668	Vietnam	minhquanym
1751	39	-6307353056	Vietnam	xuanquang1999
1826	39	-6515760102	Vietnam	low_
1829	39	-6519498957	Vietnam	manh9203
1910	39	-6756139770	Vietnam	Thanh15Ti
1914	39	-6772505769	Vietnam	ld_minh4354
1968	39	-6956050386	Vietnam	zufius
2046	39	-7165520252	Vietnam	dqhungdl
2152	39	-7489025293	Vietnam	heaptk
2197	39	-7619574616	Vietnam	tuananh238
2224	39	-7694853821	Vietnam	Lien
2226	39	-7698358447	Vietnam	Lightmoon
2244	39	-7764316574	Vietnam	sonlh07
2332	39	-8094160461	Vietnam	daipham
2525	39	-8690770993	Vietnam	waterstorm64@gmail.com
2612	39	-9040796949	Vietnam	laoriu
2634	39	-9136479578	Vietnam	qweiop77
2654	39	-9230552419	Vietnam	duy_sau_rom
2712	39	-9919493278	Vietnam	ToMoClone
2938	19	-1378560470	Vietnam	mbfibat
3057	19	-2574773302	Vietnam	duyboy1357
3347	19	-4209039991	Vietnam	pqhuy98
3350	19	-4218184464	Vietnam	aome
3513	19	-5157566325	Vietnam	avnyu
3613	19	-5912783214	Vietnam	SamNguyen
3703	19	-6759287641	Vietnam	trunghai95
3747	19	-7172720729	Vietnam	EmperorQT
3851	19	-8483060731	Vietnam	cuong
3873	19	-8898119080	Vietnam	letrieu95
