Rank	Score	Penalty	Country	Name
12	100	-13170733381	Canada	wwdd
15	100	-14365498872	Canada	davidberard
21	100	-19795986717	Canada	ksun48
34	100	-23956963070	Canada	y0105w49
107	100	-51175118303	Canada	BlazingMuddy
117	100	-54132075242	Canada	FinnLidbetter
118	100	-54199476717	Canada	wleung_bvg
175	100	-67752228672	Canada	friggstad
205	100	-72972321902	Canada	henryx
222	100	-75588962859	Canada	anzoteh
224	100	-75798742441	Canada	SnapDragon
235	100	-77871416313	Canada	tomprice719
250	100	-81318065655	Canada	Rhyme621
258	100	-82247397127	Canada	KevinWan
320	100	-93313070148	Canada	aknyazhe
368	75	-5089260415	Canada	duality
369	75	-5254929951	Canada	aeternalis
377	75	-8330800067	Canada	etotheipi
386	75	-11000960112	Canada	goffrie
390	75	-11788459380	Canada	Iliad
404	75	-13743917495	Canada	alextxu
407	75	-14233625025	Canada	IanDe
450	75	-23743081456	Canada	mattagar6
461	75	-25384198954	Canada	photomorph
474	75	-28910077579	Canada	berasogut
536	75	-39245633484	Canada	ManyPinkHats
644	75	-51821083635	Canada	FruitCakeS-
922	75	-59028256553	Canada	eric574
1179	75	-64292470592	Canada	zty3075
1298	75	-66909953880	Canada	Samay
1424	75	-70238338842	Canada	Saeed.Odak
1544	75	-73615425902	Canada	Chuckminster
1601	75	-75479105081	Canada	JCirrus
1653	75	-76722804268	Canada	adamjimenez
1733	75	-79195776860	Canada	HowardCheng
1744	75	-79736379220	Canada	rokanor
1819	75	-82568154114	Canada	pat42smith
1834	75	-83239360478	Canada	Wenwenwen
1839	75	-83433678976	Canada	TinyTitans
1845	75	-83645344932	Canada	Plasmatic
1850	75	-83792111279	Canada	MehdiKa
1865	75	-84520669437	Canada	Edwin_Z
1892	75	-85754037751	Canada	Angela4bb
1901	75	-86224384771	Canada	Abfusion
2002	75	-91467525989	Canada	turtle144
2014	75	-92065005592	Canada	injust
2021	75	-92307917039	Canada	zaphod
2051	75	-93982334298	Canada	zAlbee
