Rank	Score	Penalty	Country	Name
20	100	-4058102473	South Korea	kdh9949
23	100	-4172670541	South Korea	cki86201
31	100	-4334413236	South Korea	jh05013
71	100	-5541546304	South Korea	MarshMalloW
76	100	-5645516738	South Korea	pichulia
79	100	-5701390963	South Korea	khsoo01
90	100	-5856845841	South Korea	kriii
109	100	-6172642768	South Korea	firefly
117	100	-6254629927	South Korea	onjo0127
145	100	-6593981341	South Korea	platter
151	100	-6637263146	South Korea	ANZ1217
176	100	-6926960286	South Korea	arnold518
186	100	-7042570050	South Korea	jwvg0425
211	100	-7404136553	South Korea	GyojunYoun
213	100	-7447944170	South Korea	FlowerOfSorrow
234	100	-7728085782	South Korea	tataky92
244	100	-7812364457	South Korea	rikang
253	100	-7971623194	South Korea	xtalclr
273	100	-8226971150	South Korea	jhhope1
282	100	-8353120433	South Korea	Ryute
297	100	-8515174880	South Korea	jo_on
311	100	-8702103322	South Korea	Retro3014
315	100	-8730119063	South Korea	Sait2000
324	100	-8852967477	South Korea	Lawali
334	100	-8924145181	South Korea	L0TUS
336	100	-8941219655	South Korea	cheetose
340	100	-8981518828	South Korea	moonrabbit2
350	100	-9112851593	South Korea	leecs0503
413	79	-4268258920	South Korea	imeimi
437	79	-6285921781	South Korea	kipa00
452	79	-7457932435	South Korea	Corea
456	79	-7636604291	South Korea	minQZ
463	79	-7859593195	South Korea	evenharder
479	79	-8499721019	South Korea	tlwpdus
489	79	-8990212661	South Korea	rhcnwkdaodnj
493	79	-9065699667	South Korea	willi19
526	77	-10505971108	South Korea	SoulTch
548	72	-4647275723	South Korea	exqt
565	72	-5002509153	South Korea	bluedawnstar
569	72	-5116251811	South Korea	CodePlatina
594	72	-5769944418	South Korea	syphon
638	72	-6418367396	South Korea	zuun
681	72	-6879963943	South Korea	EatChangmyeong
699	72	-6990502297	South Korea	lucent
709	72	-7059579146	South Korea	booknu
728	72	-7190564193	South Korea	dreaming
740	72	-7273028743	South Korea	blmarket
757	72	-7372539099	South Korea	junseo
760	72	-7394992890	South Korea	yumtam
795	72	-7592372442	South Korea	hojoon0205
814	72	-7705936350	South Korea	semteo04
849	72	-7892622481	South Korea	ialy
850	72	-7905485777	South Korea	Jhuni
858	72	-7974397326	South Korea	0xC0DEF
902	72	-8229287241	South Korea	azberjibiou
903	72	-8233520248	South Korea	cs71107
986	72	-8613632416	South Korea	kinssang
1034	72	-8859817386	South Korea	HyoSeong
1053	72	-8930342673	South Korea	ileixe
1069	72	-8982303128	South Korea	Rocknz
1075	72	-8993224734	South Korea	nostalin
1096	72	-9115104191	South Korea	YunGoon
1151	72	-9544110771	South Korea	jame0313
1153	72	-9576734097	South Korea	JasonHuh
1165	72	-9689925684	South Korea	c0510gy
1179	72	-10067227801	South Korea	stonejjun
1197	68	-8899612670	South Korea	fredldh
1227	63	-3630993800	South Korea	gs15120
1228	63	-3797723814	South Korea	gumgood
1240	63	-4228081005	South Korea	dlalswp25
1242	63	-4401243606	South Korea	wj2dy
1246	63	-4546233085	South Korea	taeyang.kim
1253	63	-4663006782	South Korea	minfe
1267	63	-5030187518	South Korea	nein
1313	63	-5934937847	South Korea	tkeom
1317	63	-6064499939	South Korea	Amel_
1320	63	-6075612936	South Korea	mhazor
1324	63	-6150967597	South Korea	wkd48632
1334	63	-6384506288	South Korea	eunsung
1376	63	-7097505053	South Korea	MinShin
1388	63	-7332158519	South Korea	namhoon
1435	63	-7973136873	South Korea	WBN
1439	63	-8008409598	South Korea	yonsweng
1443	63	-8072467523	South Korea	uinch
1486	63	-8547292175	South Korea	makesource
1525	63	-8953414482	South Korea	T0T3M_M4G1
1540	63	-9108525466	South Korea	dtc03012
1559	63	-9656561887	South Korea	GGOSinon
1617	54	-8418089630	South Korea	Envil_Saintan
1629	54	-8834291627	South Korea	Freetime
1631	54	-8948172973	South Korea	hayman42
1632	54	-8953742996	South Korea	ozmig
1663	51	-4461542822	South Korea	njw1204
1675	51	-4912878258	South Korea	hellogaon
1693	51	-5321859582	South Korea	shiftpsh
1771	51	-6206911884	South Korea	Kimcoding
1808	51	-6463826314	South Korea	gs18115
1828	51	-6625183436	South Korea	dlwocks31
1853	51	-6793104993	South Korea	hapoom
1883	51	-6975680142	South Korea	shinism
1933	51	-7300949962	South Korea	edenooo
1947	51	-7351867178	South Korea	Biigbang
1949	51	-7360603293	South Korea	youx
2006	51	-7692529267	South Korea	gratus907
2029	51	-7802712108	South Korea	Taehyun
2105	51	-8141625068	South Korea	wooyaggo
2108	51	-8166783003	South Korea	elin
2110	51	-8173009307	South Korea	OnePunch
2136	51	-8325993801	South Korea	ZINC
2178	51	-8531240412	South Korea	silasj
2197	51	-8640202538	South Korea	IKnoom
2198	51	-8644469707	South Korea	rhfktj
2276	51	-8961106803	South Korea	1hoon
2294	51	-9026495288	South Korea	waterside
2325	51	-9170437301	South Korea	HeoHeo
2400	51	-9994771984	South Korea	Gravekper
2421	49	-8834510132	South Korea	Anjupiter
2469	45	-8802908326	South Korea	BayMinimum
2476	45	-9030653197	South Korea	showx123
2489	45	-10508895202	South Korea	enterkey
2503	44	-9179451889	South Korea	baver
2507	42	-2526315779	South Korea	spectaclehong
2557	42	-4802370651	South Korea	dy2000
2571	42	-5138224721	South Korea	travis1829
2579	42	-5283283283	South Korea	wijw111@gmail.com
2601	42	-5546804395	South Korea	ckebabo
2637	42	-5957832780	South Korea	Alinfty
2646	42	-6081002216	South Korea	jrguyyoo
2659	42	-6251671168	South Korea	openingsound
2660	42	-6284206545	South Korea	SUPERFLEX
2704	42	-6620377526	South Korea	cheoljunlee
2730	42	-6905366220	South Korea	whiteedu
2763	42	-7189851382	South Korea	hopflink
2766	42	-7236071495	South Korea	Dr_Park
2818	42	-7546239675	South Korea	jwpark1985
2855	42	-7729978567	South Korea	JWoong148
2856	42	-7734422650	South Korea	Jongho
2863	42	-7761618431	South Korea	lewha0
2883	42	-7885728498	South Korea	McDic
2889	42	-7928436745	South Korea	gksrudtn99
2895	42	-7957099288	South Korea	SJ_AI
2909	42	-8073412507	South Korea	adman
2933	42	-8187749880	South Korea	chw0501
3083	42	-9174829295	South Korea	jetoyrico
3086	42	-9199996440	South Korea	oortcloud
3118	42	-9376384166	South Korea	qilip
3127	42	-9445946795	South Korea	bang_ingyu
3128	42	-9472615684	South Korea	zoomkoding
3169	42	-10784779674	South Korea	jaehaaheaj
3180	40	-5643352244	South Korea	parkpkww
3186	40	-6628850653	South Korea	checkcheck
3190	40	-6889127884	South Korea	GoodDayToCode
3229	40	-8611771454	South Korea	jaehoj
3238	40	-8819854588	South Korea	queragion2726
3251	40	-9234743519	South Korea	sanori
3280	37	-6160570626	South Korea	tonykim
3317	37	-8434777057	South Korea	limguswls
3336	37	-9269294335	South Korea	lazylife
3344	37	-9788514343	South Korea	SmallDEvil
3351	35	-3883546222	South Korea	shmallow
3358	35	-4996011895	South Korea	maruoov
3362	35	-5474179994	South Korea	Sardine
3366	35	-5632155703	South Korea	GomBu
3376	35	-6123784363	South Korea	ugo
3381	35	-6556688772	South Korea	hudang
3406	35	-7677288003	South Korea	OopJung
3409	35	-7888107063	South Korea	Greimul
3423	35	-8558325359	South Korea	Rebel_lion
3448	33	-4281652018	South Korea	storykim
3451	33	-4862208246	South Korea	dh7401
3479	33	-6673219378	South Korea	soodo
3491	33	-6984509831	South Korea	MenOfPassion
