Rank	Score	Penalty	Country	Name
33	100	-8001280861	Brazil	MauricioC
168	84	-8481161246	Brazil	dilsonguim
319	68	-4936130505	Brazil	dikson
325	68	-4984765761	Brazil	Rasinhas
503	68	-6457361021	Brazil	guimafelipe
591	68	-6862332655	Brazil	tgoulart
734	68	-7477011403	Brazil	NatanSG
738	68	-7504158931	Brazil	paulocezar
755	68	-7582394500	Brazil	tubone
759	68	-7600943624	Brazil	wjoao
814	68	-7835935711	Brazil	lpierezan
937	68	-8402481837	Brazil	mattioli
950	68	-8451085726	Brazil	bira37
977	68	-8532645331	Brazil	VictorForbes
990	68	-8580783140	Brazil	pedroteosousa
1028	68	-8716398194	Brazil	hfiuza
1145	68	-9158718796	Brazil	Thiagohnc
1249	68	-9643459387	Brazil	GabrielCamargo
1267	68	-9771629286	Brazil	adorow
1284	68	-9839556871	Brazil	brv
1430	67	-10132774650	Brazil	Nuu
1437	64	-7701186056	Brazil	Vlamarca
1657	58	-7002494353	Brazil	wmrmr
1687	58	-7435996214	Brazil	joao_marcos
1747	58	-8413506800	Brazil	lincolnx
1767	58	-8657988301	Brazil	christeta
1771	58	-8701571867	Brazil	igorqs
1842	58	-9923778074	Brazil	IManifold
1915	51	-5207079814	Brazil	tomaz1502
1946	51	-5811195271	Brazil	binaryLifter
2027	51	-6548903074	Brazil	DouglasNobrega
2052	51	-6780256609	Brazil	jgsp2
2072	51	-6994758356	Brazil	HenriqueBrito
2090	51	-7172574612	Brazil	kenzo_1114
2156	51	-7651652968	Brazil	Tiagodfs
2182	51	-7802150557	Brazil	EduardoFernandes
2296	51	-8622195539	Brazil	Xixila
2376	51	-9177647915	Brazil	gustavolima00
2380	51	-9197216765	Brazil	fredbr
2545	41	-3786215394	Brazil	damnerd
2617	41	-4502058091	Brazil	jps12
2667	41	-4793872939	Brazil	TsubasaHanekawa
2726	41	-5090116296	Brazil	fakhoury
2939	41	-6099307033	Brazil	MatBrasil
3006	41	-6384839386	Brazil	lucask
3014	41	-6425364208	Brazil	viniciusth
3031	41	-6486837487	Brazil	brenorosas
3163	41	-7005560119	Brazil	hal
3207	41	-7148866355	Brazil	жти
3240	41	-7260644223	Brazil	EduardoC
3295	41	-7497214426	Brazil	EduPeres
3309	41	-7563546082	Brazil	Policarpo
3314	41	-7583181187	Brazil	lamartine.cb
3351	41	-7747173591	Brazil	thilio
3463	41	-8154873319	Brazil	luiz.py
3524	41	-8402222829	Brazil	leviwc
3709	41	-9076617791	Brazil	Andrevas
3772	41	-9421658648	Brazil	Rdpaula
3985	32	-4848068733	Brazil	MatheusLealV
4152	32	-6048098437	Brazil	Guilherme_Cabral_de_Menezes
4228	32	-6590812091	Brazil	Rebeca
4303	32	-7214192967	Brazil	Bigg_
4549	31	-1625486211	Brazil	Leonardo_Paes
4574	31	-2533260611	Brazil	tiagomontalvao
4600	31	-2927050320	Brazil	Resende
4601	31	-2935895259	Brazil	rodrigo.rossetti
4625	31	-3214556599	Brazil	AlbertoTDNeto
4712	31	-4083975229	Brazil	GabrielFrizzo
4912	31	-5373564609	Brazil	silviasfon
4936	31	-5522498934	Brazil	marciogadelha
4940	31	-5551447235	Brazil	MatheusLeon
5061	31	-6190874624	Brazil	felipebma
5340	31	-7995419277	Brazil	dorime
5406	31	-8451134336	Brazil	laderlappen
5491	31	-8977019795	Brazil	lucsturci
5595	22	-622778995	Brazil	gcgm
5596	22	-622885172	Brazil	pauloamed
5599	22	-626846384	Brazil	dukilee
5606	22	-639587428	Brazil	naumazeredo
5621	22	-661862876	Brazil	edsomjr
5735	22	-829862484	Brazil	wdsrocha
5919	22	-1027495540	Brazil	MvKaio
5941	22	-1047906710	Brazil	tsukasa
6011	22	-1097236016	Brazil	MatheusMonteiro
6162	22	-1228567219	Brazil	guilhermecorreagv
6267	22	-1303283654	Brazil	Dicksiano
6416	22	-1423766605	Brazil	railtont
6571	22	-1551491370	Brazil	ErikMorbach
6616	22	-1592988514	Brazil	clement1n0t
6629	22	-1604214294	Brazil	lucianovr
6746	22	-1710317300	Brazil	joaoayalla19
6755	22	-1717358881	Brazil	123499
6831	22	-1784066961	Brazil	eduardocesb
6846	22	-1804515913	Brazil	marqueslua
6902	22	-1855789196	Brazil	icaro.lima
6917	22	-1875841034	Brazil	brunopapa
6936	22	-1896608617	Brazil	mduarte
6962	22	-1925116141	Brazil	rolimans
7026	22	-1995427958	Brazil	daniangelos
7160	22	-2134867419	Brazil	MarcosFakeBC
7172	22	-2150096170	Brazil	rfonseca
7671	22	-2821920509	Brazil	rop
7734	22	-2914188118	Brazil	williamads
7766	22	-2943968676	Brazil	iduleba
