Rank	Score	Penalty	Country	Name
6	39	-1320663198	Russia	toxzi
20	39	-1854824143	Russia	alexxela12345
23	39	-1909019936	Russia	The_Last_Wizard
26	39	-1925595478	Russia	opukittpceno_hhr
57	39	-2297696514	Russia	isaf27
65	39	-2345333177	Russia	vintage_Vlad_Makeev
70	39	-2382095962	Russia	RiaD
73	39	-2414181231	Russia	Kostroma
76	39	-2454978171	Russia	Um_nik
77	39	-2460194403	Russia	dka
78	39	-2460909144	Russia	Golovanov399
80	39	-2476769295	Russia	aleks5d
81	39	-2478412786	Russia	Prostoegor
94	39	-2544740385	Russia	armoking32
95	39	-2545150524	Russia	Endagorion
104	39	-2589127479	Russia	Maksim1744
105	39	-2595993412	Russia	ashmelev
111	39	-2641259981	Russia	zeliboba
115	39	-2702892169	Russia	EgorLifar
116	39	-2726027632	Russia	KalininN
117	39	-2730469944	Russia	antony191
119	39	-2759495015	Russia	TonySnark
131	26	-2395397269	Russia	step_by_step
135	20	-1248057749	Russia	BudAlNik
137	20	-1319811635	Russia	SYury
156	20	-2516469292	Russia	zemen
202	19	-296114814	Russia	okwedook
232	19	-335067104	Russia	agulenko
258	19	-362783133	Russia	sevlll
259	19	-363023273	Russia	pepegasit
274	19	-379102957	Russia	nmikhailov
328	19	-419379091	Russia	StarCuriosity
333	19	-426296929	Russia	gleb.astashkin
357	19	-442218677	Russia	anton.akhi
375	19	-465304302	Russia	pseuda
392	19	-490652140	Russia	Anokhov
406	19	-504639640	Russia	deshaion
456	19	-566047197	Russia	riuzmukhametov
482	19	-604896793	Russia	AntonyPopovich
534	19	-682598088	Russia	covid19
554	19	-728546499	Russia	RedNova
601	19	-829980836	Russia	nikolaynag
603	19	-831485333	Russia	Olerinskiy
615	19	-844309508	Russia	numb
628	19	-877595001	Russia	DmitryGrigorev
657	19	-959818732	Russia	LHiC
683	19	-1020935148	Russia	AlexandrTS
684	19	-1021462816	Russia	gkarp
704	19	-1053906304	Russia	cookiedoth
712	19	-1068704089	Russia	sleirsgoevy@gmail.com
717	19	-1087796315	Russia	maximumSHOT
725	19	-1104896444	Russia	Jatana
729	19	-1111188488	Russia	clown_rusofob
732	19	-1117825732	Russia	izban
738	19	-1124460295	Russia	pikmike
745	19	-1136745390	Russia	kpilyugin
746	19	-1138912053	Russia	Volkov_Ivan
752	19	-1147446148	Russia	kirill.maiantsev
759	19	-1165612881	Russia	aid
760	19	-1169768305	Russia	DebNatkh
780	19	-1196572525	Russia	white2302
803	19	-1229827727	Russia	traylz
805	19	-1234107284	Russia	cakeplus
807	19	-1239016664	Russia	eatmore
809	19	-1239252467	Russia	fedoseev.timofey
812	19	-1246392632	Russia	pashka
813	19	-1247057657	Russia	sokian
823	19	-1262847705	Russia	crassirostris
831	19	-1272763886	Russia	IlyaMSU
855	19	-1308416208	Russia	maxon.martynov
857	19	-1308852269	Russia	lessmeaning
861	19	-1311285690	Russia	3_IQ
862	19	-1312454749	Russia	353cerega
863	19	-1312738801	Russia	Eran
864	19	-1318691823	Russia	IgorSmirnov
868	19	-1321601213	Russia	savacska
872	19	-1327812231	Russia	scanhex
875	19	-1332436765	Russia	dmikhalin
884	19	-1347230518	Russia	radmarale
887	19	-1355519694	Russia	receed
892	19	-1362969978	Russia	despair
893	19	-1364566465	Russia	XraY
