Rank	Score	Penalty	Country	Name
42	100	-6168687319	United States	ctunoku
76	100	-6998022898	United States	winger
89	100	-7515179469	United States	kongbomb
98	84	-4654389718	United States	Harpae
99	84	-6995367602	United States	Maltysen
105	71	-6825306557	United States	sohelH
115	66	-4781953222	United States	adamjamil
130	66	-6315295411	United States	JohnNo
134	66	-6617450293	United States	DanielCarter
177	63	-3298691194	United States	sniffleheim
225	63	-4078324911	United States	kmod
227	63	-4099331035	United States	Noble.Mushtak
281	63	-4719542665	United States	huangjd
299	63	-4898578665	United States	Suzukaze
340	63	-5240262921	United States	JarredAllen
344	63	-5257128451	United States	TheDarBear
359	63	-5332209713	United States	Strikeskids
395	63	-5674846075	United States	EricStansifer
435	63	-5958209480	United States	FieryPhoenix
456	63	-6081719818	United States	Uts
468	63	-6174495971	United States	bshim
481	63	-6266995629	United States	jalman
485	63	-6295198297	United States	azala
493	63	-6362604790	United States	paladin8
495	63	-6365002812	United States	bambit
519	63	-6517712738	United States	Jwang
525	63	-6569420332	United States	Loks
526	63	-6570869172	United States	gurtej.kanwar
527	63	-6573047386	United States	Ayamt
529	63	-6585697875	United States	EricLeGe
549	63	-6681447543	United States	stevencl
579	63	-6914206034	United States	lwang98
597	63	-6983532427	United States	FireCire
620	63	-7088680063	United States	bigbubble
634	63	-7212560356	United States	AndreZWei
644	63	-7266372031	United States	Shunyu
648	63	-7276746610	United States	jonathanpaulson
666	63	-7393359398	United States	Shoom
671	63	-7418590691	United States	Imnimo
703	63	-7894035845	United States	dmj
716	63	-8255617331	United States	IngeNova
736	47	-4045498695	United States	soul2197
737	47	-4068930577	United States	RealNero
742	47	-4600992683	United States	davidxl7
770	47	-5522014189	United States	universe
780	47	-5762479650	United States	rompel
783	47	-5929345072	United States	Cyclomatic
790	47	-6159973507	United States	moreheadm
791	47	-6209317467	United States	bigchungus
794	47	-6253098003	United States	Ratmir15
797	47	-6302456832	United States	spencerhoke
804	47	-6436942359	United States	tsholmes
810	47	-6583604497	United States	eenz
817	47	-6680735432	United States	darkstar1863
818	47	-6711867040	United States	Dque
821	47	-6747059164	United States	c1729
842	47	-7321492662	United States	a1f
857	47	-8461273712	United States	Quadrane
878	39	-6621722254	United States	Troublemaker
906	34	-2850629348	United States	gpmcq15
907	34	-2903501321	United States	jeholliday
916	34	-3439945937	United States	mackyi
923	34	-3625783971	United States	matt-mekha
969	34	-4796747839	United States	sampa
1005	34	-5601692184	United States	zayhero
1006	34	-5616081036	United States	bluepichu
1009	34	-5656499344	United States	bjy
1016	34	-5756815613	United States	SonicRainboom
1026	34	-6038072542	United States	arcturus3
