Rank	Score	Penalty	Country	Name
21	100	-4060519126	Poland	adsz
36	100	-4454566567	Poland	pawelparys
87	100	-5815869546	Poland	kturowski
130	100	-6401483709	Poland	MicGor
469	79	-6666618913	Poland	shadowatyy
603	72	-5358038813	Poland	Quczer
607	72	-5399109775	Poland	Qwrk
766	72	-7229341012	Poland	KeNaj712
774	72	-7283113222	Poland	NoobException
863	72	-7777271254	Poland	slex
984	72	-8434149492	Poland	natofp
988	72	-8446531701	Poland	m_opala
1022	72	-8596271483	Poland	CezaryChodun
1132	72	-9061093532	Poland	Wielomian
1361	63	-5798727120	Poland	malylesio
1414	63	-6872239835	Poland	Ztrk
1423	63	-6977868900	Poland	antguz
1462	63	-7576643520	Poland	ptrj
1854	51	-6257150098	Poland	ereonzis
2028	51	-7374434475	Poland	przem14
2320	51	-8832281669	Poland	morrior
2390	51	-9050972670	Poland	woocash33
2436	51	-9284779870	Poland	rapast
2621	42	-3629860227	Poland	lcaonmst
2735	42	-5892085369	Poland	akcelero
2756	42	-6116350385	Poland	adampsz
2891	42	-7311770792	Poland	wmakos3
2976	42	-7760745087	Poland	ymb
3285	42	-10091436225	Poland	Suez
3401	37	-5237637810	Poland	pst723
3639	33	-7252368916	Poland	pavveu
3761	33	-9285171581	Poland	annaG
3996	31	-11294233720	Poland	Archi
4007	28	-1297491968	Poland	Akinorew
4067	28	-2206491286	Poland	Whistleroosh
4094	28	-2451013473	Poland	oskar1
4143	28	-2854778474	Poland	jacekz
4160	28	-2960499055	Poland	Bouncheck
4305	28	-3881526514	Poland	JedrzMar
4468	28	-5020168953	Poland	wysek
4499	28	-5153892095	Poland	Vinsha
4553	28	-5619418381	Poland	pdwd
4679	28	-6729100668	Poland	Neverous
4865	28	-8140647646	Poland	j.n
4937	28	-8686897965	Poland	pstorozenko
4959	28	-8795999556	Poland	cxzvz
5089	24	-3909724212	Poland	AdamGS1
5172	24	-6174344305	Poland	Th3B0r3d
5459	24	-9152591903	Poland	damnecki
5552	23	-8172681749	Poland	hadzik
5681	19	-5420922931	Poland	Jacek_Kajdan
5842	19	-7512892950	Poland	Serpent7776
5861	19	-7846590505	Poland	Loloek
5915	19	-8348220989	Poland	Mateusz_18
5968	19	-8794030936	Poland	patryk.k
5974	19	-8816626541	Poland	Kaboszon
6070	17	-6966733615	Poland	ŻółtePudełeczko
6288	14	-5913571654	Poland	waw
6299	14	-6010507674	Poland	Ktwsz
6318	14	-6207927855	Poland	Maciej_Mielczarek
6441	14	-7560385137	Poland	Yozer
6445	14	-7570886050	Poland	sordo47
6507	14	-8360378441	Poland	G0odCODER
6902	10	-1796593580	Poland	sanfarans
7465	10	-10850753317	Poland	Roboreptile
7504	9	-4499657472	Poland	Iga
7624	9	-8442079010	Poland	konrre
7861	8	-8978176569	Poland	Arnyev
9244	3	-4286835504	Poland	mike272
9291	3	-5761363072	Poland	Feiwyth
9345	3	-7614694376	Poland	marwlod
9348	3	-7805243514	Poland	mooseq
9413	0	0	Poland	SoczuKS
9413	0	0	Poland	VVz
9413	0	0	Poland	[HW]Cortez
9413	0	0	Poland	artur.czernia
9413	0	0	Poland	bloqdymary
9413	0	0	Poland	chytryharry
9413	0	0	Poland	kamilkox
9413	0	0	Poland	kapitan
9413	0	0	Poland	mareksubocz
