Rank	Score	Penalty	Country	Name
11	20	-1018745321	India	C21
21	19	-192238119	India	hell_hacker
27	19	-217743405	India	sakshamb99
35	19	-244314883	India	chirag11032000
38	19	-253432533	India	squidward
42	19	-259086766	India	bennyjoseph
45	19	-263346509	India	page_fault
46	19	-264324715	India	GuptaGaurang
49	19	-268685349	India	shubham107
51	19	-269504827	India	insanity_123
53	19	-269807359	India	darklight13
55	19	-272177263	India	mynk322
58	19	-275306495	India	jeeva2812
69	19	-285361872	India	pritishn
73	19	-289318833	India	kunj017
88	19	-303319687	India	aviroop123
91	19	-304818433	India	parthtiwari
94	19	-306162472	India	ExplodingFreeze
105	19	-319021594	India	manavj07
107	19	-323650771	India	digu_J
115	19	-332263812	India	anikets
118	19	-335689372	India	varadkulkarni11
122	19	-339124245	India	VenkyCodes
125	19	-345219997	India	knightron0
129	19	-349108325	India	sarthakag
132	19	-352279227	India	thenoone
139	19	-359621235	India	shadow.codejam
143	19	-362260823	India	TheOneYouWant
151	19	-366660562	India	aaryans
152	19	-367526119	India	Nikhil_Medam
169	19	-384160528	India	Al_Qatil
182	19	-390566612	India	raghu_nathan
183	19	-390915993	India	sayanmedya
187	19	-393139928	India	brownsands
190	19	-398176333	India	ayush_hazard
198	19	-402584809	India	anukal
201	19	-403907690	India	raghav03
206	19	-408091854	India	Chayanj450
217	19	-413832053	India	oshhh
223	19	-415500288	India	HV111
233	19	-422323079	India	bhj2001
236	19	-422564886	India	Cracin
243	19	-430166451	India	m0nk3ydluffy
244	19	-430352059	India	kshitij_789
260	19	-439135438	India	ankur314
261	19	-440139542	India	anag004
268	19	-443821578	India	nemish
274	19	-451184497	India	Bugs__Bunny
275	19	-453181891	India	Vivek1998299
279	19	-460196962	India	Stan.VJ
282	19	-463597025	India	H4XX
293	19	-473156815	India	WeepyBobby
305	19	-483451535	India	Taran_1407
310	19	-491681448	India	r2066
326	19	-505627484	India	Jimmy1810
329	19	-510429543	India	SanjivShenoy
333	19	-512274643	India	thundercracker
339	19	-520490942	India	riz_1_
353	19	-534833411	India	mihil2701
374	19	-554631861	India	div5252
380	19	-558178887	India	s@my
388	19	-570431464	India	jayeshpaunikar
400	19	-587952655	India	sad_reacts_only
407	19	-596339092	India	un_titled
454	19	-660282826	India	brijesh_1998
470	19	-678161699	India	pranav.kirsur
471	19	-678345942	India	pradeep195
472	19	-678827927	India	Dikshu11
477	19	-697002255	India	aara
491	19	-720673174	India	decode1729
492	19	-722241772	India	archit120
495	19	-726462977	India	Harsh_Kumar
507	19	-743889094	India	aryansanghi
514	19	-748888226	India	nqs_01
532	19	-773406090	India	shubhamSriv
540	19	-793138231	India	Chandak786
545	19	-819951278	India	dakshah
547	19	-821080554	India	nishant403
550	19	-824343923	India	sarthakmanna
558	19	-833402159	India	conan_0
567	19	-840457253	India	gurdeepsingh1810
580	19	-863637382	India	RKJenamani
581	19	-863952004	India	kabirkanha
606	19	-910416788	India	bhaskar22gupta
612	19	-918530711	India	darshan786
616	19	-936885104	India	Hitesh_0301
620	19	-941479910	India	N_o_o_B
633	19	-977894619	India	Abhijith190300
640	19	-991429122	India	vineet.paliwal
663	19	-1028628380	India	Ricktarded
673	19	-1037652707	India	mayanks_07
678	19	-1047593714	India	harshit15
683	19	-1053054552	India	naks97
695	19	-1071419061	India	lakshay365
702	19	-1090502023	India	architb12
745	19	-1155741184	India	aliencoder
750	19	-1169884044	India	raja1999
773	19	-1200740179	India	bansals888
774	19	-1200884268	India	kalpitk99
782	19	-1219101638	India	CoderAnshu
785	19	-1221067548	India	treenode
798	19	-1235307545	India	cerberus97
825	19	-1270612974	India	mothercoder27
842	19	-1299707899	India	jeetsagar
850	19	-1306080324	India	rock19
864	19	-1320932865	India	fsociety00
876	19	-1332483885	India	aditya_sheth
906	19	-1376536556	India	gaurav172
917	19	-1393116923	India	harshhx17
926	19	-1396456214	India	rathi22
938	19	-1412552420	India	madhav_1999
970	19	-1448345808	India	piyushsethia1999
971	19	-1448806569	India	BaZ
972	19	-1449038988	India	smitpatel1010
982	19	-1465180397	India	jtnydv25
983	19	-1465217518	India	SuryaPrakash
985	19	-1467755394	India	Omansh
992	19	-1472943842	India	adarshkr532
993	19	-1474235541	India	harkirat
1000	19	-1484835552	India	Ashishgup
1009	19	-1493041707	India	sudoBug
1032	19	-1518503401	India	kp26
1035	19	-1521348272	India	knandy99
1036	19	-1523187724	India	Rutvik_28
1054	19	-1542991551	India	alphatrance
1057	19	-1546985686	India	abhisheksaini
1058	19	-1547685569	India	drastogi21
1072	19	-1571982488	India	TheAnshul
1081	19	-1584711553	India	M.Dhivagar
1085	19	-1595752033	India	dungeon_master30
1098	19	-1674752650	India	Ritick
1101	19	-1679905879	India	legobridge
1109	19	-1729053250	India	brijeshpanara24
1122	19	-1794902581	India	aneesh2312
1127	19	-1811441830	India	SangeetaMishra
1133	19	-1834898788	India	vsriram1012
1140	0	0	India	Ajit.
1140	0	0	India	NERO
1140	0	0	India	Wiz_CS
1140	0	0	India	devil_within1
1140	0	0	India	pratyush1019
1140	0	0	India	spar5h
1150	0	0	India	404_brain_not_found
1150	0	0	India	Ajit.
1150	0	0	India	AnubhavDhar
1150	0	0	India	FastestFinger
1150	0	0	India	IceKnight1093
1150	0	0	India	Mervin1999
1150	0	0	India	NERO
1150	0	0	India	Nas11
1150	0	0	India	Rajdeep2001
1150	0	0	India	Wiz_CS
1150	0	0	India	YashChandnani
1150	0	0	India	aayush9
1150	0	0	India	acraider
1150	0	0	India	coder_pulkit_c
1150	0	0	India	cyber_rajat
1150	0	0	India	deepsavani
1150	0	0	India	demoralizer
1150	0	0	India	devvats
1150	0	0	India	dlp__302
1150	0	0	India	rajgarg
1150	0	0	India	shivammittal99
1150	0	0	India	shubham099729
1150	0	0	India	shubhankar0511
1150	0	0	India	sigma_g
