Rank	Score	Penalty	Country	Name
5	100	-6751086644	Japan	Snuke
40	100	-27755909807	Japan	Fumiya
45	100	-29511210287	Japan	mdj982
55	100	-33712011394	Japan	rabot
62	100	-35100752315	Japan	Naoki_M
73	100	-39257287557	Japan	kawatea
76	100	-41160582525	Japan	yudedako
77	100	-41688270229	Japan	kmcode
87	100	-43925253432	Japan	smiken61
88	100	-44056472860	Japan	Shibuyap
119	100	-54255158842	Japan	Aquarius_256
163	100	-66072053435	Japan	catupper
173	100	-67310879484	Japan	soshun
192	100	-70618636490	Japan	uwi
225	100	-75922797436	Japan	koyumeishi
245	100	-80272921453	Japan	_primenumber
276	100	-85018425998	Japan	tatyam
287	100	-86703919692	Japan	kuuso1
331	100	-96566353521	Japan	MikeCAT
343	84	-38963330085	Japan	suibaka
382	75	-10388804815	Japan	climpet
385	75	-10626027238	Japan	otazami
399	75	-12957785423	Japan	rsk0315
408	75	-14319805589	Japan	mawatadeshimeru
417	75	-16535352215	Japan	phocom
420	75	-17237124183	Japan	blackyuki
458	75	-25049411624	Japan	EmK
466	75	-26866218545	Japan	myusa2
487	75	-31143913648	Japan	kibuna
494	75	-32358925077	Japan	domefasoltedo
499	75	-33332933024	Japan	idaten459
534	75	-38583970360	Japan	RKato
561	75	-42756162720	Japan	tjake
579	75	-45702458643	Japan	sumitacchan
582	75	-45817816435	Japan	omi_UT
662	75	-52823002000	Japan	kitsan
719	75	-55258745973	Japan	autumn_eel
727	75	-55447090728	Japan	n.knuu
739	75	-55582524213	Japan	yak_ex
787	75	-56677422104	Japan	Capp
806	75	-57049915521	Japan	ogadra
923	75	-59046016677	Japan	tsutaj
975	75	-59765023906	Japan	kappahouse
1062	75	-61804515908	Japan	tomarint
1066	75	-61900283445	Japan	kusano
1094	75	-62478361256	Japan	kenichi.t
1127	75	-63102353565	Japan	toma25
1131	75	-63245994499	Japan	Yazaten
1133	75	-63319118464	Japan	sasaki
1188	75	-64518297630	Japan	chiguri
1302	75	-66954839633	Japan	ryo_issy
1306	75	-67063354608	Japan	koge
1480	75	-71584836727	Japan	tamacjp
1490	75	-71842861026	Japan	dsert
1556	75	-73913981151	Japan	addie9000
1564	75	-74133693671	Japan	xsd
1606	75	-75616496463	Japan	mikito
1614	75	-75707124560	Japan	tanakh
1617	75	-75733036090	Japan	kyuridenamida
1625	75	-76034535006	Japan	Tomarky
1682	75	-77653795302	Japan	transang
1761	75	-80286301009	Japan	phyllo
1774	75	-80724377375	Japan	tkhrssk
1803	75	-82186495171	Japan	tatsy
1877	75	-85148914488	Japan	hasipon
1962	75	-88732461556	Japan	miau
1976	75	-89385652901	Japan	nonsava
1990	75	-90700106853	Japan	teruss
2006	75	-91570572772	Japan	chudan
2065	75	-94613670131	Japan	tomoto
2068	75	-94734281350	Japan	minus9d
2099	75	-95839926602	Japan	furuya1223
2107	75	-96244931484	Japan	Tonegawa
2179	74	-24356833601	Japan	sinatori
2194	74	-80226088872	Japan	johnnyhibiki
2204	68	-3894264245	Japan	yamunaku
2209	68	-4903688298	Japan	wagtail
2219	68	-5487392610	Japan	set0gut1
2220	68	-5608749362	Japan	coco18000
2229	68	-6123567293	Japan	emthrm
2237	68	-6454650782	Japan	nakari1124
2249	68	-7218386332	Japan	kanra824
2252	68	-7348523625	Japan	sh_mug
2255	68	-7644306893	Japan	kami634
2276	68	-9158517257	Japan	sapphire15
2284	68	-9956557515	Japan	rtia1227
2289	68	-10300123090	Japan	sansen
2295	68	-11418496715	Japan	kmjp
2316	68	-13563418192	Japan	torisasami
2323	68	-14063508853	Japan	EtoNagisa
2347	68	-15999972480	Japan	Novemura
2354	68	-16774898319	Japan	tsukuno
2357	68	-16854539517	Japan	camypaper
2363	68	-17474530745	Japan	tabr
2377	68	-18261689057	Japan	jasy
2380	68	-18328551636	Japan	hitonanode
2388	68	-18745081231	Japan	Keno
2394	68	-19174970913	Japan	arounderstand
2397	68	-19281671575	Japan	w0mbat
2398	68	-19372975894	Japan	shugo256
2399	68	-19410202282	Japan	kalpturer
2403	68	-19572877418	Japan	ihahi
2406	68	-19640469626	Japan	kcvlex
2408	68	-19728275212	Japan	akouryy
2412	68	-20014475785	Japan	Chiaki
2415	68	-20181889675	Japan	osa9
2424	68	-20733011473	Japan	betit0919
2425	68	-20787262066	Japan	rutas
2429	68	-21281365011	Japan	pinpin
2431	68	-21425052395	Japan	threecourse
