Rank	Score	Penalty	Country	Name
3	65	-3619325672	Taiwan	utaha
21	65	-4349059547	Taiwan	dreamoon_love_AA
31	65	-4463657767	Taiwan	QYHamster
34	65	-4477241988	Taiwan	tmwilliamlin168
43	65	-4680102888	Taiwan	yp155136
59	65	-4850470073	Taiwan	iaNTU
97	46	-4933930545	Taiwan	waynetuinfor
100	45	-2591910757	Taiwan	nonamefour0210
186	39	-1325660735	Taiwan	FanFly
245	39	-2680132395	Taiwan	SheepRanger
281	39	-2879747688	Taiwan	briansu
350	39	-3250107607	Taiwan	ltf0501
359	39	-3287581558	Taiwan	a000000000
391	39	-3409044926	Taiwan	alan8585
455	39	-3622264471	Taiwan	cheissmart
462	39	-3634447480	Taiwan	_Ice_Tea_
467	39	-3666654099	Taiwan	gloompisces
486	39	-3714686075	Taiwan	pr3pony
487	39	-3718845107	Taiwan	balbit
500	39	-3750755403	Taiwan	animeshf
506	39	-3766709209	Taiwan	yhchang3
512	39	-3802522707	Taiwan	JeffreyHo
514	39	-3804043698	Taiwan	SorahISA
552	39	-3899586583	Taiwan	casperwang
557	39	-3909326663	Taiwan	WillyPillow
568	39	-3942239268	Taiwan	Giver
569	39	-3943446259	Taiwan	baluteshih
589	39	-3995753760	Taiwan	bigelephant29
644	39	-4136841288	Taiwan	hank55663
669	39	-4211551791	Taiwan	lyc_
683	39	-4263332888	Taiwan	Ccucumber12
697	39	-4287885043	Taiwan	garyshih
723	39	-4343232256	Taiwan	t1016d
747	39	-4379841455	Taiwan	tsyr
751	39	-4393631957	Taiwan	erd1
852	39	-4595765192	Taiwan	kevin00050@gmail.com
878	39	-4646177655	Taiwan	yao11617
954	39	-4811944455	Taiwan	Splend1dChan
960	39	-4816911425	Taiwan	lawfung60
979	39	-4852717657	Taiwan	HanaYukii
1019	39	-4934290383	Taiwan	fro11o
1044	39	-4980621717	Taiwan	551100kk
1149	39	-5181698937	Taiwan	Huan.po.Lin
1240	39	-5567817129	Taiwan	wiwiho
1292	20	-2367533369	Taiwan	drazil
1339	20	-5269058104	Taiwan	jevancc
1348	19	-271846754	Taiwan	joylintp
1354	19	-285962009	Taiwan	lolicon_tw
1368	19	-311741988	Taiwan	iPeter
1452	19	-449446001	Taiwan	jakao
1521	19	-638681030	Taiwan	c88tm
1563	19	-771932226	Taiwan	kevin1kevin1k
1586	19	-883399249	Taiwan	skps2010
1604	19	-1006433740	Taiwan	scottHuang
1621	19	-1106127921	Taiwan	edisonhello
1638	19	-1175752742	Taiwan	ai241
1736	19	-1562025077	Taiwan	boook64
1806	19	-1800194245	Taiwan	tmt514
1841	19	-1901502014	Taiwan	progheal
1845	19	-1926114491	Taiwan	johnathan79717
1878	19	-2031180244	Taiwan	aaaaajack
1918	19	-2116272277	Taiwan	Kumazan
1962	19	-2213076053	Taiwan	ToMmyDong
1971	19	-2237208962	Taiwan	HandsomeLiu37
1996	19	-2288232408	Taiwan	RogerW
2005	19	-2300740897	Taiwan	CSJL
2030	19	-2345417767	Taiwan	binsjl
2036	19	-2362443532	Taiwan	8e7
2123	19	-2519856737	Taiwan	zolution1218
2139	19	-2538823274	Taiwan	CoolBANGstone
2152	19	-2556946667	Taiwan	puyu
2171	19	-2582758406	Taiwan	Omelet
2221	19	-2699757924	Taiwan	wythe
2265	19	-2792655808	Taiwan	William324
2282	19	-2816304266	Taiwan	tfliao
2299	19	-2834350108	Taiwan	iris2617
2406	19	-3027838263	Taiwan	morriship
2425	19	-3061705468	Taiwan	Maxwill
2449	19	-3104411590	Taiwan	liao119
2473	19	-3144621195	Taiwan	spentplaying
2490	19	-3169508697	Taiwan	Yazmau
2521	19	-3211005425	Taiwan	esrever
2551	19	-3276107131	Taiwan	Chi.
2572	19	-3310916180	Taiwan	yysung
2575	19	-3313857034	Taiwan	yangerma
2609	19	-3390335975	Taiwan	sayuan
2660	19	-3480782325	Taiwan	Glair
2675	19	-3500837578	Taiwan	YJC
2686	19	-3537053475	Taiwan	marmot0814
2723	19	-3595798673	Taiwan	hiiwave
2749	19	-3639400497	Taiwan	weitang114
2757	19	-3653739458	Taiwan	toxicpie
2795	19	-3742776080	Taiwan	waitingkuo
2798	19	-3749116293	Taiwan	jerryyu33
2815	19	-3770665378	Taiwan	YEE8822
2816	19	-3772023700	Taiwan	crathva
2853	19	-3830680835	Taiwan	teacup123123
2871	19	-3862220479	Taiwan	GYLin
2900	19	-3923576064	Taiwan	sci19nya
2920	19	-3979805982	Taiwan	samsam2310
2946	19	-4036217516	Taiwan	jasonwang924
2989	19	-4109509001	Taiwan	vehemency
3001	19	-4133096324	Taiwan	it3
3003	19	-4140016489	Taiwan	za8244
3005	19	-4144075665	Taiwan	AnnieFromTaiwan
3123	19	-4406040492	Taiwan	zzxzxzzxz
3124	19	-4407139231	Taiwan	domen111
3144	19	-4440558369	Taiwan	Frostfrog
3164	19	-4486809736	Taiwan	jim90247
3180	19	-4545172746	Taiwan	CharlieChuang
3186	19	-4557308619	Taiwan	sammy12519
3192	19	-4564956664	Taiwan	ZetaLuLu
3219	19	-4620510934	Taiwan	ElitE_MING
3253	19	-4734232747	Taiwan	yllan
3271	19	-4774780664	Taiwan	lightbulb12294
3319	19	-4918994847	Taiwan	guaguakai
3357	19	-5022217342	Taiwan	Redleaf
3370	19	-5083502927	Taiwan	CLKO
3374	19	-5097577496	Taiwan	jjjjj19980806
3439	19	-5329430269	Taiwan	jass921026
3444	19	-5345689539	Taiwan	HuJK
3458	19	-5401466631	Taiwan	stdio2019
3484	19	-5611727598	Taiwan	kk.kang
3490	19	-5662521632	Taiwan	howard41436
3496	19	-5716163170	Taiwan	WJT
3499	19	-5743628840	Taiwan	Tracy_Liu
3508	19	-5920672357	Taiwan	DarkKnight.
3517	0	0	Taiwan	Jass1990
3517	0	0	Taiwan	Sean64
3517	0	0	Taiwan	afq873
3517	0	0	Taiwan	allenwhale
3517	0	0	Taiwan	jd3
3517	0	0	Taiwan	kamyu
3517	0	0	Taiwan	nella17
3517	0	0	Taiwan	wangyenjen
