Rank	Score	Penalty	Country	Name
2	100	-4028021222	China	jiry_2
29	63	-2327404155	China	wxh010910
33	63	-2482097907	China	rushcheyo
43	63	-2592227408	China	xllend3
89	63	-3335497806	China	computer_luo
102	63	-3545021407	China	TankEngineer
119	63	-3720895601	China	kblack
125	63	-3796430877	China	sdcgvhgj
142	63	-3995005596	China	737
161	63	-4249334235	China	fusong.ju
172	63	-4377617268	China	WenhaoSong
176	63	-4393222668	China	justarandomstring
188	63	-4457371916	China	coldwater
261	34	-2558715099	China	SJoshua
291	34	-3470596256	China	mapleisle
314	34	-3877227962	China	JasonWH
332	34	-4161282508	China	wyh9346
338	34	-4267827905	China	just...soso
339	34	-4270534060	China	TianyiChen
346	34	-4389961166	China	LilacLu
348	34	-4403353182	China	sjwsl
361	32	-1861179938	China	StudyingFather
371	32	-3162288646	China	Siil
378	32	-3367029534	China	hzw
379	32	-3381499670	China	gold1103
380	32	-3406922295	China	clappear
392	32	-3595051165	China	thirtiseven
410	32	-4039050642	China	lcy156250
420	32	-4180837675	China	coup_de_grace
450	32	-4889489645	China	T1an
481	29	-1196784356	China	Ronnoc
500	29	-1370268738	China	jki14
507	29	-1391607678	China	Rooobyn
525	29	-1482813047	China	lzw4896s
593	29	-1785950965	China	WangDong
608	29	-1838684945	China	gxnncrx
610	29	-1859458480	China	MjLee
629	29	-1919044465	China	白衣少年
639	29	-1947362806	China	iaojnh
644	29	-1961404338	China	besieger
649	29	-1981404896	China	shiuang
664	29	-2031490398	China	sega_hsj
666	29	-2032486213	China	Lgq_3de5
671	29	-2048569262	China	Whisdangist
687	29	-2095347984	China	nike0good
706	29	-2143702732	China	CroMarmot
714	29	-2162065442	China	JogleLew
726	29	-2203042083	China	wuqing157@gmail.com
738	29	-2234767029	China	Heart.Blue
747	29	-2257537619	China	squarefk
757	29	-2293143761	China	ZhouYuChen
767	29	-2341048576	China	an.dev
768	29	-2341721340	China	trort
770	29	-2346026750	China	bluewang
771	29	-2346261506	China	choumartin1234
778	29	-2377323293	China	Reku
806	29	-2442611175	China	Seast
824	29	-2478932932	China	YiYi
826	29	-2488839913	China	shyoshyo
831	29	-2497075739	China	zilinj
844	29	-2519637278	China	oldjang
846	29	-2526348874	China	RUSH_D_CAT
867	29	-2577735112	China	bitetheDDDDt
878	29	-2603826926	China	ShinriiTin
883	29	-2622363585	China	kaze
904	29	-2664869844	China	xaphoenix
912	29	-2684008652	China	cwx
925	29	-2716023558	China	Cherish
935	29	-2749486419	China	humanfy
940	29	-2758813520	China	Sher_wu
959	29	-2794392988	China	daizhenyang
962	29	-2801346143	China	Barty
968	29	-2816502585	China	1552382553@qq.com
974	29	-2825706810	China	shdut
981	29	-2845479892	China	YWWY
983	29	-2852300796	China	MisakiAdorer
988	29	-2866161272	China	hongrock
993	29	-2876570238	China	yzwu
1033	29	-2983454208	China	Zarxdy34
1038	29	-2990839430	China	poore
1045	29	-3000828606	China	MingweiLv
1065	29	-3045939995	China	xzj1997
1070	29	-3053323664	China	ZJ
1080	29	-3086195346	China	wrz91win
1082	29	-3106586180	China	qlspirittan
1096	29	-3141224744	China	geyanlu
1098	29	-3148539209	China	yue12392
1101	29	-3165826527	China	FluorineDog
1109	29	-3187364351	China	Hezhu
1122	29	-3207804394	China	weiyong1024
1124	29	-3208943682	China	unableupdate
1135	29	-3226067609	China	zhumingyang
1139	29	-3233070480	China	gzchenben
1190	29	-3342686121	China	Kasugano.Sora
1204	29	-3364524686	China	Jelly97
1219	29	-3392383046	China	Mirrorera
1259	29	-3482639479	China	TryMyEdge
1264	29	-3492378356	China	jfguo
1269	29	-3496092875	China	Lteins
1270	29	-3499258858	China	LeoChen
1295	29	-3569862336	China	zeepliu
1303	29	-3588589853	China	Lixiangfan
1310	29	-3616445820	China	JOHNKRAM
1314	29	-3627200787	China	SeerZero
1320	29	-3638159100	China	Hoto_Kokoa
1350	29	-3699236071	China	impflyx
1361	29	-3728240023	China	qq290637843
1363	29	-3737749249	China	PolymathSoon
1376	29	-3780058682	China	ion
1396	29	-3853475057	China	Noisy_JohnSmith
1407	29	-3891678482	China	mogeli
1416	29	-3924129718	China	ydhjuruo
1418	29	-3929733500	China	dailinsubjam
1449	29	-3991505530	China	perel
1470	29	-4057984185	China	Backlight
1486	29	-4096240063	China	rikoizz
1502	29	-4128733372	China	plus2047
1506	29	-4137542741	China	luise6161
1535	29	-4219014569	China	zhupeijun
1552	29	-4255757604	China	funer
1555	29	-4265651990	China	hiworldwzj
1563	29	-4288014475	China	seanlin
1577	29	-4306000856	China	nosrepus
1593	29	-4387942012	China	lyric
1615	29	-4450885207	China	zkGaia
1618	29	-4462052691	China	wilsonlym
1623	29	-4468081105	China	JYYY
1665	29	-4638942198	China	ypliu
1669	29	-4653375821	China	sweet_fish
1672	29	-4660673330	China	zlc1114
1690	29	-4721370101	China	fdironia
1697	29	-4778124462	China	kaildls
1709	29	-4869495504	China	NEOTheCat
1726	29	-5153191009	China	ccw630
1728	29	-5168916716	China	Haimin
1735	16	-2437199123	China	Yeah2333
1770	16	-4037888026	China	binarycopycode
1806	13	-809054323	China	myp
1857	13	-1523199741	China	zyx_xiao
1867	13	-1575766470	China	gjy@ustc.edu.cn
1891	13	-1768690225	China	lozy
1909	13	-1874818573	China	angrypop
1940	13	-2034336412	China	吹风思密达
1944	13	-2043447237	China	Codle
1974	13	-2147089641	China	juliancomeon
1980	13	-2192729004	China	justever86
2032	13	-2417863934	China	daifei4321
2061	13	-2553477466	China	Ir1d
2072	13	-2583843868	China	yangyuchen
2084	13	-2613568882	China	chuxiaojie
2138	13	-2833506969	China	lshy1993
2142	13	-2843036339	China	mickeyandkaka
2198	13	-3035137613	China	AndrewX
2203	13	-3053169783	China	WGree
2266	13	-3260172267	China	N00Borz
2271	13	-3270420913	China	rainstar
2289	13	-3326409438	China	tiedougg
2291	13	-3343503056	China	EvangelineD
2307	13	-3373692957	China	hjx1212
2363	13	-3548430021	China	zltttt
2377	13	-3587151923	China	marstone
2442	13	-3761300212	China	wisdompeak
2446	13	-3767781471	China	kevinh
2512	13	-3961348055	China	ROBINL
2525	13	-3972906896	China	Snooperlock
2545	13	-4021948263	China	compthu
2561	13	-4073857982	China	TracerMain
2568	13	-4098568449	China	Hiroki39
2571	13	-4103281543	China	conan1024hao
2670	13	-4464471289	China	RedGrey1993
2696	13	-4593704404	China	IwfWcf
2716	13	-4805627555	China	lucifer
2751	8	-4118828388	China	OliviaWang
2772	5	-1572620368	China	Robingan7
2780	5	-1759090232	China	huizew
2805	5	-2106680483	China	asdkjc
2811	5	-2162837884	China	samchen856
2831	5	-2359765154	China	wos1239
2833	5	-2363201035	China	zzzzzzzero
2856	5	-2503617295	China	DW_Zhouyu
2872	5	-2653376424	China	cooljiansir
2875	5	-2671832649	China	nights
2892	5	-2807466257	China	thread.start
2908	5	-2896071482	China	yukari
3011	5	-3381106160	China	langdamao
3013	5	-3384376171	China	crazy_fz
3028	5	-3428653137	China	zj713300
3035	5	-3461458299	China	Kwords
3070	5	-3617220400	China	TDteach
3103	5	-3783895596	China	Icemic
3110	5	-3805430309	China	osayes
3173	5	-4029522948	China	OldSaltyFish
3178	5	-4039765885	China	bjmiao
3219	5	-4112992438	China	马尔斯
3226	5	-4173817169	China	kai-
3233	5	-4185131797	China	sdwalker
3240	5	-4215138987	China	akaisora
3241	5	-4223556943	China	18XiWenjuan
3275	5	-4344710280	China	刚学到八皇后
3304	5	-4423718390	China	moreD
3337	5	-4536052675	China	luyouqi233
3365	5	-4692926122	China	willwang98
3394	5	-5887892814	China	kjdsafio
3498	0	0	China	EndlessCheng
3498	0	0	China	MadSimon
3498	0	0	China	Mingrui
3498	0	0	China	Neal2020
3498	0	0	China	ShreckYe
3498	0	0	China	Usekeys
3498	0	0	China	hemslo
3498	0	0	China	ianahao
3498	0	0	China	lettyleilei
3498	0	0	China	limbo_null
3498	0	0	China	luvjoey1996
3498	0	0	China	maxtrisun
3498	0	0	China	ml456
3498	0	0	China	nullstellensatz
3498	0	0	China	zhouchanghai@gmail.com
3498	0	0	China	zihachan
3498	0	0	China	zzzzzq
3508	0	0	China	Alier
3508	0	0	China	Altynai.me
3508	0	0	China	C1ariS
3508	0	0	China	Farrell
3508	0	0	China	HIT_TOM
3508	0	0	China	HallStattMia
3508	0	0	China	Jacky_He
3508	0	0	China	JiyuHuang
3508	0	0	China	JoeyTengDev
3508	0	0	China	LiYanliang
3508	0	0	China	LittleSix
3508	0	0	China	Nanlihao
3508	0	0	China	SHUlpt
3508	0	0	China	Salvare
3508	0	0	China	Shanshan33
3508	0	0	China	Takuma
3508	0	0	China	Tentacles
3508	0	0	China	VeryLazyBoy
3508	0	0	China	Vurtne
3508	0	0	China	Xavier.Chen
3508	0	0	China	ZeroCoder
3508	0	0	China	_aether
3508	0	0	China	aa2985759
3508	0	0	China	axiom
3508	0	0	China	cjc
3508	0	0	China	cjybyjk
3508	0	0	China	crow2015
3508	0	0	China	dickingss
3508	0	0	China	dongyu1997
3508	0	0	China	festony
3508	0	0	China	fzf
3508	0	0	China	goalboy1015
3508	0	0	China	gunnersdeng@gmail.com
3508	0	0	China	huhaoxhlj@gmail.com
3508	0	0	China	jc881203@gmail.com
3508	0	0	China	jren
3508	0	0	China	luqiang21
3508	0	0	China	lyd
3508	0	0	China	ooz_zoo
3508	0	0	China	sylxjtu
3508	0	0	China	thinkingbird@gmail.com
3508	0	0	China	wyz96
3508	0	0	China	xitongsys
3508	0	0	China	xqly
3508	0	0	China	xxn
3508	0	0	China	zazaNB
3508	0	0	China	zrphercule@gmail.com
